-------------------------------------
PRODIGAL v2.6.3 [February, 2016]         
Univ of Tenn / Oak Ridge National Lab
Doug Hyatt, Loren Hauser, et al.     
-------------------------------------
Request:  Single Genome, Phase:  Training
Reading in the sequence(s) to train...6891420 bp seq created, 60.54 pct GC
Locating all potential starts and stops...471114 nodes
Looking for GC bias in different frames...frame bias scores: 0.63 0.12 2.26
Building initial set of genes to train from...done!
Creating coding model and scoring nodes...done!
Examining upstream regions and training starts...done!
-------------------------------------
Request:  Single Genome, Phase:  Gene Finding
Finding genes in sequence #1 (570323 bp)...done!
Finding genes in sequence #2 (306509 bp)...done!
Finding genes in sequence #3 (236953 bp)...done!
Finding genes in sequence #4 (234169 bp)...done!
Finding genes in sequence #5 (229594 bp)...done!
Finding genes in sequence #6 (212516 bp)...done!
Finding genes in sequence #7 (206175 bp)...done!
Finding genes in sequence #8 (205580 bp)...done!
Finding genes in sequence #9 (204135 bp)...done!
Finding genes in sequence #10 (184374 bp)...done!
Finding genes in sequence #11 (160437 bp)...done!
Finding genes in sequence #12 (152381 bp)...done!
Finding genes in sequence #13 (139524 bp)...done!
Finding genes in sequence #14 (139126 bp)...done!
Finding genes in sequence #15 (135443 bp)...done!
Finding genes in sequence #16 (126463 bp)...done!
Finding genes in sequence #17 (124183 bp)...done!
Finding genes in sequence #18 (120383 bp)...done!
Finding genes in sequence #19 (115842 bp)...done!
Finding genes in sequence #20 (107058 bp)...done!
Finding genes in sequence #21 (103627 bp)...done!
Finding genes in sequence #22 (101377 bp)...done!
Finding genes in sequence #23 (100940 bp)...done!
Finding genes in sequence #24 (98846 bp)...done!
Finding genes in sequence #25 (96941 bp)...done!
Finding genes in sequence #26 (96877 bp)...done!
Finding genes in sequence #27 (94916 bp)...done!
Finding genes in sequence #28 (94833 bp)...done!
Finding genes in sequence #29 (93387 bp)...done!
Finding genes in sequence #30 (81004 bp)...done!
Finding genes in sequence #31 (79475 bp)...done!
Finding genes in sequence #32 (78575 bp)...done!
Finding genes in sequence #33 (70147 bp)...done!
Finding genes in sequence #34 (69300 bp)...done!
Finding genes in sequence #35 (68941 bp)...done!
Finding genes in sequence #36 (67245 bp)...done!
Finding genes in sequence #37 (65277 bp)...done!
Finding genes in sequence #38 (63664 bp)...done!
Finding genes in sequence #39 (54602 bp)...done!
Finding genes in sequence #40 (53296 bp)...done!
Finding genes in sequence #41 (50826 bp)...done!
Finding genes in sequence #42 (50771 bp)...done!
Finding genes in sequence #43 (49495 bp)...done!
Finding genes in sequence #44 (48511 bp)...done!
Finding genes in sequence #45 (46072 bp)...done!
Finding genes in sequence #46 (44182 bp)...done!
Finding genes in sequence #47 (41749 bp)...done!
Finding genes in sequence #48 (39804 bp)...done!
Finding genes in sequence #49 (39037 bp)...done!
Finding genes in sequence #50 (38784 bp)...done!
Finding genes in sequence #51 (38272 bp)...done!
Finding genes in sequence #52 (37565 bp)...done!
Finding genes in sequence #53 (36684 bp)...done!
Finding genes in sequence #54 (36247 bp)...done!
Finding genes in sequence #55 (36014 bp)...done!
Finding genes in sequence #56 (33325 bp)...done!
Finding genes in sequence #57 (31553 bp)...done!
Finding genes in sequence #58 (31199 bp)...done!
Finding genes in sequence #59 (29931 bp)...done!
Finding genes in sequence #60 (29790 bp)...done!
Finding genes in sequence #61 (28851 bp)...done!
Finding genes in sequence #62 (25683 bp)...done!
Finding genes in sequence #63 (23429 bp)...done!
Finding genes in sequence #64 (23084 bp)...done!
Finding genes in sequence #65 (22682 bp)...done!
Finding genes in sequence #66 (21603 bp)...done!
Finding genes in sequence #67 (17658 bp)...done!
Finding genes in sequence #68 (17250 bp)...done!
Finding genes in sequence #69 (17243 bp)...done!
Finding genes in sequence #70 (16647 bp)...done!
Finding genes in sequence #71 (16334 bp)...done!
Finding genes in sequence #72 (16215 bp)...done!
Finding genes in sequence #73 (15589 bp)...done!
Finding genes in sequence #74 (14958 bp)...done!
Finding genes in sequence #75 (14828 bp)...done!
Finding genes in sequence #76 (14518 bp)...done!
Finding genes in sequence #77 (14285 bp)...done!
Finding genes in sequence #78 (14166 bp)...done!
Finding genes in sequence #79 (14118 bp)...done!
Finding genes in sequence #80 (11374 bp)...done!
Finding genes in sequence #81 (10808 bp)...done!
Finding genes in sequence #82 (10527 bp)...done!
Finding genes in sequence #83 (10455 bp)...done!
Finding genes in sequence #84 (9160 bp)...done!
Finding genes in sequence #85 (8311 bp)...done!
Finding genes in sequence #86 (8191 bp)...done!
Finding genes in sequence #87 (7665 bp)...done!
Finding genes in sequence #88 (6683 bp)...done!
Finding genes in sequence #89 (6027 bp)...done!
Finding genes in sequence #90 (6023 bp)...done!
Finding genes in sequence #91 (5962 bp)...done!
Finding genes in sequence #92 (2416 bp)...done!
Finding genes in sequence #93 (2082 bp)...done!
Finding genes in sequence #94 (2057 bp)...done!
Finding genes in sequence #95 (1676 bp)...done!
Finding genes in sequence #96 (1126 bp)...done!
Finding genes in sequence #97 (832 bp)...done!
Finding genes in sequence #98 (711 bp)...done!
Finding genes in sequence #99 (591 bp)...done!
Finding genes in sequence #100 (570 bp)...done!
Finding genes in sequence #101 (441 bp)...done!
Finding genes in sequence #102 (439 bp)...done!
Finding genes in sequence #103 (395 bp)...done!
Finding genes in sequence #104 (392 bp)...done!
Finding genes in sequence #105 (378 bp)...done!
Finding genes in sequence #106 (364 bp)...done!
Finding genes in sequence #107 (346 bp)...done!
Finding genes in sequence #108 (340 bp)...done!
Finding genes in sequence #109 (333 bp)...done!
Finding genes in sequence #110 (331 bp)...done!
Finding genes in sequence #111 (329 bp)...done!
Finding genes in sequence #112 (326 bp)...done!
Finding genes in sequence #113 (317 bp)...done!
Finding genes in sequence #114 (316 bp)...done!
Finding genes in sequence #115 (311 bp)...done!
Finding genes in sequence #116 (309 bp)...done!
Finding genes in sequence #117 (304 bp)...done!
Finding genes in sequence #118 (297 bp)...done!
Finding genes in sequence #119 (291 bp)...done!
Finding genes in sequence #120 (281 bp)...done!
Finding genes in sequence #121 (279 bp)...done!
Finding genes in sequence #122 (279 bp)...done!
Finding genes in sequence #123 (278 bp)...done!
Finding genes in sequence #124 (277 bp)...done!
Finding genes in sequence #125 (277 bp)...done!
Finding genes in sequence #126 (276 bp)...done!
Finding genes in sequence #127 (275 bp)...done!
Finding genes in sequence #128 (275 bp)...done!
Finding genes in sequence #129 (275 bp)...done!
Finding genes in sequence #130 (275 bp)...done!
Finding genes in sequence #131 (274 bp)...done!
Finding genes in sequence #132 (274 bp)...done!
Finding genes in sequence #133 (273 bp)...done!
Finding genes in sequence #134 (273 bp)...done!
