-------------------------------------
PRODIGAL v2.6.3 [February, 2016]         
Univ of Tenn / Oak Ridge National Lab
Doug Hyatt, Loren Hauser, et al.     
-------------------------------------
Request:  Single Genome, Phase:  Training
Reading in the sequence(s) to train...6829048 bp seq created, 60.63 pct GC
Locating all potential starts and stops...469499 nodes
Looking for GC bias in different frames...frame bias scores: 0.64 0.12 2.25
Building initial set of genes to train from...done!
Creating coding model and scoring nodes...done!
Examining upstream regions and training starts...done!
-------------------------------------
Request:  Single Genome, Phase:  Gene Finding
Finding genes in sequence #1 (170490 bp)...done!
Finding genes in sequence #2 (144272 bp)...done!
Finding genes in sequence #3 (136382 bp)...done!
Finding genes in sequence #4 (135474 bp)...done!
Finding genes in sequence #5 (127372 bp)...done!
Finding genes in sequence #6 (125538 bp)...done!
Finding genes in sequence #7 (109814 bp)...done!
Finding genes in sequence #8 (105283 bp)...done!
Finding genes in sequence #9 (101782 bp)...done!
Finding genes in sequence #10 (99402 bp)...done!
Finding genes in sequence #11 (99293 bp)...done!
Finding genes in sequence #12 (92454 bp)...done!
Finding genes in sequence #13 (88136 bp)...done!
Finding genes in sequence #14 (85343 bp)...done!
Finding genes in sequence #15 (77906 bp)...done!
Finding genes in sequence #16 (77070 bp)...done!
Finding genes in sequence #17 (74771 bp)...done!
Finding genes in sequence #18 (74730 bp)...done!
Finding genes in sequence #19 (72343 bp)...done!
Finding genes in sequence #20 (71165 bp)...done!
Finding genes in sequence #21 (71141 bp)...done!
Finding genes in sequence #22 (70088 bp)...done!
Finding genes in sequence #23 (67852 bp)...done!
Finding genes in sequence #24 (66901 bp)...done!
Finding genes in sequence #25 (65367 bp)...done!
Finding genes in sequence #26 (64093 bp)...done!
Finding genes in sequence #27 (63892 bp)...done!
Finding genes in sequence #28 (63385 bp)...done!
Finding genes in sequence #29 (62543 bp)...done!
Finding genes in sequence #30 (60945 bp)...done!
Finding genes in sequence #31 (59263 bp)...done!
Finding genes in sequence #32 (57774 bp)...done!
Finding genes in sequence #33 (57502 bp)...done!
Finding genes in sequence #34 (56795 bp)...done!
Finding genes in sequence #35 (56262 bp)...done!
Finding genes in sequence #36 (55582 bp)...done!
Finding genes in sequence #37 (55328 bp)...done!
Finding genes in sequence #38 (54909 bp)...done!
Finding genes in sequence #39 (54689 bp)...done!
Finding genes in sequence #40 (54044 bp)...done!
Finding genes in sequence #41 (54029 bp)...done!
Finding genes in sequence #42 (53659 bp)...done!
Finding genes in sequence #43 (52922 bp)...done!
Finding genes in sequence #44 (50752 bp)...done!
Finding genes in sequence #45 (50663 bp)...done!
Finding genes in sequence #46 (50405 bp)...done!
Finding genes in sequence #47 (50324 bp)...done!
Finding genes in sequence #48 (49939 bp)...done!
Finding genes in sequence #49 (49656 bp)...done!
Finding genes in sequence #50 (49303 bp)...done!
Finding genes in sequence #51 (49247 bp)...done!
Finding genes in sequence #52 (48122 bp)...done!
Finding genes in sequence #53 (47106 bp)...done!
Finding genes in sequence #54 (46738 bp)...done!
Finding genes in sequence #55 (46312 bp)...done!
Finding genes in sequence #56 (45028 bp)...done!
Finding genes in sequence #57 (43428 bp)...done!
Finding genes in sequence #58 (43383 bp)...done!
Finding genes in sequence #59 (42562 bp)...done!
Finding genes in sequence #60 (42394 bp)...done!
Finding genes in sequence #61 (41648 bp)...done!
Finding genes in sequence #62 (40697 bp)...done!
Finding genes in sequence #63 (40412 bp)...done!
Finding genes in sequence #64 (40003 bp)...done!
Finding genes in sequence #65 (39933 bp)...done!
Finding genes in sequence #66 (39098 bp)...done!
Finding genes in sequence #67 (38797 bp)...done!
Finding genes in sequence #68 (37260 bp)...done!
Finding genes in sequence #69 (36162 bp)...done!
Finding genes in sequence #70 (35067 bp)...done!
Finding genes in sequence #71 (35003 bp)...done!
Finding genes in sequence #72 (34769 bp)...done!
Finding genes in sequence #73 (33303 bp)...done!
Finding genes in sequence #74 (32125 bp)...done!
Finding genes in sequence #75 (31643 bp)...done!
Finding genes in sequence #76 (31642 bp)...done!
Finding genes in sequence #77 (31410 bp)...done!
Finding genes in sequence #78 (31089 bp)...done!
Finding genes in sequence #79 (30031 bp)...done!
Finding genes in sequence #80 (29905 bp)...done!
Finding genes in sequence #81 (29633 bp)...done!
Finding genes in sequence #82 (29491 bp)...done!
Finding genes in sequence #83 (29005 bp)...done!
Finding genes in sequence #84 (27424 bp)...done!
Finding genes in sequence #85 (27085 bp)...done!
Finding genes in sequence #86 (27074 bp)...done!
Finding genes in sequence #87 (26515 bp)...done!
Finding genes in sequence #88 (25724 bp)...done!
Finding genes in sequence #89 (25616 bp)...done!
Finding genes in sequence #90 (25208 bp)...done!
Finding genes in sequence #91 (25104 bp)...done!
Finding genes in sequence #92 (25095 bp)...done!
Finding genes in sequence #93 (25079 bp)...done!
Finding genes in sequence #94 (24955 bp)...done!
Finding genes in sequence #95 (24932 bp)...done!
Finding genes in sequence #96 (24520 bp)...done!
Finding genes in sequence #97 (24255 bp)...done!
Finding genes in sequence #98 (23363 bp)...done!
Finding genes in sequence #99 (23052 bp)...done!
Finding genes in sequence #100 (22954 bp)...done!
Finding genes in sequence #101 (22879 bp)...done!
Finding genes in sequence #102 (22867 bp)...done!
Finding genes in sequence #103 (22406 bp)...done!
Finding genes in sequence #104 (22263 bp)...done!
Finding genes in sequence #105 (22212 bp)...done!
Finding genes in sequence #106 (22175 bp)...done!
Finding genes in sequence #107 (21816 bp)...done!
Finding genes in sequence #108 (21523 bp)...done!
Finding genes in sequence #109 (21446 bp)...done!
Finding genes in sequence #110 (21191 bp)...done!
Finding genes in sequence #111 (20885 bp)...done!
Finding genes in sequence #112 (20373 bp)...done!
Finding genes in sequence #113 (19989 bp)...done!
Finding genes in sequence #114 (19832 bp)...done!
Finding genes in sequence #115 (19800 bp)...done!
Finding genes in sequence #116 (19524 bp)...done!
Finding genes in sequence #117 (19029 bp)...done!
Finding genes in sequence #118 (18662 bp)...done!
Finding genes in sequence #119 (18650 bp)...done!
Finding genes in sequence #120 (18387 bp)...done!
Finding genes in sequence #121 (18029 bp)...done!
Finding genes in sequence #122 (17845 bp)...done!
Finding genes in sequence #123 (17788 bp)...done!
Finding genes in sequence #124 (17632 bp)...done!
Finding genes in sequence #125 (17575 bp)...done!
Finding genes in sequence #126 (17502 bp)...done!
Finding genes in sequence #127 (17285 bp)...done!
Finding genes in sequence #128 (17173 bp)...done!
Finding genes in sequence #129 (16991 bp)...done!
Finding genes in sequence #130 (16510 bp)...done!
Finding genes in sequence #131 (16437 bp)...done!
Finding genes in sequence #132 (16328 bp)...done!
Finding genes in sequence #133 (16064 bp)...done!
Finding genes in sequence #134 (15699 bp)...done!
Finding genes in sequence #135 (15691 bp)...done!
Finding genes in sequence #136 (15613 bp)...done!
Finding genes in sequence #137 (15553 bp)...done!
Finding genes in sequence #138 (15551 bp)...done!
Finding genes in sequence #139 (15492 bp)...done!
Finding genes in sequence #140 (15380 bp)...done!
Finding genes in sequence #141 (15179 bp)...done!
Finding genes in sequence #142 (15049 bp)...done!
Finding genes in sequence #143 (14298 bp)...done!
Finding genes in sequence #144 (14027 bp)...done!
Finding genes in sequence #145 (13811 bp)...done!
Finding genes in sequence #146 (13729 bp)...done!
Finding genes in sequence #147 (13291 bp)...done!
Finding genes in sequence #148 (13265 bp)...done!
Finding genes in sequence #149 (12771 bp)...done!
Finding genes in sequence #150 (12660 bp)...done!
Finding genes in sequence #151 (12525 bp)...done!
Finding genes in sequence #152 (12011 bp)...done!
Finding genes in sequence #153 (11578 bp)...done!
Finding genes in sequence #154 (11468 bp)...done!
Finding genes in sequence #155 (11260 bp)...done!
Finding genes in sequence #156 (11128 bp)...done!
Finding genes in sequence #157 (11048 bp)...done!
Finding genes in sequence #158 (10919 bp)...done!
Finding genes in sequence #159 (10803 bp)...done!
Finding genes in sequence #160 (9777 bp)...done!
Finding genes in sequence #161 (9756 bp)...done!
Finding genes in sequence #162 (9720 bp)...done!
Finding genes in sequence #163 (9689 bp)...done!
Finding genes in sequence #164 (9547 bp)...done!
Finding genes in sequence #165 (9528 bp)...done!
Finding genes in sequence #166 (9399 bp)...done!
Finding genes in sequence #167 (9385 bp)...done!
Finding genes in sequence #168 (9255 bp)...done!
Finding genes in sequence #169 (9119 bp)...done!
Finding genes in sequence #170 (9082 bp)...done!
Finding genes in sequence #171 (9050 bp)...done!
Finding genes in sequence #172 (8735 bp)...done!
Finding genes in sequence #173 (8634 bp)...done!
Finding genes in sequence #174 (8469 bp)...done!
Finding genes in sequence #175 (7661 bp)...done!
Finding genes in sequence #176 (7559 bp)...done!
Finding genes in sequence #177 (7489 bp)...done!
Finding genes in sequence #178 (7386 bp)...done!
Finding genes in sequence #179 (7245 bp)...done!
Finding genes in sequence #180 (7207 bp)...done!
Finding genes in sequence #181 (6776 bp)...done!
Finding genes in sequence #182 (6686 bp)...done!
Finding genes in sequence #183 (6608 bp)...done!
Finding genes in sequence #184 (6395 bp)...done!
Finding genes in sequence #185 (6384 bp)...done!
Finding genes in sequence #186 (6151 bp)...done!
Finding genes in sequence #187 (5650 bp)...done!
Finding genes in sequence #188 (5575 bp)...done!
Finding genes in sequence #189 (5201 bp)...done!
Finding genes in sequence #190 (4959 bp)...done!
Finding genes in sequence #191 (4733 bp)...done!
Finding genes in sequence #192 (4260 bp)...done!
Finding genes in sequence #193 (4152 bp)...done!
Finding genes in sequence #194 (4120 bp)...done!
Finding genes in sequence #195 (4060 bp)...done!
Finding genes in sequence #196 (4052 bp)...done!
Finding genes in sequence #197 (4046 bp)...done!
Finding genes in sequence #198 (4023 bp)...done!
Finding genes in sequence #199 (3992 bp)...done!
Finding genes in sequence #200 (3982 bp)...done!
Finding genes in sequence #201 (3696 bp)...done!
Finding genes in sequence #202 (3446 bp)...done!
Finding genes in sequence #203 (3396 bp)...done!
Finding genes in sequence #204 (3281 bp)...done!
Finding genes in sequence #205 (3098 bp)...done!
Finding genes in sequence #206 (2962 bp)...done!
Finding genes in sequence #207 (2754 bp)...done!
Finding genes in sequence #208 (2492 bp)...done!
Finding genes in sequence #209 (2472 bp)...done!
Finding genes in sequence #210 (2386 bp)...done!
Finding genes in sequence #211 (2327 bp)...done!
Finding genes in sequence #212 (2276 bp)...done!
Finding genes in sequence #213 (2246 bp)...done!
Finding genes in sequence #214 (2168 bp)...done!
Finding genes in sequence #215 (2019 bp)...done!
Finding genes in sequence #216 (1862 bp)...done!
Finding genes in sequence #217 (1849 bp)...done!
Finding genes in sequence #218 (1822 bp)...done!
Finding genes in sequence #219 (1810 bp)...done!
Finding genes in sequence #220 (1788 bp)...done!
Finding genes in sequence #221 (1724 bp)...done!
Finding genes in sequence #222 (1720 bp)...done!
Finding genes in sequence #223 (1680 bp)...done!
Finding genes in sequence #224 (1502 bp)...done!
Finding genes in sequence #225 (1432 bp)...done!
Finding genes in sequence #226 (1424 bp)...done!
Finding genes in sequence #227 (1401 bp)...done!
Finding genes in sequence #228 (1106 bp)...done!
Finding genes in sequence #229 (1045 bp)...done!
Finding genes in sequence #230 (920 bp)...done!
Finding genes in sequence #231 (708 bp)...done!
Finding genes in sequence #232 (656 bp)...done!
Finding genes in sequence #233 (590 bp)...done!
Finding genes in sequence #234 (579 bp)...done!
Finding genes in sequence #235 (567 bp)...done!
Finding genes in sequence #236 (563 bp)...done!
Finding genes in sequence #237 (415 bp)...done!
Finding genes in sequence #238 (413 bp)...done!
Finding genes in sequence #239 (411 bp)...done!
Finding genes in sequence #240 (382 bp)...done!
Finding genes in sequence #241 (374 bp)...done!
Finding genes in sequence #242 (314 bp)...done!
Finding genes in sequence #243 (301 bp)...done!
Finding genes in sequence #244 (300 bp)...done!
Finding genes in sequence #245 (292 bp)...done!
Finding genes in sequence #246 (231 bp)...done!
Finding genes in sequence #247 (179 bp)...done!
Finding genes in sequence #248 (158 bp)...done!
Finding genes in sequence #249 (156 bp)...done!
Finding genes in sequence #250 (137 bp)...done!
Finding genes in sequence #251 (132 bp)...done!
Finding genes in sequence #252 (130 bp)...done!
Finding genes in sequence #253 (128 bp)...done!
