	Pseudomonas_azotoformans_LMG21611	Pseudomonas_azotoformans_S4	Pseudomonas_brenneri_DSM-15294	Pseudomonas_fluorescens_ATCC13525	Pseudomonas_fragi_NL20W	Pseudomonas_gessardii_LMG21604	Pseudomonas_lactis_SS101	Pseudomonas_sp_WCS374	Pseudomonas_yamanorum_LBUM636	Pseudomonas_sp_OLsAu1	Pseudomonas_karstica_CCM7891	Pseudomonas_mucidolens_LMG2223	Pseudomonas_proteolytica_DSM15321	Pseudomonas_proteolytica_WS5126	Pseudomonas_spelaei_CCM7893	Pseudomonas_yamanorum_GZD14026	Pseudomonas_yamanorum_LMG27247
Pseudomonas_azotoformans_LMG21611	1.0	0.8046710862138726	0.5488017188251127	0.6809016161700845	0.24353872365878812	0.5414609775624589	0.6465417622833	0.6290260436966156	0.659727864582172	0.6565104187570031	0.49885497873914175	0.36442549899767906	0.5477927087876331	0.5498037424937412	0.570187291170746	0.5741033738810289	0.6579070979426481
Pseudomonas_azotoformans_S4	0.7891595421202755	1.0	0.533552305682328	0.66075064238271	0.23650427764344895	0.527313765868595	0.6281881877387342	0.6177794448612153	0.6461670314586031	0.6448067516296097	0.4915460306973362	0.3504107663138093	0.5238605123492299	0.5268675311074174	0.5650458961417385	0.5677059568040086	0.6496151826530282
Pseudomonas_brenneri_DSM-15294	0.6119975016186766	0.6066871152017022	1.0	0.5876164029873161	0.277142794626491	0.8064598208498807	0.585737644102	0.5778398615811876	0.6471681199116947	0.6449831965953587	0.5645466561771783	0.4855922035650337	0.7935540037919965	0.8038004835640922	0.6438439068636861	0.6422426353944648	0.6482384521970738
Pseudomonas_fluorescens_ATCC13525	0.7034715406338924	0.6960706879640123	0.544404732085939	1.0	0.2370209414137685	0.5371506955259633	0.6529201125323982	0.6565060499448134	0.6725538493387209	0.6642788572362297	0.5020958921128881	0.3524383683324408	0.538875631244004	0.5390689800749345	0.5935068886088053	0.5977026657413361	0.6679203881965377
Pseudomonas_fragi_NL20W	0.32269284167738616	0.3195316560732481	0.32929922719352306	0.30398059248693526	1.0	0.3400131844089932	0.3121301486702635	0.30413993199807215	0.3352402865432563	0.3311740761508931	0.2874342970714816	0.21277950149383254	0.3376498781121675	0.3372847168592035	0.3211354899906622	0.31581465328687475	0.33096510307139215
Pseudomonas_gessardii_LMG21604	0.5440291784430079	0.5402287880987414	0.7266136947871058	0.5223829639281036	0.2578276451439656	1.0	0.5184604043115896	0.5160283695569706	0.5721782930592918	0.5681794149854204	0.49540117820165636	0.43304705697508883	0.6937177513446088	0.704736433983489	0.562072743587308	0.5598789239784528	0.5724335342405522
Pseudomonas_lactis_SS101	0.7038604634679296	0.6973219540668298	0.5718194694979871	0.6879990963733079	0.25645100293015194	0.561759664104611	1.0	0.840534324301975	0.6435354523789218	0.6412504937662866	0.517274821131595	0.37424304677546544	0.5695705976963021	0.5732378591750231	0.5901044785997929	0.5867153930314911	0.6442707818361325
Pseudomonas_sp_WCS374	0.6954253815989143	0.6964163341853663	0.5728688685424977	0.7025196489628522	0.2537663593453731	0.5678066291605629	0.8535861801719427	1.0	0.6500203613640898	0.6434403047203854	0.5182111777479707	0.3709211126146128	0.5783057964645836	0.5806899988069129	0.6037999005431998	0.6066897680776538	0.6462264755579818
Pseudomonas_yamanorum_LBUM636	0.647272976526342	0.6464292928151254	0.5693844171545618	0.6386862160165733	0.24823187374349828	0.5587261469759736	0.57996947571292	0.5768563776144533	1.0	0.9507373299780438	0.5464032603963782	0.37602946548954436	0.5668438864286511	0.5683565376737226	0.6554872619801994	0.651129712177703	0.9566712630535809
Pseudomonas_sp_OLsAu1	0.641506772890196	0.6424551038842935	0.5651631502599885	0.6282722611949609	0.24422754889191683	0.5525735443104716	0.5755689368656157	0.5687035956545554	0.9468856208822805	1.0	0.5414789867484942	0.3758147563440061	0.5653965654702068	0.5651955407963163	0.6514574942477748	0.6428973872166609	0.9476449828729593
Pseudomonas_karstica_CCM7891	0.5821109285408139	0.5848563633534755	0.5907409742616354	0.567095162411341	0.25313297510392946	0.5753517610035511	0.5544505166943702	0.5469609330592986	0.649863396058459	0.646626391732335	1.0	0.43987180338884624	0.5801920035134905	0.5800907061966726	0.7038343983138854	0.6940307607341766	0.6491322861434117
