	Pseudomonas_azotoformans_LMG21611	Pseudomonas_azotoformans_S4	Pseudomonas_brenneri_DSM-15294	Pseudomonas_fluorescens_ATCC13525	Pseudomonas_fragi_NL20W	Pseudomonas_gessardii_LMG21604	Pseudomonas_lactis_SS101	Pseudomonas_sp_WCS374	Pseudomonas_yamanorum_LBUM636	Pseudomonas_sp_OLsAu1	Pseudomonas_karstica_CCM7891	Pseudomonas_mucidolens_LMG2223	Pseudomonas_proteolytica_DSM15321	Pseudomonas_proteolytica_WS5126	Pseudomonas_spelaei_CCM7893	Pseudomonas_yamanorum_GZD14026	Pseudomonas_yamanorum_LMG27247
Pseudomonas_azotoformans_LMG21611	1.0	0.9075794893829735	0.8719336749908789	0.8834958853342555	0.8510893999495843	0.874221198660194	0.8840147546772805	0.8834293821798846	0.8743748653746842	0.8739043322701472	0.8648026364798465	0.8759670602957786	0.8726464386183377	0.873039536144992	0.8693310774348453	0.8696620980447748	0.8744759088069463
Pseudomonas_azotoformans_S4	0.9075794893829735	1.0	0.8715788265734782	0.8824539762519423	0.8500174748771674	0.8747828067846392	0.8825524218224046	0.8816430301970559	0.8733499847375915	0.8731461083649399	0.8629365523287438	0.8752968360233708	0.8723080086924023	0.8729756426893481	0.8677961475222259	0.8682602485821389	0.8731715001777334
Pseudomonas_brenneri_DSM-15294	0.8719336749908789	0.8715788265734782	1.0	0.869085510323655	0.8509582689612727	0.9187662829500106	0.8708311082547091	0.8699515022929266	0.8739677396633092	0.8736343463906652	0.8685573548687159	0.8834341775803184	0.923534208792554	0.9240686710006739	0.8718330350676511	0.871774164199872	0.8738249981077227
Pseudomonas_fluorescens_ATCC13525	0.8834958853342555	0.8824539762519423	0.869085510323655	1.0	0.8508254323484991	0.8704785054787714	0.880955046665663	0.8793280263493393	0.8734540570484404	0.8728488818474145	0.8640514635466034	0.874987744665498	0.8703291103743209	0.8706630698828804	0.867106396235828	0.8677427800683921	0.8734333595067593
Pseudomonas_fragi_NL20W	0.8510893999495843	0.8500174748771674	0.8509582689612727	0.8508254323484991	1.0	0.852626804563238	0.8505726455276857	0.8509605733002975	0.8513164736191201	0.8511466362165763	0.8486237840593573	0.8593128370510383	0.8524860308962334	0.8524477872540461	0.8504978926347708	0.8510337352358062	0.850896137121447
Pseudomonas_gessardii_LMG21604	0.874221198660194	0.8747828067846392	0.9187662829500106	0.8704785054787714	0.852626804563238	1.0	0.8723809693906064	0.8711097746136619	0.8749599657330167	0.8743514606297371	0.8695387006778972	0.8834556178570123	0.9213628092547573	0.9216651446927757	0.8719072760752824	0.8725468097155819	0.874931968831158
Pseudomonas_lactis_SS101	0.8840147546772805	0.8825524218224046	0.8708311082547091	0.880955046665663	0.8505726455276857	0.8723809693906064	1.0	0.9532247823403319	0.8711333738186033	0.8711004167681353	0.8634972635883627	0.8753724621657137	0.8711890776620415	0.871974182096169	0.8669072028116238	0.8670759009530198	0.8711330146266332
Pseudomonas_sp_WCS374	0.8834293821798846	0.8816430301970559	0.8699515022929266	0.8793280263493393	0.8509605733002975	0.8711097746136619	0.9532247823403319	1.0	0.8702551367001491	0.870291408038425	0.8632768461914864	0.8747719947276896	0.8703790428135999	0.870918599813784	0.8657792063753434	0.8657857812305308	0.870364921701498
Pseudomonas_yamanorum_LBUM636	0.8743748653746842	0.8733499847375915	0.8739677396633092	0.8734540570484404	0.8513164736191201	0.8749599657330167	0.8711333738186033	0.8702551367001491	1.0	0.9885783954070602	0.872510173899141	0.8781219312031002	0.873757157320181	0.8739545824398333	0.8804063037871492	0.8809726724526613	0.9883079153935592
Pseudomonas_sp_OLsAu1	0.8739043322701472	0.8731461083649399	0.8736343463906652	0.8728488818474145	0.8511466362165763	0.8743514606297371	0.8711004167681353	0.870291408038425	0.9885783954070602	1.0	0.8726734774077338	0.8781277754888919	0.8735829847446476	0.8735722011905273	0.8805123266847368	0.8804965373020892	0.9886778259108251
