#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_236949_cov_43.085704_158 -            441 18426at72274         -            352  2.5e-171  568.1   0.2   1   1  3.5e-173  2.5e-170  564.8   0.2     1   351    12   424    12   425 0.88 # 156431 # 157753 # -1 # ID=2_158;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.630
NODE_4_length_234165_cov_40.976902_178 -            685 18426at72274         -            352   1.2e-14   52.8   0.0   1   2   1.2e-11   8.2e-09   33.6   0.0     2    66     6    68     5   103 0.83 # 189711 # 191765 # -1 # ID=4_178;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.648
NODE_4_length_234165_cov_40.976902_178 -            685 18426at72274         -            352   1.2e-14   52.8   0.0   2   2   1.2e-06   0.00082   17.2   0.0    76   178   119   226   106   258 0.84 # 189711 # 191765 # -1 # ID=4_178;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.648
NODE_27_length_96933_cov_42.098350_23  -            353 18426at72274         -            352   3.7e-09   34.7   0.0   1   1   1.2e-11   8.5e-09   33.5   0.0     5   103    23   134    20   152 0.73 # 27159 # 28217 # -1 # ID=27_23;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_30_length_79518_cov_42.259746_53  -            855 18426at72274         -            352   3.8e-05   21.5   0.0   1   3   0.00016      0.11   10.1   0.0     5    59   171   222   167   233 0.76 # 55347 # 57911 # 1 # ID=30_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_30_length_79518_cov_42.259746_53  -            855 18426at72274         -            352   3.8e-05   21.5   0.0   2   3       1.2   8.2e+02   -2.6   0.0    79    91   274   286   266   359 0.57 # 55347 # 57911 # 1 # ID=30_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_30_length_79518_cov_42.259746_53  -            855 18426at72274         -            352   3.8e-05   21.5   0.0   3   3   0.00069      0.49    8.0   0.0    37    60   599   622   561   636 0.76 # 55347 # 57911 # 1 # ID=30_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_2_length_236949_cov_43.085704_165 -            757 18426at72274         -            352   0.00061   17.6   0.2   1   4     0.002       1.4    6.5   0.0    27    59   202   234   179   243 0.77 # 163357 # 165627 # -1 # ID=2_165;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_2_length_236949_cov_43.085704_165 -            757 18426at72274         -            352   0.00061   17.6   0.2   2   4      0.64   4.5e+02   -1.7   0.0    78    87   284   293   271   298 0.80 # 163357 # 165627 # -1 # ID=2_165;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_2_length_236949_cov_43.085704_165 -            757 18426at72274         -            352   0.00061   17.6   0.2   3   4    0.0014      0.96    7.1   0.0    37    60   493   516   483   523 0.90 # 163357 # 165627 # -1 # ID=2_165;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_2_length_236949_cov_43.085704_165 -            757 18426at72274         -            352   0.00061   17.6   0.2   4   4       1.6   1.1e+03   -3.0   0.0   134   170   657   694   652   714 0.75 # 163357 # 165627 # -1 # ID=2_165;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
