	Pseudomonas_azotoformans_LMG21611	Pseudomonas_azotoformans_S4	Pseudomonas_brenneri_DSM-15294	Pseudomonas_fluorescens_ATCC13525	Pseudomonas_fragi_NL20W	Pseudomonas_gessardii_LMG21604	Pseudomonas_lactis_SS101	Pseudomonas_sp_WCS374	Pseudomonas_yamanorum_LBUM636	Pseudomonas_sp_OLsAu1
Pseudomonas_azotoformans_LMG21611	1.0	0.9075794893829735	0.8719336749908789	0.8834958853342555	0.8510893999495843	0.874221198660194	0.8840147546772805	0.8834293821798846	0.8743748653746842	0.8739043322701472
Pseudomonas_azotoformans_S4	0.9075794893829735	1.0	0.8715788265734782	0.8824539762519423	0.8500174748771674	0.8747828067846392	0.8825524218224046	0.8816430301970559	0.8733499847375915	0.8731461083649399
Pseudomonas_brenneri_DSM-15294	0.8719336749908789	0.8715788265734782	1.0	0.869085510323655	0.8509582689612727	0.9187662829500106	0.8708311082547091	0.8699515022929266	0.8739677396633092	0.8736343463906652
Pseudomonas_fluorescens_ATCC13525	0.8834958853342555	0.8824539762519423	0.869085510323655	1.0	0.8508254323484991	0.8704785054787714	0.880955046665663	0.8793280263493393	0.8734540570484404	0.8728488818474145
Pseudomonas_fragi_NL20W	0.8510893999495843	0.8500174748771674	0.8509582689612727	0.8508254323484991	1.0	0.852626804563238	0.8505726455276857	0.8509605733002975	0.8513164736191201	0.8511466362165763
Pseudomonas_gessardii_LMG21604	0.874221198660194	0.8747828067846392	0.9187662829500106	0.8704785054787714	0.852626804563238	1.0	0.8723809693906064	0.8711097746136619	0.8749599657330167	0.8743514606297371
Pseudomonas_lactis_SS101	0.8840147546772805	0.8825524218224046	0.8708311082547091	0.880955046665663	0.8505726455276857	0.8723809693906064	1.0	0.9532247823403319	0.8711333738186033	0.8711004167681353
Pseudomonas_sp_WCS374	0.8834293821798846	0.8816430301970559	0.8699515022929266	0.8793280263493393	0.8509605733002975	0.8711097746136619	0.9532247823403319	1.0	0.8702551367001491	0.870291408038425
Pseudomonas_yamanorum_LBUM636	0.8743748653746842	0.8733499847375915	0.8739677396633092	0.8734540570484404	0.8513164736191201	0.8749599657330167	0.8711333738186033	0.8702551367001491	1.0	0.9885789899250835
Pseudomonas_sp_OLsAu1	0.8739043322701472	0.8731461083649399	0.8736343463906652	0.8728488818474145	0.8511466362165763	0.8743514606297371	0.8711004167681353	0.870291408038425	0.9885789899250835	1.0
