#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_235494_cov_41.884601_73  -            402 23243at72274         -            310  4.4e-112  372.6  14.2   1   1  9.9e-114  2.1e-110  367.1  14.2     1   310    28   397    28   397 0.89 # 90006 # 91211 # -1 # ID=4_73;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.610
NODE_4_length_235494_cov_41.884601_140 -            806 23243at72274         -            310   7.1e-08   30.3   0.6   1   6   3.9e-06    0.0084   13.6   0.0    67   165   229   328   225   331 0.64 # 149752 # 152169 # 1 # ID=4_140;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.632
NODE_4_length_235494_cov_41.884601_140 -            806 23243at72274         -            310   7.1e-08   30.3   0.6   2   6     0.043        92    0.4   0.0    59    94   364   399   348   411 0.75 # 149752 # 152169 # 1 # ID=4_140;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.632
NODE_4_length_235494_cov_41.884601_140 -            806 23243at72274         -            310   7.1e-08   30.3   0.6   3   6     0.046        98    0.3   0.0    79    97   462   480   457   494 0.58 # 149752 # 152169 # 1 # ID=4_140;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.632
NODE_4_length_235494_cov_41.884601_140 -            806 23243at72274         -            310   7.1e-08   30.3   0.6   4   6    0.0023         5    4.5   0.0   146   169   507   530   500   543 0.61 # 149752 # 152169 # 1 # ID=4_140;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.632
NODE_4_length_235494_cov_41.884601_140 -            806 23243at72274         -            310   7.1e-08   30.3   0.6   5   6      0.42     9e+02   -2.9   0.0   204   220   685   701   683   705 0.82 # 149752 # 152169 # 1 # ID=4_140;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.632
NODE_4_length_235494_cov_41.884601_140 -            806 23243at72274         -            310   7.1e-08   30.3   0.6   6   6     0.013        29    2.0   0.0    73   107   736   770   725   793 0.78 # 149752 # 152169 # 1 # ID=4_140;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.632
NODE_1_length_774295_cov_40.518222_662 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   1   7   1.1e-05     0.024   12.2   0.0    67    94   222   249   218   255 0.89 # 709868 # 712228 # 1 # ID=1_662;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_1_length_774295_cov_40.518222_662 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   2   7      0.47     1e+03   -3.1   0.0   150   167   288   305   280   306 0.63 # 709868 # 712228 # 1 # ID=1_662;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_1_length_774295_cov_40.518222_662 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   3   7      0.15   3.2e+02   -1.4   0.0    63    93   343   373   329   376 0.60 # 709868 # 712228 # 1 # ID=1_662;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_1_length_774295_cov_40.518222_662 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   4   7    0.0034       7.3    4.0   0.0    78    97   436   455   426   460 0.81 # 709868 # 712228 # 1 # ID=1_662;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_1_length_774295_cov_40.518222_662 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   5   7       1.1   2.4e+03   -4.3   0.0    77   167   490   504   484   508 0.53 # 709868 # 712228 # 1 # ID=1_662;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_1_length_774295_cov_40.518222_662 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   6   7      0.84   1.8e+03   -3.9   0.0   204   219   661   676   661   679 0.84 # 709868 # 712228 # 1 # ID=1_662;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_1_length_774295_cov_40.518222_662 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   7   7      0.01        22    2.4   0.0    73    99   716   742   704   760 0.69 # 709868 # 712228 # 1 # ID=1_662;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/23243at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_def/run_pseudomonadales_odb10/hmmer_output/23243at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/23243at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:35:01 2023
# [ok]
