	Pseudomonas_azotoformans_LMG21611	Pseudomonas_azotoformans_S4	Pseudomonas_brenneri_DSM-15294	Pseudomonas_fluorescens_ATCC13525	Pseudomonas_fragi_NL20W	Pseudomonas_gessardii_LMG21604	Pseudomonas_lactis_SS101	Pseudomonas_sp_WCS374	Pseudomonas_yamanorum_LBUM636	Pseudomonas_sp_OLsAu1	Pseudomonas_karstica_CCM7891	Pseudomonas_mucidolens_LMG2223	Pseudomonas_proteolytica_DSM15321	Pseudomonas_proteolytica_WS5126	Pseudomonas_spelaei_CCM7893	Pseudomonas_yamanorum_GZD14026	Pseudomonas_yamanorum_LMG27247
Pseudomonas_azotoformans_LMG21611	0.0	500303.0	472821.0	533669.0	243972.0	458164.0	504482.0	493292.0	557555.0	556914.0	453721.0	304083.0	469325.0	469594.0	501229.0	503393.0	555569.0
Pseudomonas_azotoformans_S4	500303.0	0.0	470017.0	532777.0	243321.0	452932.0	506097.0	501565.0	561371.0	561091.0	462153.0	299747.0	458859.0	459080.0	512422.0	513027.0	565162.0
Pseudomonas_brenneri_DSM-15294	472821.0	470017.0	0.0	464081.0	249186.0	395213.0	456429.0	453341.0	492052.0	491688.0	447660.0	341472.0	366063.0	368198.0	497816.0	496806.0	493424.0
Pseudomonas_fluorescens_ATCC13525	533669.0	532777.0	464081.0	0.0	230232.0	453025.0	506122.0	515857.0	554191.0	549990.0	444473.0	286893.0	455004.0	453995.0	513587.0	514741.0	550463.0
Pseudomonas_fragi_NL20W	243972.0	243321.0	249186.0	230232.0	0.0	254413.0	236805.0	230144.0	253072.0	250288.0	220913.0	151988.0	252886.0	252678.0	243759.0	238861.0	250551.0
Pseudomonas_gessardii_LMG21604	458164.0	452932.0	395213.0	453025.0	254413.0	0.0	443019.0	445333.0	479040.0	478007.0	432743.0	337923.0	365260.0	369635.0	482068.0	477789.0	479361.0
Pseudomonas_lactis_SS101	504482.0	506097.0	456429.0	506122.0	236805.0	443019.0	0.0	242956.0	512471.0	510782.0	436334.0	288220.0	453443.0	453512.0	485333.0	481934.0	513058.0
Pseudomonas_sp_WCS374	493292.0	501565.0	453341.0	515857.0	230144.0	445333.0	242956.0	0.0	513194.0	507857.0	431135.0	282649.0	456139.0	456113.0	493148.0	495484.0	509767.0
Pseudomonas_yamanorum_LBUM636	557555.0	561371.0	492052.0	554191.0	253072.0	479040.0	512471.0	513194.0	0.0	74458.0	477653.0	314247.0	490675.0	491215.0	537522.0	531420.0	76697.0
Pseudomonas_sp_OLsAu1	556914.0	561091.0	491688.0	549990.0	250288.0	478007.0	510782.0	507857.0	74458.0	0.0	474665.0	315330.0	492091.0	491958.0	535915.0	528943.0	73869.0
Pseudomonas_karstica_CCM7891	453721.0	462153.0	447660.0	444473.0	220913.0	432743.0	436334.0	431135.0	477653.0	474665.0	0.0	306030.0	439719.0	439593.0	461241.0	454231.0	476478.0
Pseudomonas_mucidolens_LMG2223	304083.0	299747.0	341472.0	286893.0	151988.0	337923.0	288220.0	282649.0	314247.0	315330.0	306030.0	0.0	325278.0	325336.0	313475.0	311658.0	318098.0
Pseudomonas_proteolytica_DSM15321	469325.0	458859.0	366063.0	455004.0	252886.0	365260.0	453443.0	456139.0	490675.0	492091.0	439719.0	325278.0	0.0	1008.0	481361.0	485484.0	493299.0
Pseudomonas_proteolytica_WS5126	469594.0	459080.0	368198.0	453995.0	252678.0	369635.0	453512.0	456113.0	491215.0	491958.0	439593.0	325336.0	1008.0	0.0	480921.0	485102.0	492413.0
Pseudomonas_spelaei_CCM7893	501229.0	512422.0	497816.0	513587.0	243759.0	482068.0	485333.0	493148.0	537522.0	535915.0	461241.0	313475.0	481361.0	480921.0	0.0	79064.0	536403.0
Pseudomonas_yamanorum_GZD14026	503393.0	513027.0	496806.0	514741.0	238861.0	477789.0	481934.0	495484.0	531420.0	528943.0	454231.0	311658.0	485484.0	485102.0	79064.0	0.0	528804.0
Pseudomonas_yamanorum_LMG27247	555569.0	565162.0	493424.0	550463.0	250551.0	479361.0	513058.0	509767.0	76697.0	73869.0	476478.0	318098.0	493299.0	492413.0	536403.0	528804.0	0.0
