#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_19_length_101432_cov_35.922694_78 -            301 36169at72274         -            263  1.6e-149  494.8   0.5   1   1  3.5e-152  1.9e-149  494.6   0.5     1   263    12   296    12   296 0.96 # 79347 # 80249 # 1 # ID=19_78;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.632
NODE_8_length_148139_cov_37.122890_32  -            307 36169at72274         -            263   1.8e-69  232.4   0.2   1   1     4e-72   2.1e-69  232.2   0.2     1   263    10   303    10   303 0.86 # 22268 # 23188 # 1 # ID=8_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
NODE_19_length_101432_cov_35.922694_34 -            325 36169at72274         -            263   2.1e-58  196.1   0.8   1   1   2.5e-60   1.3e-57  193.5   0.8     1   263    12   313    12   313 0.80 # 31953 # 32927 # 1 # ID=19_34;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.609
NODE_2_length_205536_cov_36.855734_47  -            459 36169at72274         -            263   1.3e-50  170.6   0.0   1   1   9.5e-53   5.1e-50  168.6   0.0     1   260    13   311    13   313 0.79 # 43492 # 44868 # -1 # ID=2_47;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
NODE_41_length_63635_cov_34.565304_19  -            310 36169at72274         -            263   1.4e-41  141.0   0.0   1   1   3.4e-44   1.8e-41  140.6   0.0     1   258    15   305    15   307 0.81 # 23266 # 24195 # 1 # ID=41_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612
NODE_58_length_48388_cov_34.781702_34  -            365 36169at72274         -            263   1.9e-22   78.3   0.0   1   2   5.6e-19     3e-16   58.0   0.0     5   177    31   211    29   220 0.82 # 34471 # 35565 # 1 # ID=58_34;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.617
NODE_58_length_48388_cov_34.781702_34  -            365 36169at72274         -            263   1.9e-22   78.3   0.0   2   2   7.3e-07   0.00039   18.2   0.1   184   260   236   324   230   326 0.71 # 34471 # 35565 # 1 # ID=58_34;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.617
NODE_2_length_205536_cov_36.855734_175 -            340 36169at72274         -            263   6.7e-16   56.8   0.0   1   1   1.9e-18     1e-15   56.2   0.0    13   202    49   238    39   254 0.84 # 160504 # 161523 # 1 # ID=2_175;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_36_length_69443_cov_35.935565_49  -            505 36169at72274         -            263   1.3e-14   52.5   0.0   1   1   3.7e-17     2e-14   52.0   0.0    13   188    36   210    20   239 0.87 # 49099 # 50613 # 1 # ID=36_49;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638
NODE_49_length_54711_cov_35.381879_60  -            307 36169at72274         -            263   1.7e-08   32.6   0.0   1   2     2e-10   1.1e-07   29.9   0.0    13   187    20   192     6   222 0.84 # 52163 # 53083 # -1 # ID=49_60;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.632
NODE_49_length_54711_cov_35.381879_60  -            307 36169at72274         -            263   1.7e-08   32.6   0.0   2   2      0.15        81    0.8   0.0   129   175   211   258   180   283 0.69 # 52163 # 53083 # -1 # ID=49_60;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.632
