#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10_length_140286_cov_31.780517_25 -            292 28379at72274         -            227  4.3e-134  443.3   0.3   1   1    1e-136  5.1e-134  443.1   0.3     1   227    48   290    48   290 0.97 # 27175 # 28050 # 1 # ID=10_25;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.596
NODE_80_length_19992_cov_29.714515_5   -            255 28379at72274         -            227   1.4e-13   49.0   0.0   1   1   3.8e-16   1.8e-13   48.7   0.0    34   169    23   161     8   183 0.85 # 4895 # 5659 # -1 # ID=80_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.644
NODE_5_length_204350_cov_31.943180_103 -            270 28379at72274         -            227   8.8e-09   33.4   0.0   1   1   2.7e-11   1.3e-08   32.8   0.0    12   153    15   149    11   155 0.89 # 116526 # 117335 # 1 # ID=5_103;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_2_length_234165_cov_30.973912_133 -            233 28379at72274         -            227   2.9e-08   31.7   0.0   1   1   7.9e-11   3.8e-08   31.3   0.0    54   165    49   159    31   184 0.82 # 153099 # 153797 # -1 # ID=2_133;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.612
NODE_17_length_110079_cov_30.099496_85 -            249 28379at72274         -            227     2e-06   25.6   0.0   1   1   4.9e-09   2.4e-06   25.4   0.0    48   154    38   145     4   193 0.81 # 90167 # 90913 # -1 # ID=17_85;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.580
NODE_18_length_107337_cov_31.812683_13 -            245 28379at72274         -            227   3.2e-06   25.0   0.0   1   1   8.4e-09   4.1e-06   24.6   0.0    61   157    57   153    48   181 0.80 # 15021 # 15755 # -1 # ID=18_13;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.629
NODE_5_length_204350_cov_31.943180_18  -            332 28379at72274         -            227   1.7e-05   22.6   0.0   1   1   7.1e-08   3.4e-05   21.6   0.0    11   159   122   269   115   278 0.74 # 17836 # 18831 # -1 # ID=5_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.617
NODE_27_length_85717_cov_31.296630_87  -            243 28379at72274         -            227   2.6e-05   22.0   0.0   1   1   7.1e-08   3.4e-05   21.6   0.0    55   154    45   141    31   210 0.71 # 84836 # 85564 # -1 # ID=27_87;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.608
NODE_4_length_205576_cov_31.615476_48  -            260 28379at72274         -            227    0.0001   20.1   0.0   1   1   3.2e-07   0.00015   19.5   0.0    54   154    44   137    33   150 0.79 # 53570 # 54349 # -1 # ID=4_48;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.627
NODE_49_length_51082_cov_32.699884_10  -            275 28379at72274         -            227   0.00015   19.5   0.0   1   2   8.9e-07   0.00043   18.0   0.1    55   155    53   151    42   156 0.94 # 13269 # 14093 # -1 # ID=49_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.616
NODE_49_length_51082_cov_32.699884_10  -            275 28379at72274         -            227   0.00015   19.5   0.0   2   2      0.99   4.8e+02   -1.8   0.0     3    53   206   255   204   261 0.75 # 13269 # 14093 # -1 # ID=49_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.616
