#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_29_length_94682_cov_10.964012_47  -            478 18218at72274         -            378  9.3e-136  451.4   4.7   1   1  7.4e-139  1.2e-135  451.1   4.7     2   378    22   471    21   471 0.88 # 46367 # 47800 # -1 # ID=29_47;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608
NODE_8_length_135493_cov_11.702015_76  -            273 18218at72274         -            378   3.7e-24   84.1   1.2   1   1   4.8e-27   7.5e-24   83.1   1.2    54   223    96   267    45   271 0.79 # 90840 # 91658 # -1 # ID=8_76;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.591
NODE_27_length_97117_cov_11.094278_14  -            296 18218at72274         -            378   4.3e-05   21.4   0.6   1   3   1.6e-07   0.00025   18.9   0.0    33   106    76   153    58   156 0.72 # 13068 # 13955 # -1 # ID=27_14;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.595
NODE_27_length_97117_cov_11.094278_14  -            296 18218at72274         -            378   4.3e-05   21.4   0.6   2   3     0.091   1.4e+02   -0.1   0.0   157   178   217   238   206   248 0.86 # 13068 # 13955 # -1 # ID=27_14;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.595
NODE_27_length_97117_cov_11.094278_14  -            296 18218at72274         -            378   4.3e-05   21.4   0.6   3   3      0.98   1.5e+03   -3.5   0.1   197   215   276   294   270   294 0.77 # 13068 # 13955 # -1 # ID=27_14;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.595
NODE_10_length_127481_cov_12.758602_50 -            556 18218at72274         -            378       0.1   10.3  17.5   1   5     0.076   1.2e+02    0.2   0.5   272   326   142   197   100   201 0.78 # 45471 # 47138 # 1 # ID=10_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.607
NODE_10_length_127481_cov_12.758602_50 -            556 18218at72274         -            378       0.1   10.3  17.5   2   5   0.00096       1.5    6.4   0.1   264   320   235   295   233   307 0.74 # 45471 # 47138 # 1 # ID=10_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.607
NODE_10_length_127481_cov_12.758602_50 -            556 18218at72274         -            378       0.1   10.3  17.5   3   5     0.001       1.6    6.3   2.5   265   336   337   406   331   433 0.57 # 45471 # 47138 # 1 # ID=10_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.607
NODE_10_length_127481_cov_12.758602_50 -            556 18218at72274         -            378       0.1   10.3  17.5   4   5   0.00096       1.5    6.4   2.5   264   330   371   441   368   469 0.70 # 45471 # 47138 # 1 # ID=10_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.607
NODE_10_length_127481_cov_12.758602_50 -            556 18218at72274         -            378       0.1   10.3  17.5   5   5     0.035        55    1.3   0.1   273   325   483   538   436   549 0.55 # 45471 # 47138 # 1 # ID=10_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.607
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/18218at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130.spades_kmer/run_pseudomonadales_odb10/hmmer_output/18218at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/18218at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:30:24 2023
# [ok]
