#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_6_length_212507_cov_41.251422_171 -            157 64373at72274         -            120   2.7e-54  180.3   0.0   1   1   3.3e-57   3.5e-54  180.0   0.0     1   111     8   129     8   151 0.92 # 198253 # 198723 # -1 # ID=6_171;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.565
NODE_30_length_79518_cov_42.259746_14  -            322 64373at72274         -            120    0.0098   13.9   0.0   1   1   2.3e-05     0.024   12.7   0.0    19    39     8    28     4    42 0.83 # 13567 # 14532 # 1 # ID=30_14;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.610
NODE_26_length_98166_cov_43.232468_47  -            518 64373at72274         -            120     0.023   12.8   0.3   1   2     0.002       2.1    6.4   0.0    13    35    30    53    21    60 0.78 # 44613 # 46166 # 1 # ID=26_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_26_length_98166_cov_43.232468_47  -            518 64373at72274         -            120     0.023   12.8   0.3   2   2     0.014        14    3.7   0.0     6    38   272   305   267   323 0.75 # 44613 # 46166 # 1 # ID=26_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_27_length_96933_cov_42.098350_54  -            327 64373at72274         -            120     0.032   12.3   0.0   1   1   5.7e-05      0.06   11.4   0.0    10    42    39    71    30    82 0.88 # 60712 # 61692 # 1 # ID=27_54;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.639
NODE_22_length_101384_cov_40.935415_8  -            692 64373at72274         -            120     0.048   11.7   0.0   1   1    0.0001      0.11   10.5   0.0    21    62   294   338   277   347 0.84 # 4926 # 7001 # 1 # ID=22_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.650
NODE_26_length_98166_cov_43.232468_74  -            553 64373at72274         -            120       0.1   10.6   1.6   1   3     0.074        78    1.3   0.1    18    48    40    70    25    76 0.79 # 71132 # 72790 # 1 # ID=26_74;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
NODE_26_length_98166_cov_43.232468_74  -            553 64373at72274         -            120       0.1   10.6   1.6   2   3    0.0011       1.2    7.2   0.1    19    37   321   339   303   349 0.76 # 71132 # 72790 # 1 # ID=26_74;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
NODE_26_length_98166_cov_43.232468_74  -            553 64373at72274         -            120       0.1   10.6   1.6   3   3         1   1.1e+03   -2.4   0.0    10    41   476   507   473   516 0.77 # 71132 # 72790 # 1 # ID=26_74;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/64373at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/run_pseudomonadales_odb10/hmmer_output/64373at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/64373at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:37:12 2023
# [ok]
