#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_774295_cov_40.668278_556 -            666 3912at72274          -            556         0 1065.5   3.1   1   1         0         0 1059.3   3.1     1   556     7   651     7   651 0.91 # 589186 # 591183 # 1 # ID=1_556;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_20_length_107058_cov_41.325310_50 -            687 3912at72274          -            556    4e-160  532.3   0.1   1   1  1.4e-161  1.5e-158  527.1   0.1     3   556    14   670    12   670 0.85 # 47616 # 49676 # -1 # ID=20_50;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.626
NODE_23_length_98846_cov_42.042361_97  -            633 3912at72274          -            556   5.4e-09   33.4   0.0   1   3   1.5e-05     0.016   12.0   0.1    19   181    55   199    41   219 0.71 # 94142 # 96040 # -1 # ID=23_97;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.628
NODE_23_length_98846_cov_42.042361_97  -            633 3912at72274          -            556   5.4e-09   33.4   0.0   2   3     0.038        41    0.7   0.0   190   210   250   271   246   282 0.89 # 94142 # 96040 # -1 # ID=23_97;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.628
NODE_23_length_98846_cov_42.042361_97  -            633 3912at72274          -            556   5.4e-09   33.4   0.0   3   3     6e-07   0.00064   16.6   0.0   349   460   380   490   332   551 0.75 # 94142 # 96040 # -1 # ID=23_97;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.628
NODE_13_length_139524_cov_40.570575_35 -            890 3912at72274          -            556   5.5e-07   26.7   0.0   1   2   2.1e-07   0.00022   18.1   0.0   132   203   223   296   136   310 0.90 # 37006 # 39675 # 1 # ID=13_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.620
NODE_13_length_139524_cov_40.570575_35 -            890 3912at72274          -            556   5.5e-07   26.7   0.0   2   2   0.00071      0.75    6.5   0.0   185   256   366   435   360   490 0.71 # 37006 # 39675 # 1 # ID=13_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.620
NODE_2_length_306509_cov_40.847444_228 -            882 3912at72274          -            556   3.6e-06   24.0   0.0   1   2   5.3e-07   0.00056   16.8   0.0    50   204   132   291    83   306 0.74 # 256961 # 259606 # -1 # ID=2_228;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.589
NODE_2_length_306509_cov_40.847444_228 -            882 3912at72274          -            556   3.6e-06   24.0   0.0   2   2     0.002       2.2    5.0   0.0   193   244   367   416   355   430 0.75 # 256961 # 259606 # -1 # ID=2_228;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.589
NODE_52_length_36014_cov_39.547569_4   -            893 3912at72274          -            556   0.00018   18.4   0.0   1   3   1.6e-06    0.0017   15.2   0.0   127   214   226   315    86   340 0.80 # 1442 # 4120 # -1 # ID=52_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.644
NODE_52_length_36014_cov_39.547569_4   -            893 3912at72274          -            556   0.00018   18.4   0.0   2   3     0.067        72   -0.1   0.0   196   238   383   426   370   441 0.73 # 1442 # 4120 # -1 # ID=52_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.644
NODE_52_length_36014_cov_39.547569_4   -            893 3912at72274          -            556   0.00018   18.4   0.0   3   3       0.4   4.2e+02   -2.6   0.0   399   442   639   682   593   686 0.83 # 1442 # 4120 # -1 # ID=52_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.644
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/3912at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_def.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_def.spades_def/run_pseudomonadales_odb10/hmmer_output/3912at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/3912at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_def.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:38:21 2023
# [ok]
