	Pseudomonas_azotoformans_LMG21611	Pseudomonas_azotoformans_S4	Pseudomonas_brenneri_DSM-15294	Pseudomonas_fluorescens_ATCC13525	Pseudomonas_fragi_NL20W	Pseudomonas_gessardii_LMG21604	Pseudomonas_lactis_SS101	Pseudomonas_sp_WCS374	Pseudomonas_yamanorum_LBUM636	Pseudomonas_sp_OLsAu1
Pseudomonas_azotoformans_LMG21611	6727386.0	5413333.0	3692001.0	4580688.0	1638379.0	3642617.0	4349536.0	4231701.0	4438244.0	4416599.0
Pseudomonas_azotoformans_S4	5413333.0	6859618.0	3659965.0	4532497.0	1622329.0	3617171.0	4309131.0	4237731.0	4432459.0	4423128.0
Pseudomonas_brenneri_DSM-15294	3692001.0	3659965.0	6032706.0	3544917.0	1671921.0	4865135.0	3533583.0	3485938.0	3904175.0	3890994.0
Pseudomonas_fluorescens_ATCC13525	4580688.0	4532497.0	3544917.0	6511547.0	1543373.0	3497682.0	4251520.0	4274870.0	4379366.0	4325483.0
Pseudomonas_fragi_NL20W	1638379.0	1622329.0	1671921.0	1543373.0	5077209.0	1726318.0	1584750.0	1544182.0	1702085.0	1681440.0
Pseudomonas_gessardii_LMG21604	3642617.0	3617171.0	4865135.0	3497682.0	1726318.0	6695628.0	3471418.0	3455134.0	3831093.0	3804318.0
Pseudomonas_lactis_SS101	4349536.0	4309131.0	3533583.0	4251520.0	1584750.0	3471418.0	6179543.0	5194118.0	3976755.0	3962635.0
Pseudomonas_sp_WCS374	4231701.0	4237731.0	3485938.0	4274870.0	1544182.0	3455134.0	5194118.0	6085054.0	3955409.0	3915369.0
Pseudomonas_yamanorum_LBUM636	4438244.0	4432459.0	3904175.0	4379366.0	1702085.0	3831093.0	3976755.0	3955409.0	6856835.0	6518863.0
Pseudomonas_sp_OLsAu1	4416599.0	4423128.0	3890994.0	4325483.0	1681440.0	3804318.0	3962635.0	3915369.0	6518863.0	6884727.0
