#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_28_length_96887_cov_40.525679_48  -            869 3242at72274          -            746         0 1370.2   0.3   1   1         0         0 1366.8   0.3    13   746    34   867    21   867 0.92 # 47811 # 50417 # -1 # ID=28_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.613
NODE_3_length_235490_cov_43.137961_171 -            949 3242at72274          -            746   1.7e-29  100.7   2.3   1   5   1.1e-16   1.4e-13   48.1   0.0    19   150    36   186    21   195 0.74 # 185505 # 188351 # 1 # ID=3_171;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.612
NODE_3_length_235490_cov_43.137961_171 -            949 3242at72274          -            746   1.7e-29  100.7   2.3   2   5   2.7e-10   3.5e-07   26.9   0.0   256   337   224   305   198   332 0.81 # 185505 # 188351 # 1 # ID=3_171;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.612
NODE_3_length_235490_cov_43.137961_171 -            949 3242at72274          -            746   1.7e-29  100.7   2.3   3   5   7.3e-06    0.0092   12.3   0.1   368   412   417   461   400   472 0.90 # 185505 # 188351 # 1 # ID=3_171;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.612
NODE_3_length_235490_cov_43.137961_171 -            949 3242at72274          -            746   1.7e-29  100.7   2.3   4   5    0.0011       1.4    5.0   0.0   555   581   544   570   537   578 0.86 # 185505 # 188351 # 1 # ID=3_171;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.612
NODE_3_length_235490_cov_43.137961_171 -            949 3242at72274          -            746   1.7e-29  100.7   2.3   5   5    0.0073       9.3    2.4   0.0   577   623   603   649   583   671 0.82 # 185505 # 188351 # 1 # ID=3_171;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.612
NODE_30_length_79518_cov_42.259746_39  -            944 3242at72274          -            746   8.3e-20   68.7   0.0   1   4   3.6e-09   4.6e-06   23.2   0.0    21   145    58   193    50   205 0.80 # 43126 # 45957 # 1 # ID=30_39;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609
NODE_30_length_79518_cov_42.259746_39  -            944 3242at72274          -            746   8.3e-20   68.7   0.0   2   4   7.6e-07   0.00097   15.5   0.0   250   340   273   363   231   389 0.67 # 43126 # 45957 # 1 # ID=30_39;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609
NODE_30_length_79518_cov_42.259746_39  -            944 3242at72274          -            746   8.3e-20   68.7   0.0   3   4   4.7e-06     0.006   12.9   0.0   369   396   463   491   439   542 0.81 # 43126 # 45957 # 1 # ID=30_39;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609
NODE_30_length_79518_cov_42.259746_39  -            944 3242at72274          -            746   8.3e-20   68.7   0.0   4   4   1.3e-05     0.017   11.5   0.0   561   592   607   638   575   670 0.82 # 43126 # 45957 # 1 # ID=30_39;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609
NODE_50_length_38781_cov_44.722343_5   -            684 3242at72274          -            746   6.4e-06   22.8   0.0   1   1   9.5e-09   1.2e-05   21.8   0.0    16   147     9   139     5   152 0.85 # 5860 # 7911 # 1 # ID=50_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.607
