#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10_length_199183_cov_41.836345_25 -            292 28379at72274         -            227  4.4e-134  443.3   0.3   1   1    1e-136  5.1e-134  443.1   0.3     1   227    48   290    48   290 0.97 # 27190 # 28065 # 1 # ID=10_25;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.596
NODE_69_length_20007_cov_39.367901_5   -            255 28379at72274         -            227   1.4e-13   49.0   0.0   1   1   3.8e-16   1.8e-13   48.7   0.0    34   169    23   161     8   183 0.85 # 4910 # 5674 # -1 # ID=69_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.644
NODE_1_length_486209_cov_41.704357_382 -            270 28379at72274         -            227   8.8e-09   33.4   0.0   1   1   2.7e-11   1.3e-08   32.8   0.0    12   153    15   149    11   155 0.89 # 398385 # 399194 # 1 # ID=1_382;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_4_length_234165_cov_40.976902_77  -            233 28379at72274         -            227   2.9e-08   31.7   0.0   1   1   7.9e-11   3.9e-08   31.3   0.0    54   165    49   159    31   184 0.82 # 80369 # 81067 # 1 # ID=4_77;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.611
NODE_6_length_212507_cov_41.251422_85  -            249 28379at72274         -            227     2e-06   25.6   0.0   1   1   4.9e-09   2.4e-06   25.4   0.0    48   154    38   145     4   193 0.81 # 90310 # 91056 # -1 # ID=6_85;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.580
NODE_19_length_107352_cov_42.100236_13 -            245 28379at72274         -            227   3.2e-06   25.0   0.0   1   1   8.4e-09   4.1e-06   24.6   0.0    61   157    57   153    48   181 0.80 # 15036 # 15770 # -1 # ID=19_13;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.629
NODE_1_length_486209_cov_41.704357_297 -            332 28379at72274         -            227   1.7e-05   22.6   0.0   1   1   7.1e-08   3.4e-05   21.6   0.0    11   159   122   269   115   278 0.74 # 299695 # 300690 # -1 # ID=1_297;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.617
NODE_12_length_160433_cov_40.733708_78 -            243 28379at72274         -            227   2.6e-05   22.0   0.0   1   1   7.1e-08   3.4e-05   21.6   0.0    55   154    45   141    31   210 0.71 # 74870 # 75598 # 1 # ID=12_78;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609
NODE_9_length_205576_cov_41.813470_166 -            260 28379at72274         -            227    0.0001   20.1   0.0   1   1   3.2e-07   0.00016   19.5   0.0    54   154    44   137    33   150 0.79 # 151228 # 152007 # 1 # ID=9_166;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.627
NODE_3_length_235490_cov_43.137961_200 -            275 28379at72274         -            227   0.00015   19.5   0.0   1   2   8.9e-07   0.00043   18.0   0.1    55   155    53   151    42   156 0.94 # 221398 # 222222 # 1 # ID=3_200;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.615
NODE_3_length_235490_cov_43.137961_200 -            275 28379at72274         -            227   0.00015   19.5   0.0   2   2      0.99   4.8e+02   -1.8   0.0     3    53   206   255   204   261 0.75 # 221398 # 222222 # 1 # ID=3_200;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.615
NODE_1_length_486209_cov_41.704357_205 -            399 28379at72274         -            227    0.0018   16.0   0.0   1   1   6.3e-06    0.0031   15.2   0.0    93   180    93   184    67   202 0.74 # 212935 # 214131 # -1 # ID=1_205;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623
NODE_15_length_139124_cov_51.392869_46 -            217 28379at72274         -            227     0.014   13.1   0.1   1   1    0.0004       0.2    9.3   0.1    55   185    51   189    41   197 0.59 # 53393 # 54043 # -1 # ID=15_46;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_1_length_486209_cov_41.704357_232 -            207 28379at72274         -            227     0.045   11.4   0.0   1   1   0.00014     0.067   10.9   0.0   104   147    59   104    14   113 0.82 # 237460 # 238080 # -1 # ID=1_232;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.617
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/28379at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/run_pseudomonadales_odb10/hmmer_output/28379at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/28379at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:36:36 2023
# [ok]
