# BUSCO version is: 5.3.2 
# The lineage dataset is: pseudomonadales_odb10 (Creation date: 2020-03-06, number of genomes: 159, number of BUSCOs: 782)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
207at72274	Complete	NODE_35_length_69566_cov_40.696566	54678	58877	-	2477.1	1220	https://www.orthodb.org/v10?query=207at72274	DNA-directed RNA polymerase subunit beta'
208at72274	Complete	NODE_35_length_69566_cov_40.696566	58942	63015	-	2330.9	1218	https://www.orthodb.org/v10?query=208at72274	DNA-directed RNA polymerase subunit beta
209at72274	Complete	NODE_17_length_107317_cov_36.927915	102073	106518	-	2331.3	1261	https://www.orthodb.org/v10?query=209at72274	Glutamate synthase
299at72274	Complete	NODE_19_length_101432_cov_35.922694	41000	44911	+	1539.7	1028	https://www.orthodb.org/v10?query=299at72274	ATP-dependent helicase
391at72274	Complete	NODE_5_length_184381_cov_37.893162	127231	131127	+	1918.8	1067	https://www.orthodb.org/v10?query=391at72274	phosphoribosylformylglycinamidine synthase
395at72274	Complete	NODE_59_length_47108_cov_37.359042	4393	8103	+	2034.2	1067	https://www.orthodb.org/v10?query=395at72274	methionine synthase
436at72274	Complete	NODE_10_length_139104_cov_45.561191	80532	83753	+	1806.9	905	https://www.orthodb.org/v10?query=436at72274	carbamoyl phosphate synthase large subunit
457at72274	Complete	NODE_10_length_139104_cov_45.561191	6845	10522	+	976.7	763	https://www.orthodb.org/v10?query=457at72274	RecBCD enzyme subunit RecB
543at72274	Complete	NODE_17_length_107317_cov_36.927915	62192	66145	+	1688.5	980	https://www.orthodb.org/v10?query=543at72274	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase
606at72274	Complete	NODE_1_length_234130_cov_36.227372	97077	100526	-	1571.7	936	https://www.orthodb.org/v10?query=606at72274	Transcription-repair-coupling factor
712at72274	Complete	NODE_50_length_54564_cov_36.982462	9373	13056	+	1133.4	1037	https://www.orthodb.org/v10?query=712at72274	translocation/assembly module TamB
813at72274	Complete	NODE_55_length_50388_cov_37.836012	47135	49981	-	1348.7	744	https://www.orthodb.org/v10?query=813at72274	valine--tRNA ligase
865at72274	Complete	NODE_29_length_79453_cov_37.397932	33502	36333	-	1252.9	756	https://www.orthodb.org/v10?query=865at72274	isoleucine--tRNA ligase
927at72274	Complete	NODE_7_length_160420_cov_35.917657	142997	145894	+	1197.7	750	https://www.orthodb.org/v10?query=927at72274	Ribonucleoside-diphosphate reductase
995at72274	Complete	NODE_37_length_68897_cov_36.672220	22428	25130	-	1092.1	700	https://www.orthodb.org/v10?query=995at72274	Bifunctional uridylyltransferase/uridylyl-removing enzyme
1004at72274	Complete	NODE_17_length_107317_cov_36.927915	43559	46498	-	1062.4	1048	https://www.orthodb.org/v10?query=1004at72274	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
1036at72274	Complete	NODE_4_length_186787_cov_37.321139	145566	148358	+	1232.1	776	https://www.orthodb.org/v10?query=1036at72274	DNA polymerase I
1067at72274	Complete	NODE_41_length_63635_cov_34.565304	32173	34767	-	1497.4	752	https://www.orthodb.org/v10?query=1067at72274	Fe/S-dependent 2-methylisocitrate dehydratase AcnD
1242at72274	Complete	NODE_91_length_15638_cov_34.470577	928	3543	+	1498.9	754	https://www.orthodb.org/v10?query=1242at72274	aconitate hydratase B
1384at72274	Complete	NODE_1_length_234130_cov_36.227372	86737	89358	+	1474.5	760	https://www.orthodb.org/v10?query=1384at72274	DNA topoisomerase I
1440at72274	Complete	NODE_25_length_92834_cov_37.159357	45573	48308	-	1473.7	801	https://www.orthodb.org/v10?query=1440at72274	Protein translocase subunit SecA
1456at72274	Complete	NODE_10_length_139104_cov_45.561191	3399	6848	+	771.1	688	https://www.orthodb.org/v10?query=1456at72274	exodeoxyribonuclease V subunit gamma
1471at72274	Complete	NODE_1_length_234130_cov_36.227372	156665	159328	+	1508.9	780	https://www.orthodb.org/v10?query=1471at72274	DNA gyrase subunit A
1600at72274	Complete	NODE_37_length_68897_cov_36.672220	41075	44596	+	1575.1	953	https://www.orthodb.org/v10?query=1600at72274	DNA polymerase III subunit alpha
1634at72274	Complete	NODE_24_length_93713_cov_36.507325	71559	74390	+	1578.8	827	https://www.orthodb.org/v10?query=1634at72274	2-oxoglutarate dehydrogenase E1 component
1707at72274	Complete	NODE_47_length_57495_cov_38.265634	49145	51859	-	1242.5	715	https://www.orthodb.org/v10?query=1707at72274	NADH-quinone oxidoreductase
1753at72274	Complete	NODE_52_length_53283_cov_36.250338	16328	18985	+	1120.2	711	https://www.orthodb.org/v10?query=1753at72274	aminopeptidase N
1843at72274	Complete	NODE_3_length_201605_cov_36.105884	179281	181914	-	1032.8	638	https://www.orthodb.org/v10?query=1843at72274	ribonuclease R
1917at72274	Complete	NODE_4_length_186787_cov_37.321139	69710	72133	+	1310.2	666	https://www.orthodb.org/v10?query=1917at72274	DNA gyrase subunit B
1961at72274	Complete	NODE_16_length_109736_cov_37.510809	73694	76504	-	888.4	693	https://www.orthodb.org/v10?query=1961at72274	LPS biosynthesis protein
1974at72274	Complete	NODE_35_length_69566_cov_40.696566	31075	33909	+	1592.0	822	https://www.orthodb.org/v10?query=1974at72274	UvrABC system protein A
1982at72274	Complete	NODE_98_length_13531_cov_35.744138	6806	9652	-	1191.4	774	https://www.orthodb.org/v10?query=1982at72274	RNA polymerase-binding ATPase
2019at72274	Complete	NODE_3_length_201605_cov_36.105884	172211	174514	-	1350.6	653	https://www.orthodb.org/v10?query=2019at72274	YgiQ family radical SAM protein
2112at72274	Complete	NODE_62_length_38743_cov_40.098144	35132	37723	-	1220.3	748	https://www.orthodb.org/v10?query=2112at72274	DNA mismatch repair protein MutS
2210at72274	Complete	NODE_29_length_79453_cov_37.397932	21548	24112	-	1330.2	711	https://www.orthodb.org/v10?query=2210at72274	Chaperone protein ClpB
2251at72274	Complete	NODE_6_length_179149_cov_37.409656	77356	80994	+	928.8	1164	https://www.orthodb.org/v10?query=2251at72274	chromosome segregation protein SMC
2303at72274	Complete	NODE_1_length_234130_cov_36.227372	28226	30583	+	827.1	530	https://www.orthodb.org/v10?query=2303at72274	DNA ligase
2348at72274	Complete	NODE_41_length_63635_cov_34.565304	15471	17846	-	1408.9	697	https://www.orthodb.org/v10?query=2348at72274	phosphoenolpyruvate synthase
2487at72274	Complete	NODE_6_length_179149_cov_37.409656	163337	165607	-	1263.0	669	https://www.orthodb.org/v10?query=2487at72274	ATP-dependent Clp protease ATP-binding subunit ClpA
2667at72274	Complete	NODE_69_length_31151_cov_36.732088	22324	24969	+	1184.3	749	https://www.orthodb.org/v10?query=2667at72274	phosphoenolpyruvate carboxylase
2718at72274	Complete	NODE_10_length_139104_cov_45.561191	93703	96225	+	1224.1	702	https://www.orthodb.org/v10?query=2718at72274	translation initiation factor IF-2
2722at72274	Complete	NODE_73_length_28807_cov_35.897468	2027	4645	-	1353.4	766	https://www.orthodb.org/v10?query=2722at72274	alanine--tRNA ligase
2787at72274	Complete	NODE_44_length_58866_cov_36.168540	15018	17342	+	1008.6	598	https://www.orthodb.org/v10?query=2787at72274	RNA-binding transcriptional accessory protein
2855at72274	Complete	NODE_17_length_107317_cov_36.927915	978	3242	-	1113.4	628	https://www.orthodb.org/v10?query=2855at72274	DNA topoisomerase IV subunit A
2861at72274	Complete	NODE_10_length_139104_cov_45.561191	129222	131546	+	976.4	612	https://www.orthodb.org/v10?query=2861at72274	penicillin-binding protein 1B
2968at72274	Complete	NODE_6_length_179149_cov_37.409656	168313	170538	+	1178.6	657	https://www.orthodb.org/v10?query=2968at72274	isocitrate dehydrogenase, NADP-dependent
2971at72274	Complete	NODE_29_length_79453_cov_37.397932	49484	51922	-	815.3	578	https://www.orthodb.org/v10?query=2971at72274	ATP-dependent protease
3072at72274	Complete	NODE_1_length_234130_cov_36.227372	6570	8834	+	879.1	573	https://www.orthodb.org/v10?query=3072at72274	23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))- methyltransferase
3123at72274	Complete	NODE_4_length_186787_cov_37.321139	79516	81570	-	929.2	577	https://www.orthodb.org/v10?query=3123at72274	glycine--tRNA ligase subunit beta
3150at72274	Complete	NODE_1_length_234130_cov_36.227372	162770	164980	+	688.1	434	https://www.orthodb.org/v10?query=3150at72274	3-phosphoshikimate 1-carboxyvinyltransferase
3242at72274	Complete	NODE_21_length_96859_cov_35.716489	46443	49049	+	1370.2	733	https://www.orthodb.org/v10?query=3242at72274	leucine--tRNA ligase
3277at72274	Complete	NODE_101_length_11334_cov_37.184679	8060	10141	-	902.7	595	https://www.orthodb.org/v10?query=3277at72274	tail-specific protease
3392at72274	Complete	NODE_9_length_140286_cov_37.185344	6738	9197	+	1051.8	658	https://www.orthodb.org/v10?query=3392at72274	peptidase
3393at72274	Complete	NODE_7_length_160420_cov_35.917657	122252	125005	+	923.8	686	https://www.orthodb.org/v10?query=3393at72274	Histidine kinase
3407at72274	Complete	NODE_62_length_38743_cov_40.098144	30851	32902	-	1033.3	574	https://www.orthodb.org/v10?query=3407at72274	methionine--tRNA ligase
3448at72274	Complete	NODE_40_length_63809_cov_36.202701	41877	43799	+	1173.0	569	https://www.orthodb.org/v10?query=3448at72274	threonine--tRNA ligase
3460at72274	Complete	NODE_1_length_234130_cov_36.227372	82936	85083	+	1035.8	621	https://www.orthodb.org/v10?query=3460at72274	Fatty acid oxidation complex subunit alpha
3513at72274	Complete	NODE_20_length_101354_cov_35.986416	4911	6986	+	943.6	565	https://www.orthodb.org/v10?query=3513at72274	ATP-dependent DNA helicase RecG
3634at72274	Complete	NODE_24_length_93713_cov_36.507325	68805	70580	+	908.7	505	https://www.orthodb.org/v10?query=3634at72274	succinate dehydrogenase flavoprotein subunit
3680at72274	Complete	NODE_40_length_63809_cov_36.202701	46142	48520	+	1033.9	659	https://www.orthodb.org/v10?query=3680at72274	phenylalanine--tRNA ligase subunit beta
3705at72274	Complete	NODE_32_length_72191_cov_37.283631	33620	35629	-	974.0	550	https://www.orthodb.org/v10?query=3705at72274	ATP-dependent DNA helicase Rep
3912at72274	Complete	NODE_23_length_94293_cov_37.233197	73281	75278	-	1065.5	555	https://www.orthodb.org/v10?query=3912at72274	transketolase
3949at72274	Complete	NODE_9_length_140286_cov_37.185344	12201	14420	+	948.1	613	https://www.orthodb.org/v10?query=3949at72274	primosomal protein N'
3999at72274	Complete	NODE_17_length_107317_cov_36.927915	11698	13602	-	1118.4	517	https://www.orthodb.org/v10?query=3999at72274	Phosphomethylpyrimidine synthase
4074at72274	Complete	NODE_24_length_93713_cov_36.507325	86496	88400	+	968.1	548	https://www.orthodb.org/v10?query=4074at72274	Chaperone protein HtpG
4076at72274	Complete	NODE_47_length_57495_cov_38.265634	53847	55631	-	1048.5	510	https://www.orthodb.org/v10?query=4076at72274	NADH-quinone oxidoreductase subunit C/D
4251at72274	Complete	NODE_17_length_107317_cov_36.927915	4766	6670	-	966.6	513	https://www.orthodb.org/v10?query=4251at72274	DNA topoisomerase IV subunit B
4452at72274	Complete	NODE_81_length_21422_cov_36.915196	4633	6648	-	1180.1	622	https://www.orthodb.org/v10?query=4452at72274	excinuclease ABC subunit B
4619at72274	Complete	NODE_4_length_186787_cov_37.321139	58958	60850	-	1065.8	523	https://www.orthodb.org/v10?query=4619at72274	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
4793at72274	Complete	NODE_10_length_139104_cov_45.561191	74856	76772	+	1042.0	584	https://www.orthodb.org/v10?query=4793at72274	Chaperone protein DnaK
4804at72274	Complete	NODE_5_length_184381_cov_37.893162	74710	76578	+	810.6	496	https://www.orthodb.org/v10?query=4804at72274	Protein translocase subunit SecD
4962at72274	Complete	NODE_4_length_186787_cov_37.321139	114442	116493	+	910.9	581	https://www.orthodb.org/v10?query=4962at72274	oligopeptidase A
