#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_7_length_179149_cov_44.188672_159 -            441 18426at72274         -            352  2.5e-171  568.1   0.2   1   1  3.5e-173  2.5e-170  564.8   0.2     1   351    12   424    12   425 0.88 # 156411 # 157733 # -1 # ID=7_159;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.630
NODE_2_length_234130_cov_42.625966_32  -            685 18426at72274         -            352   1.2e-14   52.8   0.0   1   2   1.2e-11   8.3e-09   33.6   0.0     2    66     6    68     5   103 0.83 # 42386 # 44440 # 1 # ID=2_32;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.647
NODE_2_length_234130_cov_42.625966_32  -            685 18426at72274         -            352   1.2e-14   52.8   0.0   2   2   1.2e-06   0.00083   17.2   0.0    76   178   119   226   106   258 0.84 # 42386 # 44440 # 1 # ID=2_32;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.647
NODE_23_length_96875_cov_43.769438_62  -            353 18426at72274         -            352   3.8e-09   34.7   0.0   1   1   1.2e-11   8.6e-09   33.5   0.0     5   103    23   134    20   152 0.73 # 68701 # 69759 # 1 # ID=23_62;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_29_length_79509_cov_43.985702_53  -            855 18426at72274         -            352   3.9e-05   21.5   0.0   1   3   0.00016      0.11   10.1   0.0     5    59   171   222   167   233 0.76 # 55342 # 57906 # 1 # ID=29_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_29_length_79509_cov_43.985702_53  -            855 18426at72274         -            352   3.9e-05   21.5   0.0   2   3       1.2   8.3e+02   -2.6   0.0    79    91   274   286   266   359 0.57 # 55342 # 57906 # 1 # ID=29_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_29_length_79509_cov_43.985702_53  -            855 18426at72274         -            352   3.9e-05   21.5   0.0   3   3   0.00069      0.49    8.0   0.0    37    60   599   622   561   636 0.76 # 55342 # 57906 # 1 # ID=29_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_7_length_179149_cov_44.188672_166 -            757 18426at72274         -            352   0.00062   17.6   0.2   1   4     0.002       1.5    6.5   0.0    27    59   202   234   179   243 0.77 # 163337 # 165607 # -1 # ID=7_166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_7_length_179149_cov_44.188672_166 -            757 18426at72274         -            352   0.00062   17.6   0.2   2   4      0.64   4.6e+02   -1.7   0.0    78    87   284   293   271   298 0.80 # 163337 # 165607 # -1 # ID=7_166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_7_length_179149_cov_44.188672_166 -            757 18426at72274         -            352   0.00062   17.6   0.2   3   4    0.0014      0.97    7.1   0.0    37    60   493   516   483   523 0.90 # 163337 # 165607 # -1 # ID=7_166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_7_length_179149_cov_44.188672_166 -            757 18426at72274         -            352   0.00062   17.6   0.2   4   4       1.6   1.2e+03   -3.0   0.0   134   170   657   694   652   714 0.75 # 163337 # 165607 # -1 # ID=7_166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
