#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_127457_cov_11.638648_105 -            292 28379at72274         -            227  4.3e-134  443.3   0.3   1   1    1e-136    5e-134  443.1   0.3     1   227    48   290    48   290 0.97 # 111979 # 112854 # -1 # ID=11_105;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.596
NODE_61_length_41929_cov_11.195565_5    -            255 28379at72274         -            227   1.4e-13   49.0   0.0   1   1   3.8e-16   1.8e-13   48.7   0.0    34   169    23   161     8   183 0.85 # 4910 # 5674 # -1 # ID=61_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.644
NODE_39_length_76270_cov_11.926586_20   -            270 28379at72274         -            227   8.8e-09   33.4   0.0   1   1   2.7e-11   1.3e-08   32.8   0.0    12   153    15   149    11   155 0.89 # 22237 # 23046 # 1 # ID=39_20;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_116_length_1915_cov_9.901566_2     -            233 28379at72274         -            227   2.9e-08   31.7   0.0   1   1   7.9e-11   3.8e-08   31.3   0.0    54   165    49   159    31   184 0.82 # 797 # 1495 # -1 # ID=116_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.612
NODE_16_length_110024_cov_10.950581_85  -            249 28379at72274         -            227     2e-06   25.6   0.0   1   1   4.9e-09   2.4e-06   25.4   0.0    48   154    38   145     4   193 0.81 # 90097 # 90843 # -1 # ID=16_85;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.580
NODE_20_length_107404_cov_11.636511_13  -            245 28379at72274         -            227   3.2e-06   25.0   0.0   1   1   8.4e-09   4.1e-06   24.6   0.0    61   157    57   153    48   181 0.80 # 15036 # 15770 # -1 # ID=20_13;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.629
NODE_30_length_94323_cov_11.661812_18   -            332 28379at72274         -            227   1.7e-05   22.6   0.0   1   1   7.1e-08   3.4e-05   21.6   0.0    11   159   122   269   115   278 0.74 # 17787 # 18782 # -1 # ID=30_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.617
NODE_51_length_55188_cov_11.457184_2    -            243 28379at72274         -            227   2.5e-05   22.0   0.0   1   1   7.1e-08   3.4e-05   21.6   0.0    55   154    45   141    31   210 0.71 # 169 # 897 # 1 # ID=51_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609
NODE_14_length_116145_cov_11.888948_15  -            260 28379at72274         -            227    0.0001   20.1   0.0   1   1   3.2e-07   0.00015   19.5   0.0    54   154    44   137    33   150 0.79 # 13328 # 14107 # -1 # ID=14_15;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.627
NODE_53_length_51199_cov_11.857867_31   -            275 28379at72274         -            227   0.00015   19.5   0.0   1   2   8.9e-07   0.00043   18.0   0.1    55   155    53   151    42   156 0.94 # 37042 # 37866 # 1 # ID=53_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.615
NODE_53_length_51199_cov_11.857867_31   -            275 28379at72274         -            227   0.00015   19.5   0.0   2   2      0.99   4.8e+02   -1.8   0.0     3    53   206   255   204   261 0.75 # 37042 # 37866 # 1 # ID=53_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.615
NODE_44_length_65404_cov_11.235918_60   -            399 28379at72274         -            227    0.0018   16.0   0.0   1   1   6.3e-06     0.003   15.2   0.0    93   180    93   184    67   202 0.74 # 54518 # 55714 # 1 # ID=44_60;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_7_length_136322_cov_13.076831_46   -            217 28379at72274         -            227     0.013   13.1   0.1   1   1    0.0004       0.2    9.3   0.1    55   185    51   189    41   197 0.59 # 53771 # 54421 # -1 # ID=7_46;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556
NODE_44_length_65404_cov_11.235918_33   -            207 28379at72274         -            227     0.045   11.4   0.0   1   1   0.00014     0.066   10.9   0.0   104   147    59   104    14   113 0.82 # 30569 # 31189 # 1 # ID=44_33;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.615
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/28379at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130.spades_kmer/run_pseudomonadales_odb10/hmmer_output/28379at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/28379at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:30:37 2023
# [ok]
