#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_31_length_78647_cov_30.813941_36  -            380 16137at72274         -            322  2.4e-183  606.8   0.0   1   1    9e-185  4.4e-182  602.7   0.0     2   322     7   369     6   369 0.94 # 34837 # 35976 # -1 # ID=31_36;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.642
NODE_22_length_101372_cov_30.379597_50 -            268 16137at72274         -            322   4.9e-05   20.9   0.0   1   1   1.6e-07   7.9e-05   20.2   0.0   126   174    76   124    66   130 0.89 # 53449 # 54252 # -1 # ID=22_50;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.586
NODE_8_length_148186_cov_31.798334_137 -            338 16137at72274         -            322   0.00094   16.7   0.0   1   1   2.9e-06    0.0014   16.1   0.0    92   163   105   165    77   172 0.78 # 112040 # 113053 # 1 # ID=8_137;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.600
NODE_4_length_205576_cov_31.615476_96  -            269 16137at72274         -            322    0.0025   15.3   0.0   1   1   7.3e-06    0.0035   14.8   0.0   112   166    77   131    70   146 0.87 # 97764 # 98570 # -1 # ID=4_96;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.617
NODE_5_length_204350_cov_31.943180_35  -            297 16137at72274         -            322    0.0028   15.1   0.0   1   1   8.3e-06     0.004   14.6   0.0   103   192    65   152    60   185 0.89 # 37644 # 38534 # -1 # ID=5_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.584
NODE_11_length_139671_cov_32.288504_5  -            282 16137at72274         -            322    0.0039   14.7   0.0   1   1   1.2e-05    0.0058   14.1   0.0   128   171    85   127    61   133 0.79 # 5007 # 5852 # 1 # ID=11_5;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_66_length_32731_cov_31.858770_2   -            340 16137at72274         -            322    0.0042   14.6   0.0   1   1   1.2e-05    0.0058   14.1   0.0   117   168   119   170    92   190 0.85 # 1080 # 2099 # -1 # ID=66_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631
NODE_64_length_36205_cov_31.746859_14  -            271 16137at72274         -            322    0.0047   14.4   0.0   1   1   1.4e-05    0.0066   13.9   0.0   116   166    67   117    49   128 0.89 # 14866 # 15678 # -1 # ID=64_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_10_length_140286_cov_31.780517_19 -            282 16137at72274         -            322    0.0052   14.2   0.0   1   1   1.7e-05    0.0082   13.6   0.0   125   169    84   128    76   132 0.90 # 21833 # 22678 # 1 # ID=10_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_64_length_36205_cov_31.746859_4   -            285 16137at72274         -            322     0.018   12.5   0.0   1   1   5.6e-05     0.027   11.9   0.0   118   177    77   138    58   183 0.78 # 3250 # 4104 # 1 # ID=64_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.629
NODE_10_length_140286_cov_31.780517_43 -            324 16137at72274         -            322     0.026   12.0   0.0   1   1   9.6e-05     0.047   11.1   0.0   119   164    86   131    71   143 0.88 # 46340 # 47311 # -1 # ID=10_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.622
