#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_30_length_78626_cov_35.854641_48  -            380 16137at72274         -            322  2.4e-183  606.8   0.0   1   1    9e-185  4.4e-182  602.7   0.0     2   322     7   369     6   369 0.94 # 42659 # 43798 # 1 # ID=30_48;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.641
NODE_19_length_101432_cov_35.922694_50 -            268 16137at72274         -            322     5e-05   20.9   0.0   1   1   1.6e-07     8e-05   20.2   0.0   126   174    76   124    66   130 0.89 # 53529 # 54332 # -1 # ID=19_50;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.586
NODE_8_length_148139_cov_37.122890_137 -            338 16137at72274         -            322   0.00095   16.7   0.0   1   1   2.9e-06    0.0014   16.1   0.0    92   163   105   165    77   172 0.78 # 112026 # 113039 # 1 # ID=8_137;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.600
NODE_2_length_205536_cov_36.855734_118 -            269 16137at72274         -            322    0.0026   15.3   0.0   1   1   7.3e-06    0.0036   14.8   0.0   112   166    77   131    70   146 0.87 # 106987 # 107793 # 1 # ID=2_118;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.620
NODE_23_length_94293_cov_37.233197_50  -            297 16137at72274         -            322    0.0029   15.1   0.0   1   1   8.3e-06    0.0041   14.6   0.0   103   192    65   152    60   185 0.89 # 55824 # 56714 # 1 # ID=23_50;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.584
NODE_50_length_54564_cov_36.982462_43  -            282 16137at72274         -            322     0.004   14.7   0.0   1   1   1.2e-05    0.0059   14.1   0.0   128   171    85   127    61   133 0.79 # 48732 # 49577 # -1 # ID=50_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_42_length_60100_cov_37.170039_2   -            340 16137at72274         -            322    0.0042   14.6   0.0   1   1   1.2e-05    0.0059   14.1   0.0   117   168   119   170    92   190 0.85 # 934 # 1953 # -1 # ID=42_2;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631
NODE_48_length_55226_cov_36.664353_14  -            271 16137at72274         -            322    0.0048   14.4   0.0   1   1   1.4e-05    0.0067   13.9   0.0   116   166    67   117    49   128 0.89 # 14817 # 15629 # -1 # ID=48_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_9_length_140286_cov_37.185344_19  -            282 16137at72274         -            322    0.0053   14.2   0.0   1   1   1.7e-05    0.0083   13.6   0.0   125   169    84   128    76   132 0.90 # 21833 # 22678 # 1 # ID=9_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_48_length_55226_cov_36.664353_4   -            285 16137at72274         -            322     0.019   12.5   0.0   1   1   5.6e-05     0.027   11.9   0.0   118   177    77   138    58   183 0.78 # 3201 # 4055 # 1 # ID=48_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.629
NODE_9_length_140286_cov_37.185344_43  -            324 16137at72274         -            322     0.026   12.0   0.0   1   1   9.6e-05     0.047   11.1   0.0   119   164    86   131    71   143 0.88 # 46340 # 47311 # -1 # ID=9_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_63_length_38646_cov_36.491099_13  -            264 16137at72274         -            322     0.042   11.3   0.0   1   1   0.00014     0.068   10.6   0.0   126   177    78   129    67   141 0.87 # 12344 # 13135 # 1 # ID=63_13;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_1_length_234130_cov_36.227372_125 -            296 16137at72274         -            322     0.065   10.7   0.0   1   1   0.00019     0.093   10.2   0.0   112   165    76   129    67   143 0.86 # 145172 # 146059 # 1 # ID=1_125;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.618
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/16137at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_def/run_pseudomonadales_odb10/hmmer_output/16137at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/16137at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:25:57 2023
# [ok]
