#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_33_length_74845_cov_30.166310_55  -            221 46364at72274         -            151   1.3e-62  208.5   0.0   1   1   3.4e-65   2.7e-62  207.5   0.0     1   151     7   193     7   193 0.85 # 54732 # 55394 # 1 # ID=33_55;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.609
NODE_5_length_204350_cov_31.943180_161 -            273 46364at72274         -            151   5.8e-12   44.1   0.1   1   2   0.00015      0.12   10.6   0.0     2    22    15    35    14    44 0.86 # 184362 # 185180 # 1 # ID=5_161;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.611
NODE_5_length_204350_cov_31.943180_161 -            273 46364at72274         -            151   5.8e-12   44.1   0.1   2   2   5.3e-11   4.2e-08   31.6   0.0    48   149    91   204    59   206 0.72 # 184362 # 185180 # 1 # ID=5_161;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.611
NODE_7_length_186923_cov_31.961760_71  -            218 46364at72274         -            151   2.5e-08   32.3   0.0   1   1   2.9e-09   2.3e-06   25.9   0.0     2   149     5   188     4   190 0.66 # 73126 # 73779 # 1 # ID=7_71;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.601
NODE_25_length_96862_cov_30.632523_83  -            196 46364at72274         -            151   2.3e-06   25.9   0.0   1   1   4.6e-09   3.6e-06   25.3   0.0     4   146    10   171     7   174 0.74 # 85987 # 86574 # 1 # ID=25_83;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.626
NODE_2_length_234165_cov_30.973912_132 -            224 46364at72274         -            151   1.6e-05   23.2   0.0   1   2    0.0064       5.1    5.3   0.0     3    21     6    24     4    59 0.77 # 152423 # 153094 # -1 # ID=2_132;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.628
NODE_2_length_234165_cov_30.973912_132 -            224 46364at72274         -            151   1.6e-05   23.2   0.0   2   2     3e-06    0.0023   16.2   0.0   103   149   141   190    73   192 0.78 # 152423 # 153094 # -1 # ID=2_132;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.628
NODE_6_length_202096_cov_31.427584_147 -            232 46364at72274         -            151   1.8e-05   23.1   0.2   1   2    0.0059       4.6    5.5   0.2     1    21     4    24     4    87 0.87 # 149797 # 150492 # 1 # ID=6_147;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.628
NODE_6_length_202096_cov_31.427584_147 -            232 46364at72274         -            151   1.8e-05   23.1   0.2   2   2   3.4e-06    0.0027   16.0   0.0    57   143   108   198    78   202 0.73 # 149797 # 150492 # 1 # ID=6_147;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.628
NODE_27_length_85717_cov_31.296630_40  -            229 46364at72274         -            151   0.00015   20.0   0.0   1   2     0.027        21    3.3   0.0     2    25    12    35    11    62 0.77 # 41600 # 42286 # -1 # ID=27_40;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
NODE_27_length_85717_cov_31.296630_40  -            229 46364at72274         -            151   0.00015   20.0   0.0   2   2   8.4e-06    0.0066   14.7   0.0    63   146   100   195    95   200 0.76 # 41600 # 42286 # -1 # ID=27_40;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.607
