#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_570323_cov_37.907400_491 -            380 16137at72274         -            322  2.4e-183  606.8   0.0   1   1    9e-185  4.5e-182  602.7   0.0     2   322     7   369     6   369 0.94 # 526498 # 527637 # -1 # ID=1_491;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.642
NODE_22_length_101377_cov_36.717404_48 -            268 16137at72274         -            322     5e-05   20.9   0.0   1   1   1.6e-07     8e-05   20.2   0.0   126   174    76   124    66   130 0.89 # 47124 # 47927 # 1 # ID=22_48;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.585
NODE_7_length_206175_cov_38.343773_68  -            338 16137at72274         -            322   0.00096   16.7   0.0   1   1   2.9e-06    0.0014   16.1   0.0    92   163   105   165    77   172 0.78 # 93108 # 94121 # -1 # ID=7_68;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.602
NODE_8_length_205580_cov_38.170825_118 -            269 16137at72274         -            322    0.0026   15.3   0.0   1   1   7.3e-06    0.0036   14.8   0.0   112   166    77   131    70   146 0.87 # 107009 # 107815 # 1 # ID=8_118;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.620
NODE_9_length_204135_cov_38.603500_35  -            297 16137at72274         -            322    0.0029   15.1   0.0   1   1   8.3e-06    0.0041   14.6   0.0   103   192    65   152    60   185 0.89 # 37595 # 38485 # -1 # ID=9_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.584
NODE_39_length_54602_cov_38.240147_43  -            282 16137at72274         -            322     0.004   14.7   0.0   1   1   1.2e-05    0.0059   14.1   0.0   128   171    85   127    61   133 0.79 # 48749 # 49594 # -1 # ID=39_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_34_length_69300_cov_40.592101_9   -            340 16137at72274         -            322    0.0042   14.6   0.0   1   1   1.2e-05    0.0059   14.1   0.0   117   168   119   170    92   190 0.85 # 9897 # 10916 # -1 # ID=34_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631
NODE_54_length_36247_cov_38.379043_21  -            271 16137at72274         -            322    0.0048   14.4   0.0   1   1   1.4e-05    0.0067   13.9   0.0   116   166    67   117    49   128 0.89 # 20533 # 21345 # 1 # ID=54_21;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_2_length_306509_cov_38.263647_102 -            282 16137at72274         -            322    0.0053   14.2   0.0   1   1   1.7e-05    0.0084   13.6   0.0   125   169    84   128    76   132 0.90 # 129172 # 130017 # 1 # ID=2_102;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_54_length_36247_cov_38.379043_31  -            285 16137at72274         -            322     0.019   12.5   0.0   1   1   5.6e-05     0.028   11.9   0.0   118   177    77   138    58   183 0.78 # 32107 # 32961 # -1 # ID=54_31;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.630
NODE_2_length_306509_cov_38.263647_126 -            324 16137at72274         -            322     0.026   12.0   0.0   1   1   9.6e-05     0.048   11.1   0.0   119   164    86   131    71   143 0.88 # 153679 # 154650 # -1 # ID=2_126;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_49_length_39037_cov_38.532675_13  -            264 16137at72274         -            322     0.043   11.3   0.0   1   1   0.00014     0.069   10.6   0.0   126   177    78   129    67   141 0.87 # 12366 # 13157 # 1 # ID=49_13;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_4_length_234169_cov_37.461050_85  -            296 16137at72274         -            322     0.066   10.7   0.0   1   1   0.00019     0.094   10.2   0.0   112   165    76   129    67   143 0.86 # 88094 # 88981 # -1 # ID=4_85;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.618
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/16137at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130.spades_def/run_pseudomonadales_odb10/hmmer_output/16137at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/16137at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:28:54 2023
# [ok]
