#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3_length_201605_cov_36.105884_171 -            157 64373at72274         -            120   2.7e-54  180.3   0.0   1   1   3.3e-57   3.5e-54  180.0   0.0     1   111     8   129     8   151 0.92 # 198401 # 198871 # -1 # ID=3_171;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.565
NODE_29_length_79453_cov_37.397932_62  -            322 64373at72274         -            120    0.0099   13.9   0.0   1   1   2.3e-05     0.024   12.7   0.0    19    39     8    28     4    42 0.83 # 64927 # 65892 # -1 # ID=29_62;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.610
NODE_40_length_63809_cov_36.202701_37  -            518 64373at72274         -            120     0.023   12.8   0.3   1   2     0.002       2.1    6.4   0.0    13    35    30    53    21    60 0.78 # 33510 # 35063 # 1 # ID=40_37;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_40_length_63809_cov_36.202701_37  -            518 64373at72274         -            120     0.023   12.8   0.3   2   2     0.014        15    3.7   0.0     6    38   272   305   267   323 0.75 # 33510 # 35063 # 1 # ID=40_37;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_25_length_92834_cov_37.159357_54  -            327 64373at72274         -            120     0.032   12.3   0.0   1   1   5.7e-05      0.06   11.4   0.0    10    42    39    71    30    82 0.88 # 60670 # 61650 # 1 # ID=25_54;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.639
NODE_20_length_101354_cov_35.986416_8  -            692 64373at72274         -            120     0.048   11.7   0.0   1   1    0.0001      0.11   10.5   0.0    21    62   294   338   277   347 0.84 # 4911 # 6986 # 1 # ID=20_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.650
NODE_40_length_63809_cov_36.202701_64  -            553 64373at72274         -            120      0.11   10.6   1.6   1   3     0.074        79    1.3   0.1    18    48    40    70    25    76 0.79 # 60029 # 61687 # 1 # ID=40_64;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
NODE_40_length_63809_cov_36.202701_64  -            553 64373at72274         -            120      0.11   10.6   1.6   2   3    0.0011       1.2    7.2   0.1    19    37   321   339   303   349 0.76 # 60029 # 61687 # 1 # ID=40_64;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
NODE_40_length_63809_cov_36.202701_64  -            553 64373at72274         -            120      0.11   10.6   1.6   3   3         1   1.1e+03   -2.4   0.0    10    41   476   507   473   516 0.77 # 60029 # 61687 # 1 # ID=40_64;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/64373at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_def/run_pseudomonadales_odb10/hmmer_output/64373at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/64373at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:26:49 2023
# [ok]
