#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_774295_cov_40.518222_491  -            380 16137at72274         -            322  2.4e-183  606.8   0.0   1   1    9e-185  4.4e-182  602.7   0.0     2   322     7   369     6   369 0.94 # 526335 # 527474 # -1 # ID=1_491;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.642
NODE_21_length_101377_cov_39.024353_48  -            268 16137at72274         -            322     5e-05   20.9   0.0   1   1   1.6e-07     8e-05   20.2   0.0   126   174    76   124    66   130 0.89 # 47124 # 47927 # 1 # ID=21_48;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.585
NODE_8_length_206175_cov_40.775641_68   -            338 16137at72274         -            322   0.00095   16.7   0.0   1   1   2.9e-06    0.0014   16.1   0.0    92   163   105   165    77   172 0.78 # 93108 # 94121 # -1 # ID=8_68;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.602
NODE_10_length_205580_cov_40.606001_118 -            269 16137at72274         -            322    0.0026   15.3   0.0   1   1   7.3e-06    0.0036   14.8   0.0   112   166    77   131    70   146 0.87 # 107009 # 107815 # 1 # ID=10_118;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.620
NODE_1_length_774295_cov_40.518222_572  -            297 16137at72274         -            322    0.0029   15.1   0.0   1   1   8.3e-06    0.0041   14.6   0.0   103   192    65   152    60   185 0.89 # 607750 # 608640 # -1 # ID=1_572;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.584
NODE_37_length_54602_cov_40.642439_43   -            282 16137at72274         -            322     0.004   14.7   0.0   1   1   1.2e-05    0.0059   14.1   0.0   128   171    85   127    61   133 0.79 # 48749 # 49594 # -1 # ID=37_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_31_length_69300_cov_43.335727_46   -            340 16137at72274         -            322    0.0042   14.6   0.0   1   1   1.2e-05    0.0059   14.1   0.0   117   168   119   170    92   190 0.85 # 58385 # 59404 # 1 # ID=31_46;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631
NODE_51_length_36244_cov_40.818343_21   -            271 16137at72274         -            322    0.0048   14.4   0.0   1   1   1.4e-05    0.0067   13.9   0.0   116   166    67   117    49   128 0.89 # 20530 # 21342 # 1 # ID=51_21;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_2_length_306509_cov_40.703115_165  -            282 16137at72274         -            322    0.0053   14.2   0.0   1   1   1.7e-05    0.0083   13.6   0.0   125   169    84   128    76   132 0.90 # 176493 # 177338 # -1 # ID=2_165;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_51_length_36244_cov_40.818343_31   -            285 16137at72274         -            322     0.019   12.5   0.0   1   1   5.6e-05     0.027   11.9   0.0   118   177    77   138    58   183 0.78 # 32104 # 32958 # -1 # ID=51_31;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.630
NODE_2_length_306509_cov_40.703115_141  -            324 16137at72274         -            322     0.026   12.0   0.0   1   1   9.6e-05     0.047   11.1   0.0   119   164    86   131    71   143 0.88 # 151860 # 152831 # 1 # ID=2_141;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_47_length_38689_cov_40.056122_13   -            264 16137at72274         -            322     0.043   11.3   0.0   1   1   0.00014     0.068   10.6   0.0   126   177    78   129    67   141 0.87 # 12366 # 13157 # 1 # ID=47_13;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_5_length_234169_cov_39.787549_85   -            296 16137at72274         -            322     0.066   10.7   0.0   1   1   0.00019     0.093   10.2   0.0   112   165    76   129    67   143 0.86 # 88094 # 88981 # -1 # ID=5_85;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.618
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/16137at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_def/run_pseudomonadales_odb10/hmmer_output/16137at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/16137at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:34:50 2023
# [ok]
