#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_186925_cov_42.279989_81 -            409 14061at72274         -            358  1.3e-214  710.5   1.4   1   1    2e-216  1.8e-213  706.8   1.4     1   358    12   397    12   397 0.95 # 79604 # 80830 # 1 # ID=11_81;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.629
NODE_9_length_205576_cov_41.813470_175 -            340 14061at72274         -            358   1.2e-07   29.7   0.3   1   2   9.4e-09   8.5e-06   23.6   0.0    29   113    30   113    16   133 0.87 # 160524 # 161543 # 1 # ID=9_175;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_9_length_205576_cov_41.813470_175 -            340 14061at72274         -            358   1.2e-07   29.7   0.3   2   2     0.007       6.3    4.3   0.1   182   237   168   221   151   235 0.70 # 160524 # 161543 # 1 # ID=9_175;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_23_length_101372_cov_40.184625_77 -            301 14061at72274         -            358     3e-06   25.1   0.0   1   2   0.00048      0.43    8.1   0.1    34   138    16   119    10   144 0.74 # 79267 # 80169 # 1 # ID=23_77;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.632
NODE_23_length_101372_cov_40.184625_77 -            301 14061at72274         -            358     3e-06   25.1   0.0   2   2   3.4e-06    0.0031   15.2   0.0   240   356   169   293   151   295 0.76 # 79267 # 80169 # 1 # ID=23_77;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.632
NODE_1_length_486209_cov_41.704357_180 -            505 14061at72274         -            358   1.7e-05   22.6   0.1   1   2   4.6e-08   4.2e-05   21.3   0.0    27   114    15   101     3   123 0.86 # 182916 # 184430 # 1 # ID=1_180;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638
NODE_1_length_486209_cov_41.704357_180 -            505 14061at72274         -            358   1.7e-05   22.6   0.1   2   2      0.65   5.9e+02   -2.2   0.0   202   234   172   205   142   228 0.68 # 182916 # 184430 # 1 # ID=1_180;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638
NODE_38_length_63660_cov_39.563057_36  -            310 14061at72274         -            358   1.8e-05   22.5   0.1   1   2   8.9e-07   0.00081   17.1   0.0    33   136    18   122     4   233 0.82 # 39446 # 40375 # -1 # ID=38_36;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.614
NODE_38_length_63660_cov_39.563057_36  -            310 14061at72274         -            358   1.8e-05   22.5   0.1   2   2     0.014        13    3.3   0.0   304   349   251   300   237   307 0.71 # 39446 # 40375 # -1 # ID=38_36;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.614
NODE_14_length_139520_cov_41.636954_2  -            307 14061at72274         -            358   0.00019   19.2   0.6   1   3   4.9e-07   0.00045   17.9   0.0    47   134    18   101     7   115 0.88 # 1649 # 2569 # 1 # ID=14_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.632
NODE_14_length_139520_cov_41.636954_2  -            307 14061at72274         -            358   0.00019   19.2   0.6   2   3       1.3   1.2e+03   -3.2   0.2   203   236   155   190   151   205 0.57 # 1649 # 2569 # 1 # ID=14_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.632
NODE_14_length_139520_cov_41.636954_2  -            307 14061at72274         -            358   0.00019   19.2   0.6   3   3      0.71   6.4e+02   -2.3   0.0   303   346   239   287   223   291 0.59 # 1649 # 2569 # 1 # ID=14_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.632
NODE_94_length_3068_cov_37.892750_3    -            322 14061at72274         -            358    0.0012   16.5   0.0   1   1   2.3e-06    0.0021   15.8   0.0    34   134    24   120    13   128 0.75 # 1199 # 2164 # -1 # ID=94_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.640
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/14061at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/run_pseudomonadales_odb10/hmmer_output/14061at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/14061at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:36:17 2023
# [ok]
