#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_5_length_127372_cov_2.791748_118 -            611 3949at72274          -            614  3.8e-256  849.6   0.0   1   1  2.4e-258  2.6e-255  846.9   0.0    85   614     2   610     1   610 0.90 # 125540 # 127372 # -1 # ID=5_118;partial=01;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.651
NODE_198_length_4023_cov_2.750770_5   -            143 3949at72274          -            614     1e-29  101.7   0.0   1   1   2.1e-32   2.2e-29  100.6   0.0     1    87     6   117     6   143 0.84 # 3593 # 4021 # 1 # ID=198_5;partial=01;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.678
NODE_14_length_85343_cov_2.706687_35  -           1150 3949at72274          -            614   2.5e-16   57.5   0.0   1   1   4.1e-19   4.4e-16   56.7   0.0   152   298   626   777   597   817 0.82 # 39210 # 42659 # -1 # ID=14_35;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.634
NODE_136_length_15613_cov_2.498579_8  -            692 3949at72274          -            614   5.6e-09   33.2   0.3   1   2   1.1e-11   1.2e-08   32.2   0.1   153   267   293   411   279   417 0.86 # 4911 # 6986 # 1 # ID=136_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.650
NODE_136_length_15613_cov_2.498579_8  -            692 3949at72274          -            614   5.6e-09   33.2   0.3   2   2      0.49   5.1e+02   -3.0   0.0   431   463   535   567   515   594 0.56 # 4911 # 6986 # 1 # ID=136_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.650
NODE_12_length_92454_cov_2.886133_83  -            672 3949at72274          -            614   7.6e-08   29.5   0.1   1   2   7.4e-05     0.078    9.6   0.0   153   203    35    82     6    95 0.82 # 80788 # 82803 # 1 # ID=12_83;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.611
NODE_12_length_92454_cov_2.886133_83  -            672 3949at72274          -            614   7.6e-08   29.5   0.1   2   2   3.6e-07   0.00038   17.2   0.1   416   493   477   543   446   558 0.68 # 80788 # 82803 # 1 # ID=12_83;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.611
NODE_145_length_13811_cov_2.485311_16 -            523 3949at72274          -            614    0.0051   13.5   0.1   1   2     0.015        16    2.0   0.0   137   177    67   108    61   120 0.84 # 12242 # 13810 # 1 # ID=145_16;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.655
NODE_145_length_13811_cov_2.485311_16 -            523 3949at72274          -            614    0.0051   13.5   0.1   2   2   0.00011      0.11    9.1   0.1   170   237   306   374   291   379 0.89 # 12242 # 13810 # 1 # ID=145_16;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.655
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/3949at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_kmer/run_pseudomonadales_odb10/hmmer_output/3949at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/3949at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:27:54 2023
# [ok]
