#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_235110_cov_12.031228_95  -            441 18426at72274         -            352  2.5e-171  568.1   0.2   1   1  3.5e-173  2.5e-170  564.8   0.2     1   351    12   424    12   425 0.88 # 103500 # 104822 # 1 # ID=2_95;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.629
NODE_6_length_154355_cov_11.215791_103 -            685 18426at72274         -            352   1.2e-14   52.8   0.0   1   2   1.2e-11   8.1e-09   33.6   0.0     2    66     6    68     5   103 0.83 # 109763 # 111817 # -1 # ID=6_103;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.648
NODE_6_length_154355_cov_11.215791_103 -            685 18426at72274         -            352   1.2e-14   52.8   0.0   2   2   1.2e-06   0.00081   17.2   0.0    76   178   119   226   106   258 0.84 # 109763 # 111817 # -1 # ID=6_103;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.648
NODE_63_length_40352_cov_12.010218_15  -            353 18426at72274         -            352   3.7e-09   34.7   0.0   1   1   1.2e-11   8.5e-09   33.5   0.0     5   103    23   134    20   152 0.73 # 11952 # 13010 # 1 # ID=63_15;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_27_length_97149_cov_11.704119_68  -            855 18426at72274         -            352   3.8e-05   21.5   0.0   1   3   0.00016      0.11   10.1   0.0     5    59   171   222   167   233 0.76 # 73895 # 76459 # 1 # ID=27_68;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_27_length_97149_cov_11.704119_68  -            855 18426at72274         -            352   3.8e-05   21.5   0.0   2   3       1.2   8.1e+02   -2.6   0.0    79    91   274   286   266   359 0.57 # 73895 # 76459 # 1 # ID=27_68;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_27_length_97149_cov_11.704119_68  -            855 18426at72274         -            352   3.8e-05   21.5   0.0   3   3   0.00069      0.48    8.0   0.0    37    60   599   622   561   636 0.76 # 73895 # 76459 # 1 # ID=27_68;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_2_length_235110_cov_12.031228_88  -            757 18426at72274         -            352    0.0006   17.6   0.2   1   4     0.002       1.4    6.5   0.0    27    59   202   234   179   243 0.77 # 95626 # 97896 # 1 # ID=2_88;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.606
NODE_2_length_235110_cov_12.031228_88  -            757 18426at72274         -            352    0.0006   17.6   0.2   2   4      0.64   4.5e+02   -1.7   0.0    78    87   284   293   271   298 0.80 # 95626 # 97896 # 1 # ID=2_88;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.606
NODE_2_length_235110_cov_12.031228_88  -            757 18426at72274         -            352    0.0006   17.6   0.2   3   4    0.0014      0.95    7.1   0.0    37    60   493   516   483   523 0.90 # 95626 # 97896 # 1 # ID=2_88;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.606
NODE_2_length_235110_cov_12.031228_88  -            757 18426at72274         -            352    0.0006   17.6   0.2   4   4       1.6   1.1e+03   -3.0   0.0   134   170   657   694   652   714 0.75 # 95626 # 97896 # 1 # ID=2_88;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.606
NODE_2_length_235110_cov_12.031228_19  -            319 18426at72274         -            352     0.001   16.8   0.1   1   2   3.6e-06    0.0025   15.5   0.0    12    60    16    70     7    74 0.79 # 20607 # 21563 # 1 # ID=2_19;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.627
NODE_2_length_235110_cov_12.031228_19  -            319 18426at72274         -            352     0.001   16.8   0.1   2   2       1.6   1.1e+03   -3.1   0.0   127   162   217   253   204   261 0.54 # 20607 # 21563 # 1 # ID=2_19;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.627
NODE_18_length_109480_cov_12.152470_14 -            857 18426at72274         -            352    0.0068   14.1   0.1   1   3   0.00081      0.57    7.8   0.0    20    61   184   228   177   247 0.71 # 14784 # 17354 # -1 # ID=18_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_18_length_109480_cov_12.152470_14 -            857 18426at72274         -            352    0.0068   14.1   0.1   2   3      0.02        14    3.3   0.0    39    60   594   615   561   626 0.87 # 14784 # 17354 # -1 # ID=18_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_18_length_109480_cov_12.152470_14 -            857 18426at72274         -            352    0.0068   14.1   0.1   3   3       3.3   2.3e+03   -4.1   0.0   121   149   748   776   745   790 0.72 # 14784 # 17354 # -1 # ID=18_14;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.604
