#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_486209_cov_41.704357_233 -            380 16137at72274         -            322  2.4e-183  606.8   0.0   1   1    9e-185  4.4e-182  602.7   0.0     2   322     7   369     6   369 0.94 # 238088 # 239227 # -1 # ID=1_233;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.642
NODE_23_length_101372_cov_40.184625_50 -            268 16137at72274         -            322   4.9e-05   20.9   0.0   1   1   1.6e-07   7.9e-05   20.2   0.0   126   174    76   124    66   130 0.89 # 53449 # 54252 # -1 # ID=23_50;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.586
NODE_7_length_206173_cov_41.988700_68  -            338 16137at72274         -            322   0.00095   16.7   0.0   1   1   2.9e-06    0.0014   16.1   0.0    92   163   105   165    77   172 0.78 # 93106 # 94119 # -1 # ID=7_68;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.602
NODE_9_length_205576_cov_41.813470_118 -            269 16137at72274         -            322    0.0025   15.3   0.0   1   1   7.3e-06    0.0036   14.8   0.0   112   166    77   131    70   146 0.87 # 107007 # 107813 # 1 # ID=9_118;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.620
NODE_1_length_486209_cov_41.704357_314 -            297 16137at72274         -            322    0.0028   15.1   0.0   1   1   8.3e-06     0.004   14.6   0.0   103   192    65   152    60   185 0.89 # 319503 # 320393 # -1 # ID=1_314;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.584
NODE_41_length_54595_cov_41.846130_43  -            282 16137at72274         -            322    0.0039   14.7   0.0   1   1   1.2e-05    0.0059   14.1   0.0   128   171    85   127    61   133 0.79 # 48743 # 49588 # -1 # ID=41_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_33_length_69296_cov_44.754626_46  -            340 16137at72274         -            322    0.0042   14.6   0.0   1   1   1.2e-05    0.0058   14.1   0.0   117   168   119   170    92   190 0.85 # 58383 # 59402 # 1 # ID=33_46;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.631
NODE_55_length_36205_cov_42.040410_21  -            271 16137at72274         -            322    0.0047   14.4   0.0   1   1   1.4e-05    0.0066   13.9   0.0   116   166    67   117    49   128 0.89 # 20528 # 21340 # 1 # ID=55_21;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_10_length_199183_cov_41.836345_19 -            282 16137at72274         -            322    0.0053   14.2   0.0   1   1   1.7e-05    0.0083   13.6   0.0   125   169    84   128    76   132 0.90 # 21848 # 22693 # 1 # ID=10_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_55_length_36205_cov_42.040410_31  -            285 16137at72274         -            322     0.018   12.5   0.0   1   1   5.6e-05     0.027   11.9   0.0   118   177    77   138    58   183 0.78 # 32102 # 32956 # -1 # ID=55_31;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.630
NODE_10_length_199183_cov_41.836345_43 -            324 16137at72274         -            322     0.026   12.0   0.0   1   1   9.6e-05     0.047   11.1   0.0   119   164    86   131    71   143 0.88 # 46355 # 47326 # -1 # ID=10_43;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_51_length_38685_cov_41.248692_13  -            264 16137at72274         -            322     0.042   11.3   0.0   1   1   0.00014     0.068   10.6   0.0   126   177    78   129    67   141 0.87 # 12364 # 13155 # 1 # ID=51_13;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.624
NODE_4_length_234165_cov_40.976902_85  -            296 16137at72274         -            322     0.065   10.7   0.0   1   1   0.00019     0.092   10.2   0.0   112   165    76   129    67   143 0.86 # 88092 # 88979 # -1 # ID=4_85;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.618
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/16137at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/run_pseudomonadales_odb10/hmmer_output/16137at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/16137at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:36:20 2023
# [ok]
