#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_127457_cov_11.778520_1 -            616 3949at72274          -            614  6.9e-257  852.0   0.0   1   1  4.8e-259    5e-256  849.2   0.0    81   614     3   615     2   615 0.90 # 2 # 1849 # 1 # ID=11_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.653
NODE_95_length_12661_cov_12.076671_1  -            148 3949at72274          -            614   5.1e-31  106.0   0.0   1   1   1.1e-32   1.2e-29  101.5   0.0     1    87     6   117     6   148 0.74 # 3 # 446 # -1 # ID=95_1;partial=10;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.682
NODE_6_length_154355_cov_11.215791_55 -           1150 3949at72274          -            614   2.5e-16   57.5   0.0   1   1   4.1e-19   4.3e-16   56.7   0.0   152   298   626   777   597   817 0.82 # 53677 # 57126 # 1 # ID=6_55;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.634
NODE_82_length_22806_cov_10.648000_8  -            692 3949at72274          -            614   5.5e-09   33.2   0.3   1   2   1.1e-11   1.2e-08   32.2   0.1   153   267   293   411   279   417 0.86 # 4926 # 7001 # 1 # ID=82_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.650
NODE_82_length_22806_cov_10.648000_8  -            692 3949at72274          -            614   5.5e-09   33.2   0.3   2   2      0.49   5.1e+02   -3.0   0.0   431   463   535   567   515   594 0.56 # 4926 # 7001 # 1 # ID=82_8;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.650
NODE_60_length_41929_cov_11.350318_20 -            672 3949at72274          -            614   7.6e-08   29.5   0.1   1   2   7.4e-05     0.077    9.6   0.0   153   203    35    82     6    95 0.82 # 25068 # 27083 # -1 # ID=60_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.611
NODE_60_length_41929_cov_11.350318_20 -            672 3949at72274          -            614   7.6e-08   29.5   0.1   2   2   3.6e-07   0.00038   17.2   0.1   416   493   477   543   446   558 0.68 # 25068 # 27083 # -1 # ID=60_20;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.611
NODE_91_length_16114_cov_10.411459_16 -           1286 3949at72274          -            614      0.04   10.6   0.1   1   2     0.045        48    0.4   0.0   137   177    67   108    62   119 0.84 # 12257 # 16114 # 1 # ID=91_16;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.654
NODE_91_length_16114_cov_10.411459_16 -           1286 3949at72274          -            614      0.04   10.6   0.1   2   2   0.00034      0.36    7.4   0.1   170   237   306   374   292   379 0.89 # 12257 # 16114 # 1 # ID=91_16;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.654
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/3949at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_def.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_def.spades_kmer/run_pseudomonadales_odb10/hmmer_output/3949at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/3949at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_def.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:39:48 2023
# [ok]
