## Sun Mar 19 01:09:13 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_d_a4j77c --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_d_a4j77c --override -m diamond --dmnd_ignore_warnings -i /emapper_web_jobs/emapper_jobs/user_data/MM_d_a4j77c/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype genome --genepred prodigal --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
NODE_1_length_774295_cov_40.668278_1	1415630.U771_00795	8.84e-285	779.0	COG1804@1|root,COG1804@2|Bacteria,1MU2K@1224|Proteobacteria,1RNB5@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	acyl-CoA transferases carnitine dehydratase	coaT	-	-	-	-	-	-	-	-	-	-	-	CoA_transf_3
NODE_1_length_774295_cov_40.668278_2	1470593.BW43_01034	9.99e-289	788.0	COG1960@1|root,COG1960@2|Bacteria,1MUK0@1224|Proteobacteria,1RNBX@1236|Gammaproteobacteria	1236|Gammaproteobacteria	I	acyl-CoA dehydrogenase	gcdH	-	1.3.8.6	ko:K00252	ko00071,ko00310,ko00362,ko00380,ko01100,ko01120,ko01130,map00071,map00310,map00362,map00380,map01100,map01120,map01130	M00032	R02487,R02488,R10074	RC00052,RC00156	ko00000,ko00001,ko00002,ko01000	-	-	-	Acyl-CoA_dh_1,Acyl-CoA_dh_M,Acyl-CoA_dh_N
NODE_1_length_774295_cov_40.668278_3	1415630.U771_00785	3.14e-199	553.0	COG0583@1|root,COG0583@2|Bacteria,1MWY0@1224|Proteobacteria,1S1RS@1236|Gammaproteobacteria	1236|Gammaproteobacteria	K	Transcriptional regulator	gcdR	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
NODE_1_length_774295_cov_40.668278_4	1117958.PE143B_0123160	1.8e-249	687.0	COG3288@1|root,COG3288@2|Bacteria,1MVXU@1224|Proteobacteria,1RN23@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane	pntAA	-	1.6.1.2	ko:K00324	ko00760,ko01100,map00760,map01100	-	R00112	RC00001	ko00000,ko00001,ko01000	-	-	-	AlaDh_PNT_C,AlaDh_PNT_N
NODE_1_length_774295_cov_40.668278_5	1488328.JMCL01000001_gene2930	4.93e-63	193.0	COG3288@1|root,COG3288@2|Bacteria,1MZ3E@1224|Proteobacteria,1S9K2@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	NADP transhydrogenase	pntAB	-	1.6.1.2	ko:K00324	ko00760,ko01100,map00760,map01100	-	R00112	RC00001	ko00000,ko00001,ko01000	-	-	-	PNTB_4TM
NODE_1_length_774295_cov_40.668278_6	930166.CD58_29240	0.0	885.0	COG1282@1|root,COG1282@2|Bacteria,1MUP4@1224|Proteobacteria,1RMR4@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	The transhydrogenation between NADH and NADP is coupled to respiration and ATP hydrolysis and functions as a proton pump across the membrane	pntB	-	1.6.1.2	ko:K00325	ko00760,ko01100,map00760,map01100	-	R00112	RC00001	ko00000,ko00001,ko01000	-	-	-	PNTB
NODE_1_length_774295_cov_40.668278_7	118797.XP_007470300.1	0.0	949.0	COG0427@1|root,KOG2828@2759|Eukaryota,38R8D@33154|Opisthokonta	2759|Eukaryota	C	acetyl-coA hydrolase	ACH1	GO:0003674,GO:0003824,GO:0003986,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005829,GO:0006082,GO:0006083,GO:0006084,GO:0006139,GO:0006163,GO:0006629,GO:0006631,GO:0006633,GO:0006637,GO:0006725,GO:0006732,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008410,GO:0008610,GO:0008775,GO:0009058,GO:0009117,GO:0009150,GO:0009259,GO:0009268,GO:0009628,GO:0009987,GO:0010446,GO:0016053,GO:0016289,GO:0016740,GO:0016782,GO:0016787,GO:0016788,GO:0016790,GO:0016999,GO:0017144,GO:0019541,GO:0019637,GO:0019679,GO:0019693,GO:0019752,GO:0032787,GO:0033865,GO:0033875,GO:0034032,GO:0034641,GO:0035383,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046459,GO:0046483,GO:0050896,GO:0051186,GO:0051716,GO:0055086,GO:0071214,GO:0071467,GO:0071469,GO:0071704,GO:0072330,GO:0072521,GO:0104004,GO:1901135,GO:1901360,GO:1901564,GO:1901576	2.8.3.18,3.1.2.1	ko:K01067,ko:K18118	ko00020,ko00620,ko00650,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00620,map00650,map01100,map01110,map01120,map01130,map01200	M00009,M00011	R00227,R10343	RC00004,RC00012,RC00014	ko00000,ko00001,ko00002,ko01000	-	-	-	AcetylCoA_hyd_C,AcetylCoA_hydro
NODE_1_length_774295_cov_40.668278_8	1415630.U771_00760	6.48e-43	140.0	COG5457@1|root,COG5457@2|Bacteria,1NGDZ@1224|Proteobacteria,1SGNV@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	Domain of unknown function (DUF1127)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1127
NODE_1_length_774295_cov_40.668278_10	690597.JH730983_gene112	5.73e-53	168.0	2AQN3@1|root,31FVB@2|Bacteria,1QRCI@1224|Proteobacteria,1RUAZ@1236|Gammaproteobacteria,1YQIS@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	Protein of unknown function (DUF2388)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2388
NODE_1_length_774295_cov_40.668278_11	216595.PFLU_0106	1.68e-50	161.0	2BIHJ@1|root,32CQA@2|Bacteria,1QREC@1224|Proteobacteria,1RUDI@1236|Gammaproteobacteria,1YQS2@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	Protein of unknown function (DUF2388)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2388
NODE_1_length_774295_cov_40.668278_12	690597.JH730983_gene113	5.11e-56	176.0	2DJD7@1|root,305QK@2|Bacteria,1QRDS@1224|Proteobacteria,1RUCP@1236|Gammaproteobacteria,1YQPE@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	Protein of unknown function (DUF2388)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2388
NODE_1_length_774295_cov_40.668278_13	321846.PS417_00525	0.0	1212.0	COG3228@1|root,COG3228@2|Bacteria,1R9QQ@1224|Proteobacteria	1224|Proteobacteria	S	Domain of unknown function (DUF4105)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4105
NODE_1_length_774295_cov_40.668278_14	1124983.PFLCHA0_c01070	1.47e-79	237.0	COG3791@1|root,COG3791@2|Bacteria,1N3P3@1224|Proteobacteria,1S57G@1236|Gammaproteobacteria,1YTIZ@136843|Pseudomonas fluorescens group	1236|Gammaproteobacteria	S	Glutathione-dependent formaldehyde-activating enzyme	-	-	-	-	-	-	-	-	-	-	-	-	GFA
NODE_1_length_774295_cov_40.668278_15	1470593.BW43_01045	1.01e-291	799.0	COG2851@1|root,COG2851@2|Bacteria,1N25B@1224|Proteobacteria,1RR4W@1236|Gammaproteobacteria	1236|Gammaproteobacteria	C	Citrate transporter	citN	-	-	ko:K03300	-	-	-	-	ko00000	2.A.11	-	-	CitMHS
NODE_1_length_774295_cov_40.668278_16	1415630.U771_00725	1.08e-168	473.0	COG0861@1|root,COG0861@2|Bacteria,1MWC9@1224|Proteobacteria,1T1GE@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	membrane protein, terc	ygdQ	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	TerC
NODE_1_length_774295_cov_40.668278_17	321846.PS417_00510	0.0	969.0	COG1283@1|root,COG1283@2|Bacteria,1MUDE@1224|Proteobacteria,1S1YQ@1236|Gammaproteobacteria	1236|Gammaproteobacteria	P	COG1283 Na phosphate symporter	yjbB	-	-	ko:K03324	-	-	-	-	ko00000,ko02000	2.A.58.2	-	-	Na_Pi_cotrans,PhoU
