#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_5_length_204350_cov_31.943180_19  -            666 3912at72274          -            556         0 1065.5   3.1   1   1         0         0 1059.3   3.1     1   556     7   651     7   651 0.91 # 19080 # 21077 # 1 # ID=5_19;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.621
NODE_39_length_64069_cov_32.991155_50  -            687 3912at72274          -            556  3.9e-160  532.3   0.1   1   1  1.4e-161  1.5e-158  527.1   0.1     3   556    14   670    12   670 0.85 # 47614 # 49674 # -1 # ID=39_50;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.626
NODE_95_length_13222_cov_28.588423_11  -            633 3912at72274          -            556   5.4e-09   33.4   0.0   1   3   1.5e-05     0.016   12.0   0.1    19   181    55   199    41   219 0.71 # 8520 # 10418 # -1 # ID=95_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.628
NODE_95_length_13222_cov_28.588423_11  -            633 3912at72274          -            556   5.4e-09   33.4   0.0   2   3     0.038        40    0.7   0.0   190   210   250   271   246   282 0.89 # 8520 # 10418 # -1 # ID=95_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.628
NODE_95_length_13222_cov_28.588423_11  -            633 3912at72274          -            556   5.4e-09   33.4   0.0   3   3     6e-07   0.00063   16.6   0.0   349   460   380   490   332   551 0.75 # 8520 # 10418 # -1 # ID=95_11;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.628
NODE_11_length_139671_cov_32.288504_82 -            890 3912at72274          -            556   5.4e-07   26.7   0.0   1   2   2.1e-07   0.00022   18.1   0.0   132   203   223   296   136   310 0.90 # 92226 # 94895 # 1 # ID=11_82;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.620
NODE_11_length_139671_cov_32.288504_82 -            890 3912at72274          -            556   5.4e-07   26.7   0.0   2   2   0.00071      0.74    6.5   0.0   185   256   366   435   360   490 0.71 # 92226 # 94895 # 1 # ID=11_82;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.620
NODE_18_length_107337_cov_31.812683_46 -            882 3912at72274          -            556   3.6e-06   24.0   0.0   1   2   5.3e-07   0.00055   16.8   0.0    50   204   132   291    83   306 0.74 # 57791 # 60436 # -1 # ID=18_46;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.589
NODE_18_length_107337_cov_31.812683_46 -            882 3912at72274          -            556   3.6e-06   24.0   0.0   2   2     0.002       2.1    5.0   0.0   193   244   367   416   355   430 0.75 # 57791 # 60436 # -1 # ID=18_46;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.589
NODE_65_length_36010_cov_30.668652_4   -            893 3912at72274          -            556   0.00018   18.4   0.0   1   3   1.6e-06    0.0017   15.2   0.0   127   214   226   315    86   340 0.80 # 1440 # 4118 # -1 # ID=65_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.644
NODE_65_length_36010_cov_30.668652_4   -            893 3912at72274          -            556   0.00018   18.4   0.0   2   3     0.067        71   -0.1   0.0   196   238   383   426   370   441 0.73 # 1440 # 4118 # -1 # ID=65_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.644
NODE_65_length_36010_cov_30.668652_4   -            893 3912at72274          -            556   0.00018   18.4   0.0   3   3       0.4   4.2e+02   -2.6   0.0   399   442   639   682   593   686 0.83 # 1440 # 4118 # -1 # ID=65_4;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.644
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/3912at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/run_pseudomonadales_odb10/hmmer_output/3912at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/3912at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:33:50 2023
# [ok]
