#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_89_length_25616_cov_3.076307_20  -            441 18426at72274         -            352  2.5e-171  568.1   0.2   1   1  3.5e-173  2.5e-170  564.8   0.2     1   351    12   424    12   425 0.88 # 21599 # 22921 # 1 # ID=89_20;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.629
NODE_41_length_54029_cov_2.577567_32  -            685 18426at72274         -            352   1.2e-14   52.8   0.0   1   2   1.2e-11   8.2e-09   33.6   0.0     2    66     6    68     5   103 0.83 # 42446 # 44500 # 1 # ID=41_32;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.647
NODE_41_length_54029_cov_2.577567_32  -            685 18426at72274         -            352   1.2e-14   52.8   0.0   2   2   1.2e-06   0.00082   17.2   0.0    76   178   119   226   106   258 0.84 # 42446 # 44500 # 1 # ID=41_32;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.647
NODE_62_length_40697_cov_2.843086_15  -            353 18426at72274         -            352   3.7e-09   34.7   0.0   1   1   1.2e-11   8.5e-09   33.5   0.0     5   103    23   134    20   152 0.73 # 11928 # 12986 # 1 # ID=62_15;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_7_length_109814_cov_2.797259_23  -            855 18426at72274         -            352   3.8e-05   21.5   0.0   1   3   0.00016      0.11   10.1   0.0     5    59   171   222   167   233 0.76 # 20689 # 23253 # -1 # ID=7_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_7_length_109814_cov_2.797259_23  -            855 18426at72274         -            352   3.8e-05   21.5   0.0   2   3       1.2   8.2e+02   -2.6   0.0    79    91   274   286   266   359 0.57 # 20689 # 23253 # -1 # ID=7_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_7_length_109814_cov_2.797259_23  -            855 18426at72274         -            352   3.8e-05   21.5   0.0   3   3   0.00069      0.49    8.0   0.0    37    60   599   622   561   636 0.76 # 20689 # 23253 # -1 # ID=7_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_89_length_25616_cov_3.076307_13  -            757 18426at72274         -            352   0.00061   17.6   0.2   1   4     0.002       1.4    6.5   0.0    27    59   202   234   179   243 0.77 # 13725 # 15995 # 1 # ID=89_13;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.606
NODE_89_length_25616_cov_3.076307_13  -            757 18426at72274         -            352   0.00061   17.6   0.2   2   4      0.64   4.5e+02   -1.7   0.0    78    87   284   293   271   298 0.80 # 13725 # 15995 # 1 # ID=89_13;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.606
NODE_89_length_25616_cov_3.076307_13  -            757 18426at72274         -            352   0.00061   17.6   0.2   3   4    0.0014      0.96    7.1   0.0    37    60   493   516   483   523 0.90 # 13725 # 15995 # 1 # ID=89_13;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.606
NODE_89_length_25616_cov_3.076307_13  -            757 18426at72274         -            352   0.00061   17.6   0.2   4   4       1.6   1.1e+03   -3.0   0.0   134   170   657   694   652   714 0.75 # 13725 # 15995 # 1 # ID=89_13;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.606
