#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2_length_306509_cov_40.703115_159  -            292 28379at72274         -            227  4.4e-134  443.3   0.3   1   1    1e-136  5.1e-134  443.1   0.3     1   227    48   290    48   290 0.97 # 171121 # 171996 # -1 # ID=2_159;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.596
NODE_26_length_94916_cov_39.401122_12   -            255 28379at72274         -            227   1.4e-13   49.0   0.0   1   1   3.8e-16   1.8e-13   48.7   0.0    34   169    23   161     8   183 0.85 # 14336 # 15100 # 1 # ID=26_12;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.646
NODE_1_length_774295_cov_40.518222_640  -            270 28379at72274         -            227   8.9e-09   33.4   0.0   1   1   2.7e-11   1.3e-08   32.8   0.0    12   153    15   149    11   155 0.89 # 686632 # 687441 # 1 # ID=1_640;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_5_length_234169_cov_39.787549_77   -            233 28379at72274         -            227     3e-08   31.7   0.0   1   1   7.9e-11   3.9e-08   31.3   0.0    54   165    49   159    31   184 0.82 # 80371 # 81069 # 1 # ID=5_77;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.611
NODE_7_length_212511_cov_40.052896_85   -            249 28379at72274         -            227   2.1e-06   25.6   0.0   1   1   4.9e-09   2.4e-06   25.4   0.0    48   154    38   145     4   193 0.81 # 90312 # 91058 # -1 # ID=7_85;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.580
NODE_2_length_306509_cov_40.703115_195  -            245 28379at72274         -            227   3.3e-06   25.0   0.0   1   1   8.4e-09   4.1e-06   24.6   0.0    61   157    57   153    48   181 0.80 # 214191 # 214925 # -1 # ID=2_195;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.629
NODE_1_length_774295_cov_40.518222_555  -            332 28379at72274         -            227   1.7e-05   22.6   0.0   1   1   7.1e-08   3.5e-05   21.6   0.0    11   159   122   269   115   278 0.74 # 587942 # 588937 # -1 # ID=1_555;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.617
NODE_12_length_160437_cov_39.552850_87  -            243 28379at72274         -            227   2.6e-05   22.0   0.0   1   1   7.1e-08   3.5e-05   21.6   0.0    55   154    45   141    31   210 0.71 # 84838 # 85566 # -1 # ID=12_87;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.608
NODE_10_length_205580_cov_40.606001_166 -            260 28379at72274         -            227    0.0001   20.1   0.0   1   1   3.2e-07   0.00016   19.5   0.0    54   154    44   137    33   150 0.79 # 151230 # 152009 # 1 # ID=10_166;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.627
NODE_4_length_235494_cov_41.884601_200  -            275 28379at72274         -            227   0.00015   19.5   0.0   1   2   8.9e-07   0.00044   18.0   0.1    55   155    53   151    42   156 0.94 # 221400 # 222224 # 1 # ID=4_200;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.615
NODE_4_length_235494_cov_41.884601_200  -            275 28379at72274         -            227   0.00015   19.5   0.0   2   2      0.99   4.9e+02   -1.8   0.0     3    53   206   255   204   261 0.75 # 221400 # 222224 # 1 # ID=4_200;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.615
