#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_236949_cov_32.553383_158 -            441 18426at72274         -            352  2.5e-171  568.1   0.2   1   1  3.5e-173  2.5e-170  564.8   0.2     1   351    12   424    12   425 0.88 # 156431 # 157753 # -1 # ID=1_158;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.630
NODE_2_length_234165_cov_30.973912_32  -            685 18426at72274         -            352   1.2e-14   52.8   0.0   1   2   1.2e-11   8.1e-09   33.6   0.0     2    66     6    68     5   103 0.83 # 42401 # 44455 # 1 # ID=2_32;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.647
NODE_2_length_234165_cov_30.973912_32  -            685 18426at72274         -            352   1.2e-14   52.8   0.0   2   2   1.2e-06   0.00081   17.2   0.0    76   178   119   226   106   258 0.84 # 42401 # 44455 # 1 # ID=2_32;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.647
NODE_60_length_40144_cov_32.438668_23  -            353 18426at72274         -            352   3.7e-09   34.7   0.0   1   1   1.2e-11   8.5e-09   33.5   0.0     5   103    23   134    20   152 0.73 # 27137 # 28195 # -1 # ID=60_23;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_30_length_79514_cov_31.910724_53  -            855 18426at72274         -            352   3.8e-05   21.5   0.0   1   3   0.00016      0.11   10.1   0.0     5    59   171   222   167   233 0.76 # 55347 # 57911 # 1 # ID=30_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_30_length_79514_cov_31.910724_53  -            855 18426at72274         -            352   3.8e-05   21.5   0.0   2   3       1.2   8.1e+02   -2.6   0.0    79    91   274   286   266   359 0.57 # 55347 # 57911 # 1 # ID=30_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_30_length_79514_cov_31.910724_53  -            855 18426at72274         -            352   3.8e-05   21.5   0.0   3   3   0.00069      0.49    8.0   0.0    37    60   599   622   561   636 0.76 # 55347 # 57911 # 1 # ID=30_53;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_1_length_236949_cov_32.553383_165 -            757 18426at72274         -            352   0.00061   17.6   0.2   1   4     0.002       1.4    6.5   0.0    27    59   202   234   179   243 0.77 # 163357 # 165627 # -1 # ID=1_165;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_1_length_236949_cov_32.553383_165 -            757 18426at72274         -            352   0.00061   17.6   0.2   2   4      0.64   4.5e+02   -1.7   0.0    78    87   284   293   271   298 0.80 # 163357 # 165627 # -1 # ID=1_165;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_1_length_236949_cov_32.553383_165 -            757 18426at72274         -            352   0.00061   17.6   0.2   3   4    0.0014      0.95    7.1   0.0    37    60   493   516   483   523 0.90 # 163357 # 165627 # -1 # ID=1_165;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_1_length_236949_cov_32.553383_165 -            757 18426at72274         -            352   0.00061   17.6   0.2   4   4       1.6   1.1e+03   -3.0   0.0   134   170   657   694   652   714 0.75 # 163357 # 165627 # -1 # ID=1_165;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_113_length_6023_cov_30.979825_4   -            319 18426at72274         -            352     0.001   16.8   0.1   1   2   3.6e-06    0.0025   15.5   0.0    12    60    16    70     7    74 0.79 # 2854 # 3810 # 1 # ID=113_4;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.627
NODE_113_length_6023_cov_30.979825_4   -            319 18426at72274         -            352     0.001   16.8   0.1   2   2       1.6   1.2e+03   -3.1   0.0   127   162   217   253   204   261 0.54 # 2854 # 3810 # 1 # ID=113_4;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.627
NODE_57_length_46154_cov_33.620066_2   -            857 18426at72274         -            352    0.0068   14.1   0.1   1   3   0.00081      0.57    7.8   0.0    20    61   184   228   177   247 0.71 # 646 # 3216 # -1 # ID=57_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_57_length_46154_cov_33.620066_2   -            857 18426at72274         -            352    0.0068   14.1   0.1   2   3      0.02        14    3.3   0.0    39    60   594   615   561   626 0.87 # 646 # 3216 # -1 # ID=57_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_57_length_46154_cov_33.620066_2   -            857 18426at72274         -            352    0.0068   14.1   0.1   3   3       3.3   2.3e+03   -4.1   0.0   121   149   748   776   745   790 0.72 # 646 # 3216 # -1 # ID=57_2;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.604
NODE_23_length_101354_cov_30.913200_30 -            891 18426at72274         -            352     0.011   13.5   0.1   1   2    0.0039       2.7    5.6   0.0     2    54   199   248   198   257 0.83 # 33701 # 36373 # 1 # ID=23_30;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.634
NODE_23_length_101354_cov_30.913200_30 -            891 18426at72274         -            352     0.011   13.5   0.1   2   2    0.0048       3.4    5.3   0.0    12    60   593   647   586   665 0.71 # 33701 # 36373 # 1 # ID=23_30;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.634
NODE_44_length_56924_cov_31.281870_18  -            327 18426at72274         -            352     0.048   11.3   0.1   1   2   0.00025      0.17    9.5   0.1     2    60    16    69    15    76 0.89 # 20700 # 21680 # 1 # ID=44_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.639
NODE_44_length_56924_cov_31.281870_18  -            327 18426at72274         -            352     0.048   11.3   0.1   2   2      0.46   3.2e+02   -1.2   0.0    78   102   110   134   102   143 0.81 # 20700 # 21680 # 1 # ID=44_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.639
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/18426at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa
