# BUSCO version is: 5.3.2 
# The lineage dataset is: pseudomonadales_odb10 (Creation date: 2020-03-06, number of genomes: 159, number of BUSCOs: 782)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
207at72274	Complete	NODE_42_length_69640_cov_12.726008	54680	58879	-	2477.1	1220	https://www.orthodb.org/v10?query=207at72274	DNA-directed RNA polymerase subunit beta'
208at72274	Complete	NODE_42_length_69640_cov_12.726008	58944	63017	-	2330.9	1218	https://www.orthodb.org/v10?query=208at72274	DNA-directed RNA polymerase subunit beta
209at72274	Complete	NODE_20_length_107404_cov_11.636511	815	5260	+	2331.3	1261	https://www.orthodb.org/v10?query=209at72274	Glutamate synthase
299at72274	Complete	NODE_25_length_101577_cov_11.125755	56595	60506	-	1539.7	1028	https://www.orthodb.org/v10?query=299at72274	ATP-dependent helicase
391at72274	Complete	NODE_18_length_107718_cov_12.162170	100792	104688	+	1918.8	1067	https://www.orthodb.org/v10?query=391at72274	phosphoribosylformylglycinamidine synthase
395at72274	Complete	NODE_82_length_22897_cov_11.247255	5767	9477	-	2034.2	1067	https://www.orthodb.org/v10?query=395at72274	methionine synthase
436at72274	Complete	NODE_7_length_136322_cov_13.076831	55750	58971	-	1806.9	905	https://www.orthodb.org/v10?query=436at72274	carbamoyl phosphate synthase large subunit
457at72274	Complete	NODE_7_length_136322_cov_13.076831	128981	132658	-	976.7	763	https://www.orthodb.org/v10?query=457at72274	RecBCD enzyme subunit RecB
543at72274	Complete	NODE_20_length_107404_cov_11.636511	41188	45141	-	1688.5	980	https://www.orthodb.org/v10?query=543at72274	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase
606at72274	Complete	NODE_5_length_152531_cov_11.068883	97230	100679	-	1571.7	936	https://www.orthodb.org/v10?query=606at72274	Transcription-repair-coupling factor
712at72274	Complete	NODE_21_length_103667_cov_11.513135	9441	13124	+	1133.4	1037	https://www.orthodb.org/v10?query=712at72274	translocation/assembly module TamB
813at72274	Complete	NODE_53_length_51199_cov_11.857867	1149	3995	+	1348.7	744	https://www.orthodb.org/v10?query=813at72274	valine--tRNA ligase
865at72274	Complete	NODE_26_length_97137_cov_11.550964	61662	64493	+	1252.9	756	https://www.orthodb.org/v10?query=865at72274	isoleucine--tRNA ligase
927at72274	Complete	NODE_22_length_102888_cov_11.104797	42664	45561	-	1197.7	750	https://www.orthodb.org/v10?query=927at72274	Ribonucleoside-diphosphate reductase
995at72274	Complete	NODE_6_length_150369_cov_11.693315	42578	45280	+	1092.1	700	https://www.orthodb.org/v10?query=995at72274	Bifunctional uridylyltransferase/uridylyl-removing enzyme
1004at72274	Complete	NODE_20_length_107404_cov_11.636511	60835	63774	+	1062.4	1048	https://www.orthodb.org/v10?query=1004at72274	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
1036at72274	Complete	NODE_3_length_187155_cov_11.688229	145581	148373	+	1232.1	776	https://www.orthodb.org/v10?query=1036at72274	DNA polymerase I
1067at72274	Complete	NODE_52_length_52615_cov_11.099280	17776	20370	+	1497.4	752	https://www.orthodb.org/v10?query=1067at72274	Fe/S-dependent 2-methylisocitrate dehydratase AcnD
1242at72274	Complete	NODE_75_length_30458_cov_10.800930	26844	29459	-	1498.9	754	https://www.orthodb.org/v10?query=1242at72274	aconitate hydratase B
1384at72274	Complete	NODE_5_length_152531_cov_11.068883	86890	89511	+	1474.5	760	https://www.orthodb.org/v10?query=1384at72274	DNA topoisomerase I
1440at72274	Complete	NODE_48_length_61725_cov_11.884233	13192	15927	+	1473.7	801	https://www.orthodb.org/v10?query=1440at72274	Protein translocase subunit SecA
1456at72274	Complete	NODE_7_length_136322_cov_13.076831	132655	136104	-	771.1	688	https://www.orthodb.org/v10?query=1456at72274	exodeoxyribonuclease V subunit gamma
1471at72274	Complete	NODE_34_length_80082_cov_12.019911	2546	5209	+	1508.9	780	https://www.orthodb.org/v10?query=1471at72274	DNA gyrase subunit A
1600at72274	Complete	NODE_6_length_150369_cov_11.693315	23112	26633	-	1575.1	953	https://www.orthodb.org/v10?query=1600at72274	DNA polymerase III subunit alpha
1634at72274	Complete	NODE_1_length_244313_cov_11.646614	169909	172740	-	1578.8	827	https://www.orthodb.org/v10?query=1634at72274	2-oxoglutarate dehydrogenase E1 component
1707at72274	Complete	NODE_2_length_235110_cov_11.837397	73468	76182	-	1242.5	715	https://www.orthodb.org/v10?query=1707at72274	NADH-quinone oxidoreductase
1753at72274	Complete	NODE_33_length_81661_cov_11.531521	70997	73654	-	1120.2	711	https://www.orthodb.org/v10?query=1753at72274	aminopeptidase N
1843at72274	Complete	NODE_23_length_102382_cov_11.802269	30795	33428	+	1032.8	638	https://www.orthodb.org/v10?query=1843at72274	ribonuclease R
1917at72274	Complete	NODE_3_length_187155_cov_11.688229	69725	72148	+	1310.2	666	https://www.orthodb.org/v10?query=1917at72274	DNA gyrase subunit B
1961at72274	Complete	NODE_39_length_76270_cov_11.926586	73707	76268	-	860.4	636	https://www.orthodb.org/v10?query=1961at72274	LPS biosynthesis protein
1974at72274	Complete	NODE_42_length_69640_cov_12.726008	31077	33911	+	1592.0	822	https://www.orthodb.org/v10?query=1974at72274	UvrABC system protein A
1982at72274	Complete	NODE_24_length_101630_cov_11.241934	55637	58483	-	1191.4	774	https://www.orthodb.org/v10?query=1982at72274	RNA polymerase-binding ATPase
2019at72274	Complete	NODE_23_length_102382_cov_11.802269	38195	40498	+	1350.6	653	https://www.orthodb.org/v10?query=2019at72274	YgiQ family radical SAM protein
2112at72274	Complete	NODE_64_length_38966_cov_12.566364	35285	37876	-	1220.3	748	https://www.orthodb.org/v10?query=2112at72274	DNA mismatch repair protein MutS
2210at72274	Complete	NODE_26_length_97137_cov_11.550964	73883	76447	+	1330.2	711	https://www.orthodb.org/v10?query=2210at72274	Chaperone protein ClpB
2251at72274	Complete	NODE_2_length_235110_cov_11.837397	180239	183877	-	928.8	1164	https://www.orthodb.org/v10?query=2251at72274	chromosome segregation protein SMC
2303at72274	Complete	NODE_5_length_152531_cov_11.068883	28379	30736	+	827.1	530	https://www.orthodb.org/v10?query=2303at72274	DNA ligase
2348at72274	Complete	NODE_52_length_52615_cov_11.099280	34697	37072	+	1408.9	697	https://www.orthodb.org/v10?query=2348at72274	phosphoenolpyruvate synthase
2487at72274	Complete	NODE_2_length_235110_cov_11.837397	95626	97896	+	1263.0	669	https://www.orthodb.org/v10?query=2487at72274	ATP-dependent Clp protease ATP-binding subunit ClpA
2667at72274	Complete	NODE_6_length_150369_cov_11.693315	74520	77165	-	1184.3	749	https://www.orthodb.org/v10?query=2667at72274	phosphoenolpyruvate carboxylase
