#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_40_length_63675_cov_29.873774_41 -            792 2348at72274          -            698         0 1408.9   3.0   1   1         0         0 1406.8   3.0     1   698     5   785     5   785 0.95 # 45810 # 48185 # 1 # ID=40_41;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.616
NODE_41_length_62850_cov_33.559968_46 -            844 2348at72274          -            698   7.7e-28   95.7   0.7   1   3      0.94   9.9e+02   -3.8   0.3    58   103   227   272   207   274 0.78 # 51216 # 53747 # 1 # ID=41_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_41_length_62850_cov_33.559968_46 -            844 2348at72274          -            698   7.7e-28   95.7   0.7   2   3   6.2e-08   6.5e-05   19.9   0.0   340   391   440   492   401   500 0.85 # 51216 # 53747 # 1 # ID=41_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_41_length_62850_cov_33.559968_46 -            844 2348at72274          -            698   7.7e-28   95.7   0.7   3   3   3.6e-24   3.8e-21   73.6   0.0   512   668   616   771   603   792 0.85 # 51216 # 53747 # 1 # ID=41_46;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_6_length_202096_cov_31.427584_14 -            760 2348at72274          -            698   1.3e-24   85.0   0.0   1   2    0.0015       1.6    5.4   0.0   346   385   354   394   344   412 0.77 # 13536 # 15815 # -1 # ID=6_14;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.621
NODE_6_length_202096_cov_31.427584_14 -            760 2348at72274          -            698   1.3e-24   85.0   0.0   2   2   2.7e-25   2.8e-22   77.3   0.0   511   689   521   702   508   711 0.87 # 13536 # 15815 # -1 # ID=6_14;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.621
NODE_3_length_205623_cov_31.972892_1  -            352 2348at72274          -            698   7.1e-22   76.0   0.0   1   1   1.2e-24   1.2e-21   75.2   0.0   512   689   138   312   129   318 0.86 # 3 # 1058 # 1 # ID=3_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.666
NODE_51_length_50229_cov_32.037166_47 -            760 2348at72274          -            698   4.9e-20   69.9   0.1   1   2   7.6e-08     8e-05   19.6   0.0   330   392   431   495   420   513 0.80 # 47950 # 50229 # 1 # ID=51_47;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.641
NODE_51_length_50229_cov_32.037166_47 -            760 2348at72274          -            698   4.9e-20   69.9   0.1   2   2   2.1e-16   2.2e-13   47.9   0.0   509   652   614   756   586   760 0.80 # 47950 # 50229 # 1 # ID=51_47;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.641
NODE_30_length_79514_cov_31.910724_75 -            594 2348at72274          -            698   1.3e-06   25.6   0.2   1   1   1.6e-09   1.7e-06   25.2   0.2   298   370   523   594   497   594 0.71 # 77732 # 79513 # 1 # ID=30_75;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.659
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/2348at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/run_pseudomonadales_odb10/hmmer_output/2348at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/2348at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:33:31 2023
# [ok]
