#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_25_length_96887_cov_39.464239_48  -            869 3242at72274          -            746         0 1370.2   0.3   1   1         0         0 1366.8   0.3    13   746    34   867    21   867 0.92 # 47811 # 50417 # -1 # ID=25_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.613
NODE_4_length_235494_cov_42.023962_171 -            949 3242at72274          -            746   1.7e-29  100.7   2.3   1   5   1.1e-16   1.4e-13   48.1   0.0    19   150    36   186    21   195 0.74 # 185507 # 188353 # 1 # ID=4_171;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.612
NODE_4_length_235494_cov_42.023962_171 -            949 3242at72274          -            746   1.7e-29  100.7   2.3   2   5   2.7e-10   3.5e-07   26.9   0.0   256   337   224   305   198   332 0.81 # 185507 # 188353 # 1 # ID=4_171;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.612
NODE_4_length_235494_cov_42.023962_171 -            949 3242at72274          -            746   1.7e-29  100.7   2.3   3   5   7.3e-06    0.0093   12.3   0.1   368   412   417   461   400   472 0.90 # 185507 # 188353 # 1 # ID=4_171;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.612
NODE_4_length_235494_cov_42.023962_171 -            949 3242at72274          -            746   1.7e-29  100.7   2.3   4   5    0.0011       1.5    5.0   0.0   555   581   544   570   537   578 0.86 # 185507 # 188353 # 1 # ID=4_171;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.612
NODE_4_length_235494_cov_42.023962_171 -            949 3242at72274          -            746   1.7e-29  100.7   2.3   5   5    0.0073       9.4    2.4   0.0   577   623   603   649   583   671 0.82 # 185507 # 188353 # 1 # ID=4_171;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.612
NODE_29_length_79520_cov_41.135065_37  -            944 3242at72274          -            746   8.3e-20   68.7   0.0   1   4   3.6e-09   4.6e-06   23.2   0.0    21   145    58   193    50   205 0.80 # 33562 # 36393 # -1 # ID=29_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609
NODE_29_length_79520_cov_41.135065_37  -            944 3242at72274          -            746   8.3e-20   68.7   0.0   2   4   7.6e-07   0.00098   15.5   0.0   250   340   273   363   231   389 0.67 # 33562 # 36393 # -1 # ID=29_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609
NODE_29_length_79520_cov_41.135065_37  -            944 3242at72274          -            746   8.3e-20   68.7   0.0   3   4   4.7e-06    0.0061   12.9   0.0   369   396   463   491   439   542 0.81 # 33562 # 36393 # -1 # ID=29_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609
NODE_29_length_79520_cov_41.135065_37  -            944 3242at72274          -            746   8.3e-20   68.7   0.0   4   4   1.3e-05     0.017   11.5   0.0   561   592   607   638   575   670 0.82 # 33562 # 36393 # -1 # ID=29_37;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.609
NODE_46_length_38784_cov_43.540910_5   -            684 3242at72274          -            746   6.4e-06   22.8   0.0   1   1   9.5e-09   1.2e-05   21.8   0.0    16   147     9   139     5   152 0.85 # 5862 # 7913 # 1 # ID=46_5;partial=00;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.607
NODE_37_length_54602_cov_40.796332_17  -            463 3242at72274          -            746     0.001   15.5   0.0   1   2    0.0037       4.7    3.4   0.0   277   358    12    95     5   106 0.69 # 21265 # 22653 # 1 # ID=37_17;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.608
NODE_37_length_54602_cov_40.796332_17  -            463 3242at72274          -            746     0.001   15.5   0.0   2   2   3.7e-05     0.047   10.0   0.0   559   618   263   321   214   330 0.81 # 21265 # 22653 # 1 # ID=37_17;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.608
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/3242at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_def.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_def.spades_def/run_pseudomonadales_odb10/hmmer_output/3242at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/3242at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_def.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:38:12 2023
# [ok]
