#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_186925_cov_42.279989_43  -            262 46726at72274         -            190   5.3e-82  272.8   4.7   1   1   3.2e-83   1.5e-81  271.3   4.7     6   188    18   236    14   239 0.87 # 44319 # 45104 # 1 # ID=11_43;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.640
NODE_26_length_98166_cov_43.232468_74   -            553 46726at72274         -            190   1.3e-42  144.3   6.6   1   4     0.027       1.3    7.4   0.0     5    51    24    73    20    82 0.80 # 71132 # 72790 # 1 # ID=26_74;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
NODE_26_length_98166_cov_43.232468_74   -            553 46726at72274         -            190   1.3e-42  144.3   6.6   2   4   2.4e-16   1.1e-14   53.2   0.2    62   172   134   250   121   265 0.80 # 71132 # 72790 # 1 # ID=26_74;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
NODE_26_length_98166_cov_43.232468_74   -            553 46726at72274         -            190   1.3e-42  144.3   6.6   3   4   6.3e-07     3e-05   22.5   0.1     4    49   303   351   301   355 0.90 # 71132 # 72790 # 1 # ID=26_74;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
NODE_26_length_98166_cov_43.232468_74   -            553 46726at72274         -            190   1.3e-42  144.3   6.6   4   4     5e-19   2.4e-17   62.0   0.2    63   168   409   519   396   528 0.83 # 71132 # 72790 # 1 # ID=26_74;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
NODE_4_length_234165_cov_40.976902_145  -            640 46726at72274         -            190   3.8e-42  142.9   1.1   1   4     1e-06   4.9e-05   21.8   0.0     9    61    19    78    15   108 0.74 # 152847 # 154766 # -1 # ID=4_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.613
NODE_4_length_234165_cov_40.976902_145  -            640 46726at72274         -            190   3.8e-42  142.9   1.1   2   4   3.3e-16   1.6e-14   52.8   0.1    63   156   131   225   115   230 0.90 # 152847 # 154766 # -1 # ID=4_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.613
NODE_4_length_234165_cov_40.976902_145  -            640 46726at72274         -            190   3.8e-42  142.9   1.1   3   4     5e-06   0.00024   19.6   0.0    18    56   345   387   332   404 0.78 # 152847 # 154766 # -1 # ID=4_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.613
NODE_4_length_234165_cov_40.976902_145  -            640 46726at72274         -            190   3.8e-42  142.9   1.1   4   4   1.4e-13   6.8e-12   44.2   0.0    78   143   432   497   416   508 0.87 # 152847 # 154766 # -1 # ID=4_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.613
NODE_63_length_25679_cov_43.407202_21   -            522 46726at72274         -            190   4.4e-40  136.1   0.1   1   4   0.00017    0.0079   14.6   0.0    20    50    23    53     6    68 0.87 # 23364 # 24929 # 1 # ID=63_21;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.595
NODE_63_length_25679_cov_43.407202_21   -            522 46726at72274         -            190   4.4e-40  136.1   0.1   2   4   1.3e-13   6.2e-12   44.3   0.0    78   147   141   210   129   218 0.90 # 23364 # 24929 # 1 # ID=63_21;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.595
NODE_63_length_25679_cov_43.407202_21   -            522 46726at72274         -            190   4.4e-40  136.1   0.1   3   4   1.1e-07     5e-06   25.0   0.0     8    49   326   370   322   385 0.78 # 23364 # 24929 # 1 # ID=63_21;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.595
NODE_63_length_25679_cov_43.407202_21   -            522 46726at72274         -            190   4.4e-40  136.1   0.1   4   4   2.4e-14   1.2e-12   46.7   0.0    78   154   422   498   407   508 0.90 # 23364 # 24929 # 1 # ID=63_21;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.595
NODE_1_length_486209_cov_41.704357_75   -            637 46726at72274         -            190   1.7e-39  134.2   0.3   1   3   1.2e-06   5.9e-05   21.6   0.0     6    57    14    72    10    96 0.78 # 73125 # 75035 # 1 # ID=1_75;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.641
NODE_1_length_486209_cov_41.704357_75   -            637 46726at72274         -            190   1.7e-39  134.2   0.3   2   3   4.8e-11   2.3e-09   35.9   0.0    77   146   142   211   126   225 0.88 # 73125 # 75035 # 1 # ID=1_75;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.641
NODE_1_length_486209_cov_41.704357_75   -            637 46726at72274         -            190   1.7e-39  134.2   0.3   3   3   1.1e-20   5.1e-19   67.4   0.2     6   152   325   498   323   505 0.75 # 73125 # 75035 # 1 # ID=1_75;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.641
NODE_53_length_37563_cov_43.749466_28   -            572 46726at72274         -            190   5.6e-37  126.0   8.7   1   4     0.056       2.7    6.4   0.0     6    45    19    61    17    77 0.79 # 32099 # 33814 # -1 # ID=53_28;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.655
NODE_53_length_37563_cov_43.749466_28   -            572 46726at72274         -            190   5.6e-37  126.0   8.7   2   4   8.1e-14   3.9e-12   45.0   0.2    81   171   149   243   127   250 0.78 # 32099 # 33814 # -1 # ID=53_28;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.655
NODE_53_length_37563_cov_43.749466_28   -            572 46726at72274         -            190   5.6e-37  126.0   8.7   3   4   5.8e-07   2.8e-05   22.6   0.0     4    48   301   348   299   351 0.88 # 32099 # 33814 # -1 # ID=53_28;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.655
