#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_21_length_101377_cov_39.024353_21  -            301 36169at72274         -            263  1.6e-149  494.8   0.5   1   1  3.5e-152  1.9e-149  494.6   0.5     1   263    12   296    12   296 0.96 # 21207 # 22109 # -1 # ID=21_21;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.633
NODE_8_length_206175_cov_40.775641_173  -            307 36169at72274         -            263   1.8e-69  232.4   0.2   1   1     4e-72   2.1e-69  232.2   0.2     1   263    10   303    10   303 0.86 # 182959 # 183879 # -1 # ID=8_173;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
NODE_21_length_101377_cov_39.024353_64  -            325 36169at72274         -            263   2.1e-58  196.1   0.8   1   1   2.5e-60   1.3e-57  193.5   0.8     1   263    12   313    12   313 0.80 # 68529 # 69503 # -1 # ID=21_64;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.609
NODE_10_length_205580_cov_40.606001_47  -            459 36169at72274         -            263   1.3e-50  170.6   0.0   1   1   9.5e-53   5.1e-50  168.6   0.0     1   260    13   311    13   313 0.79 # 43514 # 44890 # -1 # ID=10_47;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
NODE_36_length_63664_cov_38.413025_19   -            310 36169at72274         -            263   1.4e-41  141.0   0.0   1   1   3.4e-44   1.8e-41  140.6   0.0     1   258    15   305    15   307 0.81 # 23288 # 24217 # 1 # ID=36_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612
NODE_34_length_66996_cov_41.225242_49   -            365 36169at72274         -            263   1.9e-22   78.3   0.0   1   2   5.6e-19     3e-16   58.0   0.0     5   177    31   211    29   220 0.82 # 53057 # 54151 # 1 # ID=34_49;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.617
NODE_34_length_66996_cov_41.225242_49   -            365 36169at72274         -            263   1.9e-22   78.3   0.0   2   2   7.3e-07   0.00039   18.2   0.1   184   260   236   324   230   326 0.71 # 53057 # 54151 # 1 # ID=34_49;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.617
NODE_10_length_205580_cov_40.606001_175 -            340 36169at72274         -            263   6.7e-16   56.8   0.0   1   1   1.9e-18     1e-15   56.2   0.0    13   202    49   238    39   254 0.84 # 160526 # 161545 # 1 # ID=10_175;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_1_length_774295_cov_40.518222_438  -            505 36169at72274         -            263   1.3e-14   52.5   0.0   1   1   3.7e-17     2e-14   52.0   0.0    13   188    36   210    20   239 0.87 # 471163 # 472677 # 1 # ID=1_438;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638
NODE_13_length_139524_cov_40.396430_130 -            307 36169at72274         -            263   1.7e-08   32.6   0.0   1   2     2e-10   1.1e-07   29.9   0.0    13   187    20   192     6   222 0.84 # 136954 # 137874 # -1 # ID=13_130;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.632
NODE_13_length_139524_cov_40.396430_130 -            307 36169at72274         -            263   1.7e-08   32.6   0.0   2   2      0.15        81    0.8   0.0   129   175   211   258   180   283 0.69 # 136954 # 137874 # -1 # ID=13_130;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.632
NODE_87_length_3072_cov_36.791653_3     -            322 36169at72274         -            263   2.2e-07   28.9   0.0   1   1   5.8e-10   3.1e-07   28.4   0.0    13   186    38   209    30   236 0.83 # 1201 # 2166 # -1 # ID=87_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.640
NODE_65_length_17658_cov_39.255560_13   -            372 36169at72274         -            263     7e-06   24.0   0.0   1   1   2.1e-08   1.1e-05   23.3   0.0    36   111   181   256   153   267 0.84 # 12827 # 13942 # -1 # ID=65_13;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.612
NODE_1_length_774295_cov_40.518222_81   -            409 36169at72274         -            263   0.00056   17.7   0.1   1   2   1.2e-05    0.0062   14.3   0.2    14   100    83   170    78   192 0.81 # 79606 # 80832 # 1 # ID=1_81;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.629
NODE_1_length_774295_cov_40.518222_81   -            409 36169at72274         -            263   0.00056   17.7   0.1   2   2      0.13        72    1.0   0.0   159   260   287   395   274   398 0.65 # 79606 # 80832 # 1 # ID=1_81;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.629
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/36169at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_def/run_pseudomonadales_odb10/hmmer_output/36169at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/36169at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:35:17 2023
# [ok]
