#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_41_length_62850_cov_33.559968_27  -            402 23243at72274         -            310  4.3e-112  372.6  14.2   1   1  9.9e-114  2.1e-110  367.1  14.2     1   310    28   397    28   397 0.89 # 21850 # 23055 # 1 # ID=41_27;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.610
NODE_34_length_71337_cov_31.902052_31  -            806 23243at72274         -            310     7e-08   30.3   0.6   1   6   3.9e-06    0.0082   13.6   0.0    67   165   229   328   225   331 0.64 # 32078 # 34495 # -1 # ID=34_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_34_length_71337_cov_31.902052_31  -            806 23243at72274         -            310     7e-08   30.3   0.6   2   6     0.043        91    0.4   0.0    59    94   364   399   348   411 0.75 # 32078 # 34495 # -1 # ID=34_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_34_length_71337_cov_31.902052_31  -            806 23243at72274         -            310     7e-08   30.3   0.6   3   6     0.046        96    0.3   0.0    79    97   462   480   457   494 0.58 # 32078 # 34495 # -1 # ID=34_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_34_length_71337_cov_31.902052_31  -            806 23243at72274         -            310     7e-08   30.3   0.6   4   6    0.0023       4.9    4.5   0.0   146   169   507   530   500   543 0.61 # 32078 # 34495 # -1 # ID=34_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_34_length_71337_cov_31.902052_31  -            806 23243at72274         -            310     7e-08   30.3   0.6   5   6      0.42   8.8e+02   -2.9   0.0   204   220   685   701   683   705 0.82 # 32078 # 34495 # -1 # ID=34_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_34_length_71337_cov_31.902052_31  -            806 23243at72274         -            310     7e-08   30.3   0.6   6   6     0.013        28    2.0   0.0    73   107   736   770   725   793 0.78 # 32078 # 34495 # -1 # ID=34_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_5_length_204350_cov_31.943180_125 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   1   7   1.1e-05     0.023   12.2   0.0    67    94   222   249   218   255 0.89 # 139762 # 142122 # 1 # ID=5_125;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_5_length_204350_cov_31.943180_125 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   2   7      0.47     1e+03   -3.1   0.0   150   167   288   305   280   306 0.63 # 139762 # 142122 # 1 # ID=5_125;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_5_length_204350_cov_31.943180_125 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   3   7      0.15   3.1e+02   -1.4   0.0    63    93   343   373   329   376 0.60 # 139762 # 142122 # 1 # ID=5_125;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_5_length_204350_cov_31.943180_125 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   4   7    0.0034       7.2    4.0   0.0    78    97   436   455   426   460 0.81 # 139762 # 142122 # 1 # ID=5_125;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_5_length_204350_cov_31.943180_125 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   5   7       1.1   2.3e+03   -4.3   0.0    77   167   490   504   484   508 0.53 # 139762 # 142122 # 1 # ID=5_125;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_5_length_204350_cov_31.943180_125 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   6   7      0.84   1.8e+03   -3.9   0.0   204   219   661   676   661   679 0.84 # 139762 # 142122 # 1 # ID=5_125;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_5_length_204350_cov_31.943180_125 -            787 23243at72274         -            310   3.1e-06   24.9   0.6   7   7      0.01        22    2.4   0.0    73    99   716   742   704   760 0.69 # 139762 # 142122 # 1 # ID=5_125;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/23243at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/run_pseudomonadales_odb10/hmmer_output/23243at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/23243at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:33:31 2023
# [ok]
