#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3_length_236953_cov_39.268499_159 -            441 18426at72274         -            352  2.5e-171  568.1   0.2   1   1  3.5e-173  2.5e-170  564.8   0.2     1   351    12   424    12   425 0.88 # 156433 # 157755 # -1 # ID=3_159;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.630
NODE_4_length_234169_cov_37.461050_178 -            685 18426at72274         -            352   1.2e-14   52.8   0.0   1   2   1.2e-11   8.3e-09   33.6   0.0     2    66     6    68     5   103 0.83 # 189713 # 191767 # -1 # ID=4_178;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.648
NODE_4_length_234169_cov_37.461050_178 -            685 18426at72274         -            352   1.2e-14   52.8   0.0   2   2   1.2e-06   0.00083   17.2   0.0    76   178   119   226   106   258 0.84 # 189713 # 191767 # -1 # ID=4_178;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.648
NODE_25_length_96941_cov_38.406611_23  -            353 18426at72274         -            352   3.8e-09   34.7   0.0   1   1   1.2e-11   8.6e-09   33.5   0.0     5   103    23   134    20   152 0.73 # 27161 # 28219 # -1 # ID=25_23;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.619
NODE_31_length_79475_cov_38.588352_23  -            855 18426at72274         -            352   3.9e-05   21.5   0.0   1   3   0.00016      0.11   10.1   0.0     5    59   171   222   167   233 0.76 # 21563 # 24127 # -1 # ID=31_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_31_length_79475_cov_38.588352_23  -            855 18426at72274         -            352   3.9e-05   21.5   0.0   2   3       1.2   8.3e+02   -2.6   0.0    79    91   274   286   266   359 0.57 # 21563 # 24127 # -1 # ID=31_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_31_length_79475_cov_38.588352_23  -            855 18426at72274         -            352   3.9e-05   21.5   0.0   3   3   0.00069       0.5    8.0   0.0    37    60   599   622   561   636 0.76 # 21563 # 24127 # -1 # ID=31_23;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.588
NODE_3_length_236953_cov_39.268499_166 -            757 18426at72274         -            352   0.00062   17.6   0.2   1   4     0.002       1.5    6.5   0.0    27    59   202   234   179   243 0.77 # 163359 # 165629 # -1 # ID=3_166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_3_length_236953_cov_39.268499_166 -            757 18426at72274         -            352   0.00062   17.6   0.2   2   4      0.64   4.6e+02   -1.7   0.0    78    87   284   293   271   298 0.80 # 163359 # 165629 # -1 # ID=3_166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_3_length_236953_cov_39.268499_166 -            757 18426at72274         -            352   0.00062   17.6   0.2   3   4    0.0014      0.97    7.1   0.0    37    60   493   516   483   523 0.90 # 163359 # 165629 # -1 # ID=3_166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_3_length_236953_cov_39.268499_166 -            757 18426at72274         -            352   0.00062   17.6   0.2   4   4       1.6   1.2e+03   -3.0   0.0   134   170   657   694   652   714 0.75 # 163359 # 165629 # -1 # ID=3_166;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_89_length_6027_cov_37.432269_4    -            319 18426at72274         -            352    0.0011   16.8   0.1   1   2   3.6e-06    0.0026   15.5   0.0    12    60    16    70     7    74 0.79 # 2856 # 3812 # 1 # ID=89_4;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.627
NODE_89_length_6027_cov_37.432269_4    -            319 18426at72274         -            352    0.0011   16.8   0.1   2   2       1.6   1.2e+03   -3.1   0.0   127   162   217   253   204   261 0.54 # 2856 # 3812 # 1 # ID=89_4;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.627
NODE_45_length_46072_cov_40.687705_42  -            857 18426at72274         -            352    0.0069   14.1   0.1   1   3   0.00081      0.58    7.8   0.0    20    61   184   228   177   247 0.71 # 42933 # 45503 # 1 # ID=45_42;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_45_length_46072_cov_40.687705_42  -            857 18426at72274         -            352    0.0069   14.1   0.1   2   3      0.02        14    3.3   0.0    39    60   594   615   561   626 0.87 # 42933 # 45503 # 1 # ID=45_42;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_45_length_46072_cov_40.687705_42  -            857 18426at72274         -            352    0.0069   14.1   0.1   3   3       3.3   2.4e+03   -4.1   0.0   121   149   748   776   745   790 0.72 # 42933 # 45503 # 1 # ID=45_42;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.605
NODE_1_length_570323_cov_37.907400_229 -            891 18426at72274         -            352     0.011   13.5   0.1   1   2    0.0039       2.8    5.6   0.0     2    54   199   248   198   257 0.83 # 252053 # 254725 # -1 # ID=1_229;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.635
NODE_1_length_570323_cov_37.907400_229 -            891 18426at72274         -            352     0.011   13.5   0.1   2   2    0.0048       3.4    5.3   0.0    12    60   593   647   586   665 0.71 # 252053 # 254725 # -1 # ID=1_229;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.635
NODE_25_length_96941_cov_38.406611_54  -            327 18426at72274         -            352     0.049   11.3   0.1   1   2   0.00025      0.18    9.5   0.1     2    60    16    69    15    76 0.89 # 60714 # 61694 # 1 # ID=25_54;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.639
NODE_25_length_96941_cov_38.406611_54  -            327 18426at72274         -            352     0.049   11.3   0.1   2   2      0.46   3.3e+02   -1.2   0.0    78   102   110   134   102   143 0.81 # 60714 # 61694 # 1 # ID=25_54;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.639
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/18426at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130.spades_def/run_pseudomonadales_odb10/hmmer_output/18426at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/18426at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:28:57 2023
# [ok]
