#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_41_length_63635_cov_34.565304_14  -            792 2348at72274          -            698         0 1408.9   3.0   1   1         0         0 1406.8   3.0     1   698     5   785     5   785 0.95 # 15471 # 17846 # -1 # ID=41_14;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.616
NODE_5_length_184381_cov_37.893162_117 -            844 2348at72274          -            698   7.8e-28   95.7   0.7   1   3      0.78     1e+03   -3.8   0.3    58   103   227   272   207   274 0.78 # 122508 # 125039 # 1 # ID=5_117;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_5_length_184381_cov_37.893162_117 -            844 2348at72274          -            698   7.8e-28   95.7   0.7   2   3   5.2e-08   6.6e-05   19.9   0.0   340   391   440   492   401   500 0.85 # 122508 # 125039 # 1 # ID=5_117;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_5_length_184381_cov_37.893162_117 -            844 2348at72274          -            698   7.8e-28   95.7   0.7   3   3     3e-24   3.8e-21   73.6   0.0   512   668   616   771   603   792 0.85 # 122508 # 125039 # 1 # ID=5_117;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.643
NODE_5_length_184381_cov_37.893162_124 -            836 2348at72274          -            698   1.1e-25   88.6   0.0   1   2   7.1e-08   9.1e-05   19.5   0.0   330   392   431   495   420   513 0.80 # 133894 # 136401 # -1 # ID=5_124;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_5_length_184381_cov_37.893162_124 -            836 2348at72274          -            698   1.1e-25   88.6   0.0   2   2   3.6e-22   4.6e-19   66.7   0.0   509   689   614   792   586   797 0.83 # 133894 # 136401 # -1 # ID=5_124;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.642
NODE_36_length_69443_cov_35.935565_53  -            760 2348at72274          -            698   1.3e-24   85.0   0.0   1   2    0.0013       1.6    5.4   0.0   346   385   354   394   344   412 0.77 # 52480 # 54759 # 1 # ID=36_53;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.621
NODE_36_length_69443_cov_35.935565_53  -            760 2348at72274          -            698   1.3e-24   85.0   0.0   2   2   2.3e-25   2.9e-22   77.3   0.0   511   689   521   702   508   711 0.87 # 52480 # 54759 # 1 # ID=36_53;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.621
NODE_34_length_70130_cov_37.373257_1   -            350 2348at72274          -            698   7.1e-22   76.0   0.0   1   1   9.6e-25   1.2e-21   75.2   0.0   512   689   136   310   127   316 0.86 # 1 # 1050 # 1 # ID=34_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.665
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/2348at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_def/run_pseudomonadales_odb10/hmmer_output/2348at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/2348at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_130clip.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:26:08 2023
# [ok]
