#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_10_length_140278_cov_43.717628_25 -            292 28379at72274         -            227  4.4e-134  443.3   0.3   1   1    1e-136  5.2e-134  443.1   0.3     1   227    48   290    48   290 0.97 # 27175 # 28050 # 1 # ID=10_25;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.596
NODE_79_length_19972_cov_40.987247_5   -            255 28379at72274         -            227   1.4e-13   49.0   0.0   1   1   3.8e-16   1.9e-13   48.7   0.0    34   169    23   161     8   183 0.85 # 4895 # 5659 # -1 # ID=79_5;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.644
NODE_1_length_352372_cov_43.300394_251 -            270 28379at72274         -            227   8.9e-09   33.4   0.0   1   1   2.7e-11   1.3e-08   32.8   0.0    12   153    15   149    11   155 0.89 # 264568 # 265377 # 1 # ID=1_251;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.622
NODE_2_length_234130_cov_42.625966_133 -            233 28379at72274         -            227     3e-08   31.7   0.0   1   1   7.9e-11   3.9e-08   31.3   0.0    54   165    49   159    31   184 0.82 # 153084 # 153782 # -1 # ID=2_133;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.612
NODE_3_length_212343_cov_42.826340_85  -            249 28379at72274         -            227   2.1e-06   25.6   0.0   1   1   4.9e-09   2.4e-06   25.4   0.0    48   154    38   145     4   193 0.81 # 90166 # 90912 # -1 # ID=3_85;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.580
NODE_17_length_107317_cov_43.740570_72 -            245 28379at72274         -            227   3.3e-06   25.0   0.0   1   1   8.4e-09   4.2e-06   24.6   0.0    61   157    57   153    48   181 0.80 # 91563 # 92297 # 1 # ID=17_72;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.627
NODE_1_length_352372_cov_43.300394_166 -            332 28379at72274         -            227   1.7e-05   22.6   0.0   1   1   7.1e-08   3.5e-05   21.6   0.0    11   159   122   269   115   278 0.74 # 165878 # 166873 # -1 # ID=1_166;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.617
NODE_8_length_160420_cov_42.382234_87  -            243 28379at72274         -            227   2.6e-05   22.0   0.0   1   1   7.1e-08   3.5e-05   21.6   0.0    55   154    45   141    31   210 0.71 # 84843 # 85571 # -1 # ID=8_87;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.608
NODE_5_length_205536_cov_43.475207_166 -            260 28379at72274         -            227    0.0001   20.1   0.0   1   1   3.2e-07   0.00016   19.5   0.0    54   154    44   137    33   150 0.79 # 151208 # 151987 # 1 # ID=5_166;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.627
NODE_52_length_50388_cov_44.376413_31  -            275 28379at72274         -            227   0.00015   19.5   0.0   1   2   8.9e-07   0.00044   18.0   0.1    55   155    53   151    42   156 0.94 # 36301 # 37125 # 1 # ID=52_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.615
NODE_52_length_50388_cov_44.376413_31  -            275 28379at72274         -            227   0.00015   19.5   0.0   2   2      0.99   4.9e+02   -1.8   0.0     3    53   206   255   204   261 0.75 # 36301 # 37125 # 1 # ID=52_31;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.615
NODE_1_length_352372_cov_43.300394_74  -            399 28379at72274         -            227    0.0019   16.0   0.0   1   1   6.3e-06    0.0031   15.2   0.0    93   180    93   184    67   202 0.74 # 79118 # 80314 # -1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.623
NODE_11_length_139104_cov_53.491280_66 -            217 28379at72274         -            227     0.014   13.1   0.1   1   1    0.0004       0.2    9.3   0.1    55   185    51   189    41   197 0.59 # 85082 # 85732 # 1 # ID=11_66;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.553
NODE_1_length_352372_cov_43.300394_101 -            207 28379at72274         -            227     0.046   11.4   0.0   1   1   0.00014     0.067   10.9   0.0   104   147    59   104    14   113 0.82 # 103643 # 104263 # -1 # ID=1_101;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.617
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/28379at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_def/run_pseudomonadales_odb10/hmmer_output/28379at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/28379at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:32:10 2023
# [ok]
