# BUSCO version is: 5.3.2 
# The lineage dataset is: pseudomonadales_odb10 (Creation date: 2020-03-06, number of genomes: 159, number of BUSCOs: 782)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
207at72274	Complete	NODE_23_length_98846_cov_42.042361	10712	14911	+	2477.1	1220	https://www.orthodb.org/v10?query=207at72274	DNA-directed RNA polymerase subunit beta'
208at72274	Complete	NODE_23_length_98846_cov_42.042361	6574	10647	+	2330.9	1218	https://www.orthodb.org/v10?query=208at72274	DNA-directed RNA polymerase subunit beta
209at72274	Complete	NODE_2_length_306509_cov_40.847444	199970	204415	+	2331.3	1261	https://www.orthodb.org/v10?query=209at72274	Glutamate synthase
299at72274	Complete	NODE_21_length_101376_cov_39.173319	56544	60455	-	1539.7	1028	https://www.orthodb.org/v10?query=299at72274	ATP-dependent helicase
391at72274	Complete	NODE_4_length_235494_cov_42.023962	53226	57122	-	1918.8	1067	https://www.orthodb.org/v10?query=391at72274	phosphoribosylformylglycinamidine synthase
395at72274	Complete	NODE_11_length_166698_cov_41.190264	158573	162283	-	2034.2	1067	https://www.orthodb.org/v10?query=395at72274	methionine synthase
436at72274	Complete	NODE_14_length_139126_cov_50.060288	55374	58595	-	1806.9	905	https://www.orthodb.org/v10?query=436at72274	carbamoyl phosphate synthase large subunit
457at72274	Complete	NODE_14_length_139126_cov_50.060288	128605	132282	-	976.7	763	https://www.orthodb.org/v10?query=457at72274	RecBCD enzyme subunit RecB
543at72274	Complete	NODE_2_length_306509_cov_40.847444	240343	244296	-	1688.5	980	https://www.orthodb.org/v10?query=543at72274	bifunctional proline dehydrogenase/L-glutamate gamma-semialdehyde dehydrogenase
606at72274	Complete	NODE_5_length_234169_cov_39.920501	133627	137076	+	1571.7	936	https://www.orthodb.org/v10?query=606at72274	Transcription-repair-coupling factor
712at72274	Complete	NODE_37_length_54602_cov_40.796332	9390	13073	+	1133.4	1037	https://www.orthodb.org/v10?query=712at72274	translocation/assembly module TamB
813at72274	Complete	NODE_4_length_235494_cov_42.023962	185507	188353	+	1348.7	744	https://www.orthodb.org/v10?query=813at72274	valine--tRNA ligase
865at72274	Complete	NODE_29_length_79520_cov_41.135065	33562	36393	-	1252.9	756	https://www.orthodb.org/v10?query=865at72274	isoleucine--tRNA ligase
927at72274	Complete	NODE_12_length_160437_cov_39.694805	142992	145889	+	1197.7	750	https://www.orthodb.org/v10?query=927at72274	Ribonucleoside-diphosphate reductase
995at72274	Complete	NODE_32_length_68942_cov_40.455340	22450	25152	-	1092.1	700	https://www.orthodb.org/v10?query=995at72274	Bifunctional uridylyltransferase/uridylyl-removing enzyme
1004at72274	Complete	NODE_2_length_306509_cov_40.847444	259990	262929	+	1062.4	1048	https://www.orthodb.org/v10?query=1004at72274	Bifunctional glutamine synthetase adenylyltransferase/adenylyl-removing enzyme
1036at72274	Complete	NODE_1_length_774295_cov_40.668278	38555	41347	-	1232.1	776	https://www.orthodb.org/v10?query=1036at72274	DNA polymerase I
1067at72274	Complete	NODE_36_length_63664_cov_38.591284	32195	34789	-	1497.4	752	https://www.orthodb.org/v10?query=1067at72274	Fe/S-dependent 2-methylisocitrate dehydratase AcnD
1242at72274	Complete	NODE_68_length_16215_cov_38.483517	12651	15266	-	1498.9	754	https://www.orthodb.org/v10?query=1242at72274	aconitate hydratase B
1384at72274	Complete	NODE_5_length_234169_cov_39.920501	144795	147416	-	1474.5	760	https://www.orthodb.org/v10?query=1384at72274	DNA topoisomerase I
1440at72274	Complete	NODE_24_length_96940_cov_41.008920	45617	48352	-	1473.7	801	https://www.orthodb.org/v10?query=1440at72274	Protein translocase subunit SecA
1456at72274	Complete	NODE_14_length_139126_cov_50.060288	132279	135728	-	771.1	688	https://www.orthodb.org/v10?query=1456at72274	exodeoxyribonuclease V subunit gamma
1471at72274	Complete	NODE_5_length_234169_cov_39.920501	74825	77488	-	1508.9	780	https://www.orthodb.org/v10?query=1471at72274	DNA gyrase subunit A
1600at72274	Complete	NODE_32_length_68942_cov_40.455340	41097	44618	+	1575.1	953	https://www.orthodb.org/v10?query=1600at72274	DNA polymerase III subunit alpha
1634at72274	Complete	NODE_17_length_120857_cov_41.802923	29223	32054	-	1578.8	827	https://www.orthodb.org/v10?query=1634at72274	2-oxoglutarate dehydrogenase E1 component
1707at72274	Complete	NODE_3_length_236953_cov_41.991401	185073	187787	+	1242.5	715	https://www.orthodb.org/v10?query=1707at72274	NADH-quinone oxidoreductase
1753at72274	Complete	NODE_38_length_53296_cov_40.271726	16350	19007	+	1120.2	711	https://www.orthodb.org/v10?query=1753at72274	aminopeptidase N
1843at72274	Complete	NODE_7_length_212511_cov_40.209209	179135	181768	-	1032.8	638	https://www.orthodb.org/v10?query=1843at72274	ribonuclease R
1917at72274	Complete	NODE_1_length_774295_cov_40.668278	114780	117203	-	1310.2	666	https://www.orthodb.org/v10?query=1917at72274	DNA gyrase subunit B
1961at72274	Complete	NODE_1_length_774295_cov_40.668278	738102	740912	-	888.4	693	https://www.orthodb.org/v10?query=1961at72274	LPS biosynthesis protein
1974at72274	Complete	NODE_23_length_98846_cov_42.042361	35680	38514	-	1592.0	822	https://www.orthodb.org/v10?query=1974at72274	UvrABC system protein A
1982at72274	Complete	NODE_74_length_13616_cov_38.726715	6717	9563	-	1191.4	774	https://www.orthodb.org/v10?query=1982at72274	RNA polymerase-binding ATPase
2019at72274	Complete	NODE_7_length_212511_cov_40.209209	172065	174368	-	1350.6	653	https://www.orthodb.org/v10?query=2019at72274	YgiQ family radical SAM protein
2112at72274	Complete	NODE_46_length_38784_cov_43.540910	1041	3632	+	1220.3	748	https://www.orthodb.org/v10?query=2112at72274	DNA mismatch repair protein MutS
2210at72274	Complete	NODE_29_length_79520_cov_41.135065	21608	24172	-	1330.2	711	https://www.orthodb.org/v10?query=2210at72274	Chaperone protein ClpB
2251at72274	Complete	NODE_3_length_236953_cov_41.991401	77378	81016	+	928.8	1164	https://www.orthodb.org/v10?query=2251at72274	chromosome segregation protein SMC
2303at72274	Complete	NODE_5_length_234169_cov_39.920501	203570	205927	-	827.1	530	https://www.orthodb.org/v10?query=2303at72274	DNA ligase
2348at72274	Complete	NODE_36_length_63664_cov_38.591284	15493	17868	-	1408.9	697	https://www.orthodb.org/v10?query=2348at72274	phosphoenolpyruvate synthase
2487at72274	Complete	NODE_3_length_236953_cov_41.991401	163359	165629	-	1263.0	669	https://www.orthodb.org/v10?query=2487at72274	ATP-dependent Clp protease ATP-binding subunit ClpA
2667at72274	Complete	NODE_56_length_31199_cov_40.902609	22345	24990	+	1184.3	749	https://www.orthodb.org/v10?query=2667at72274	phosphoenolpyruvate carboxylase
2718at72274	Complete	NODE_14_length_139126_cov_50.060288	42902	45424	-	1224.1	702	https://www.orthodb.org/v10?query=2718at72274	translation initiation factor IF-2
2722at72274	Complete	NODE_57_length_28851_cov_39.840863	2049	4667	-	1353.4	766	https://www.orthodb.org/v10?query=2722at72274	alanine--tRNA ligase
2787at72274	Complete	NODE_2_length_306509_cov_40.847444	41547	43871	-	1008.6	598	https://www.orthodb.org/v10?query=2787at72274	RNA-binding transcriptional accessory protein
2855at72274	Complete	NODE_2_length_306509_cov_40.847444	303246	305510	+	1113.4	628	https://www.orthodb.org/v10?query=2855at72274	DNA topoisomerase IV subunit A
2861at72274	Complete	NODE_14_length_139126_cov_50.060288	7581	9905	-	976.4	612	https://www.orthodb.org/v10?query=2861at72274	penicillin-binding protein 1B
2968at72274	Complete	NODE_3_length_236953_cov_41.991401	168335	170560	+	1178.6	657	https://www.orthodb.org/v10?query=2968at72274	isocitrate dehydrogenase, NADP-dependent
2971at72274	Complete	NODE_29_length_79520_cov_41.135065	49544	51982	-	815.3	578	https://www.orthodb.org/v10?query=2971at72274	ATP-dependent protease
3072at72274	Complete	NODE_5_length_234169_cov_39.920501	225319	227583	-	879.1	573	https://www.orthodb.org/v10?query=3072at72274	23S rRNA (guanine(2445)-N(2))/(guanine(2069)-N(7))- methyltransferase
3123at72274	Complete	NODE_1_length_774295_cov_40.668278	105343	107397	+	929.2	577	https://www.orthodb.org/v10?query=3123at72274	glycine--tRNA ligase subunit beta
3150at72274	Complete	NODE_5_length_234169_cov_39.920501	69173	71383	-	688.1	434	https://www.orthodb.org/v10?query=3150at72274	3-phosphoshikimate 1-carboxyvinyltransferase
3242at72274	Complete	NODE_25_length_96887_cov_39.464239	47811	50417	-	1370.2	733	https://www.orthodb.org/v10?query=3242at72274	leucine--tRNA ligase
3277at72274	Complete	NODE_75_length_11374_cov_41.977782	8078	10159	-	902.7	595	https://www.orthodb.org/v10?query=3277at72274	tail-specific protease
3392at72274	Complete	NODE_2_length_306509_cov_40.847444	189974	192433	-	1051.8	658	https://www.orthodb.org/v10?query=3392at72274	peptidase
3393at72274	Complete	NODE_12_length_160437_cov_39.694805	122247	125000	+	923.8	686	https://www.orthodb.org/v10?query=3393at72274	Histidine kinase
3407at72274	Complete	NODE_46_length_38784_cov_43.540910	5862	7913	+	1033.3	574	https://www.orthodb.org/v10?query=3407at72274	methionine--tRNA ligase
3448at72274	Complete	NODE_26_length_94916_cov_39.557851	72946	74868	+	1173.0	569	https://www.orthodb.org/v10?query=3448at72274	threonine--tRNA ligase
