#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_570323_cov_37.907400_43   -            262 46726at72274         -            190   5.3e-82  272.8   4.7   1   1   3.2e-83   1.5e-81  271.3   4.7     6   188    18   236    14   239 0.87 # 44484 # 45269 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=3-4bp;gc_cont=0.640
NODE_27_length_94916_cov_37.049589_89   -            553 46726at72274         -            190   1.4e-42  144.3   6.6   1   4     0.027       1.3    7.4   0.0     5    51    24    73    20    82 0.80 # 91098 # 92756 # 1 # ID=27_89;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
NODE_27_length_94916_cov_37.049589_89   -            553 46726at72274         -            190   1.4e-42  144.3   6.6   2   4   2.4e-16   1.2e-14   53.2   0.2    62   172   134   250   121   265 0.80 # 91098 # 92756 # 1 # ID=27_89;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
NODE_27_length_94916_cov_37.049589_89   -            553 46726at72274         -            190   1.4e-42  144.3   6.6   3   4   6.3e-07   3.1e-05   22.5   0.1     4    49   303   351   301   355 0.90 # 91098 # 92756 # 1 # ID=27_89;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
NODE_27_length_94916_cov_37.049589_89   -            553 46726at72274         -            190   1.4e-42  144.3   6.6   4   4     5e-19   2.4e-17   62.0   0.2    63   168   409   519   396   528 0.83 # 91098 # 92756 # 1 # ID=27_89;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.658
NODE_4_length_234169_cov_37.461050_145  -            640 46726at72274         -            190   3.8e-42  142.9   1.1   1   4     1e-06   4.9e-05   21.8   0.0     9    61    19    78    15   108 0.74 # 152849 # 154768 # -1 # ID=4_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.613
NODE_4_length_234169_cov_37.461050_145  -            640 46726at72274         -            190   3.8e-42  142.9   1.1   2   4   3.3e-16   1.6e-14   52.8   0.1    63   156   131   225   115   230 0.90 # 152849 # 154768 # -1 # ID=4_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.613
NODE_4_length_234169_cov_37.461050_145  -            640 46726at72274         -            190   3.8e-42  142.9   1.1   3   4     5e-06   0.00024   19.6   0.0    18    56   345   387   332   404 0.78 # 152849 # 154768 # -1 # ID=4_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.613
NODE_4_length_234169_cov_37.461050_145  -            640 46726at72274         -            190   3.8e-42  142.9   1.1   4   4   1.4e-13   6.9e-12   44.2   0.0    78   143   432   497   416   508 0.87 # 152849 # 154768 # -1 # ID=4_145;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.613
NODE_62_length_25683_cov_39.697493_1    -            522 46726at72274         -            190   4.4e-40  136.1   0.1   1   4   0.00017     0.008   14.6   0.0    20    50    23    53     6    68 0.87 # 753 # 2318 # -1 # ID=62_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.596
NODE_62_length_25683_cov_39.697493_1    -            522 46726at72274         -            190   4.4e-40  136.1   0.1   2   4   1.3e-13   6.3e-12   44.3   0.0    78   147   141   210   129   218 0.90 # 753 # 2318 # -1 # ID=62_1;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.596
