#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_16_length_111127_cov_12.288640_77 -            402 23243at72274         -            310  4.3e-112  372.6  14.2   1   1  9.9e-114  2.1e-110  367.1  14.2     1   310    28   397    28   397 0.89 # 70112 # 71317 # 1 # ID=16_77;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.610
NODE_16_length_111127_cov_12.288640_10 -            806 23243at72274         -            310     7e-08   30.3   0.6   1   6   3.9e-06    0.0082   13.6   0.0    67   165   229   328   225   331 0.64 # 9154 # 11571 # -1 # ID=16_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_16_length_111127_cov_12.288640_10 -            806 23243at72274         -            310     7e-08   30.3   0.6   2   6     0.043        90    0.4   0.0    59    94   364   399   348   411 0.75 # 9154 # 11571 # -1 # ID=16_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_16_length_111127_cov_12.288640_10 -            806 23243at72274         -            310     7e-08   30.3   0.6   3   6     0.046        96    0.3   0.0    79    97   462   480   457   494 0.58 # 9154 # 11571 # -1 # ID=16_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_16_length_111127_cov_12.288640_10 -            806 23243at72274         -            310     7e-08   30.3   0.6   4   6    0.0023       4.9    4.5   0.0   146   169   507   530   500   543 0.61 # 9154 # 11571 # -1 # ID=16_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_16_length_111127_cov_12.288640_10 -            806 23243at72274         -            310     7e-08   30.3   0.6   5   6      0.42   8.8e+02   -2.9   0.0   204   220   685   701   683   705 0.82 # 9154 # 11571 # -1 # ID=16_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_16_length_111127_cov_12.288640_10 -            806 23243at72274         -            310     7e-08   30.3   0.6   6   6     0.013        28    2.0   0.0    73   107   736   770   725   793 0.78 # 9154 # 11571 # -1 # ID=16_10;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_39_length_76270_cov_12.057772_42  -            787 23243at72274         -            310   3.1e-06   24.9   0.6   1   7   1.1e-05     0.023   12.2   0.0    67    94   222   249   218   255 0.89 # 45473 # 47833 # 1 # ID=39_42;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_39_length_76270_cov_12.057772_42  -            787 23243at72274         -            310   3.1e-06   24.9   0.6   2   7      0.47   9.9e+02   -3.1   0.0   150   167   288   305   280   306 0.63 # 45473 # 47833 # 1 # ID=39_42;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_39_length_76270_cov_12.057772_42  -            787 23243at72274         -            310   3.1e-06   24.9   0.6   3   7      0.15   3.1e+02   -1.4   0.0    63    93   343   373   329   376 0.60 # 45473 # 47833 # 1 # ID=39_42;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_39_length_76270_cov_12.057772_42  -            787 23243at72274         -            310   3.1e-06   24.9   0.6   4   7    0.0034       7.2    4.0   0.0    78    97   436   455   426   460 0.81 # 45473 # 47833 # 1 # ID=39_42;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_39_length_76270_cov_12.057772_42  -            787 23243at72274         -            310   3.1e-06   24.9   0.6   5   7       1.1   2.3e+03   -4.3   0.0    77   167   490   504   484   508 0.53 # 45473 # 47833 # 1 # ID=39_42;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_39_length_76270_cov_12.057772_42  -            787 23243at72274         -            310   3.1e-06   24.9   0.6   6   7      0.84   1.8e+03   -3.9   0.0   204   219   661   676   661   679 0.84 # 45473 # 47833 # 1 # ID=39_42;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
NODE_39_length_76270_cov_12.057772_42  -            787 23243at72274         -            310   3.1e-06   24.9   0.6   7   7      0.01        22    2.4   0.0    73    99   716   742   704   760 0.69 # 45473 # 47833 # 1 # ID=39_42;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.638
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/23243at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_def.spades_kmer/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_def.spades_kmer/run_pseudomonadales_odb10/hmmer_output/23243at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/23243at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_def.spades_kmer/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:39:28 2023
# [ok]
