	Pseudomonas_azotoformans_LMG21611	Pseudomonas_azotoformans_S4	Pseudomonas_brenneri_DSM-15294	Pseudomonas_fluorescens_ATCC13525	Pseudomonas_fragi_NL20W	Pseudomonas_gessardii_LMG21604	Pseudomonas_lactis_SS101	Pseudomonas_sp_WCS374	Pseudomonas_yamanorum_LBUM636	Pseudomonas_sp_OLsAu1
Pseudomonas_azotoformans_LMG21611	0.0	500303.0	472821.0	533669.0	243972.0	458164.0	504482.0	493292.0	557555.0	556914.0
Pseudomonas_azotoformans_S4	500303.0	0.0	470017.0	532777.0	243321.0	452932.0	506097.0	501565.0	561371.0	561091.0
Pseudomonas_brenneri_DSM-15294	472821.0	470017.0	0.0	464081.0	249186.0	395213.0	456429.0	453341.0	492052.0	491688.0
Pseudomonas_fluorescens_ATCC13525	533669.0	532777.0	464081.0	0.0	230232.0	453025.0	506122.0	515857.0	554191.0	549990.0
Pseudomonas_fragi_NL20W	243972.0	243321.0	249186.0	230232.0	0.0	254413.0	236805.0	230144.0	253072.0	250288.0
Pseudomonas_gessardii_LMG21604	458164.0	452932.0	395213.0	453025.0	254413.0	0.0	443019.0	445333.0	479040.0	478007.0
Pseudomonas_lactis_SS101	504482.0	506097.0	456429.0	506122.0	236805.0	443019.0	0.0	242956.0	512471.0	510782.0
Pseudomonas_sp_WCS374	493292.0	501565.0	453341.0	515857.0	230144.0	445333.0	242956.0	0.0	513194.0	507857.0
Pseudomonas_yamanorum_LBUM636	557555.0	561371.0	492052.0	554191.0	253072.0	479040.0	512471.0	513194.0	0.0	74452.0
Pseudomonas_sp_OLsAu1	556914.0	561091.0	491688.0	549990.0	250288.0	478007.0	510782.0	507857.0	74452.0	0.0
