locus_tag	ftype	length_bp	gene	EC_number	COG	product
MFNABGGJ_00001	CDS	1221	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
MFNABGGJ_00002	CDS	1182	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
MFNABGGJ_00003	CDS	900	gcvA_1			Glycine cleavage system transcriptional activator
MFNABGGJ_00004	CDS	1122	pntAA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha part 1
MFNABGGJ_00005	CDS	321	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
MFNABGGJ_00006	CDS	1437	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
MFNABGGJ_00007	CDS	1494	cat1	2.8.3.-	COG0427	Succinyl-CoA:coenzyme A transferase
MFNABGGJ_00008	CDS	216				hypothetical protein
MFNABGGJ_00009	CDS	195				hypothetical protein
MFNABGGJ_00010	CDS	321				hypothetical protein
MFNABGGJ_00011	CDS	309				hypothetical protein
MFNABGGJ_00012	CDS	321				hypothetical protein
MFNABGGJ_00013	CDS	1962				hypothetical protein
MFNABGGJ_00014	CDS	402				hypothetical protein
MFNABGGJ_00015	CDS	1308	citN_1		COG2851	Citrate transporter
MFNABGGJ_00016	CDS	768				hypothetical protein
MFNABGGJ_00017	CDS	1659				hypothetical protein
MFNABGGJ_00018	CDS	1383				hypothetical protein
MFNABGGJ_00019	CDS	1044				hypothetical protein
MFNABGGJ_00020	CDS	1149				hypothetical protein
MFNABGGJ_00021	CDS	804	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
MFNABGGJ_00022	CDS	939				hypothetical protein
MFNABGGJ_00023	CDS	612				hypothetical protein
MFNABGGJ_00024	CDS	1230				hypothetical protein
MFNABGGJ_00025	CDS	1332	gltP_1		COG1301	Proton/glutamate-aspartate symporter
MFNABGGJ_00026	CDS	468	ivy			Inhibitor of vertebrate lysozyme
MFNABGGJ_00027	CDS	165				hypothetical protein
MFNABGGJ_00028	CDS	285				hypothetical protein
MFNABGGJ_00029	CDS	1347	algB		COG2204	Alginate biosynthesis transcriptional regulatory protein AlgB
MFNABGGJ_00030	CDS	1788	kinB	2.7.13.3	COG5000	Alginate biosynthesis sensor protein KinB
MFNABGGJ_00031	CDS	777	amiD_1	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
MFNABGGJ_00032	CDS	2112				hypothetical protein
MFNABGGJ_00033	CDS	879				hypothetical protein
MFNABGGJ_00034	CDS	639	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
MFNABGGJ_00035	CDS	606	cc4		COG2863	Cytochrome c4
MFNABGGJ_00036	CDS	303				hypothetical protein
MFNABGGJ_00037	CDS	642	engB		COG0218	putative GTP-binding protein EngB
MFNABGGJ_00038	CDS	2793	polA	2.7.7.7	COG0258	DNA polymerase I
MFNABGGJ_00039	CDS	291				hypothetical protein
MFNABGGJ_00040	CDS	954	thrB	2.7.1.39	COG2334	Homoserine kinase
MFNABGGJ_00041	CDS	843	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
MFNABGGJ_00042	CDS	483	zur		COG0735	Zinc uptake regulation protein
MFNABGGJ_00043	CDS	786	znuC_1	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
MFNABGGJ_00044	CDS	789	znuB_1		COG1108	High-affinity zinc uptake system membrane protein ZnuB
MFNABGGJ_00045	CDS	720				hypothetical protein
MFNABGGJ_00046	CDS	2142	katE	1.11.1.6	COG0753	Catalase HPII
MFNABGGJ_00047	CDS	1008	metN_1	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
MFNABGGJ_00048	CDS	675	metP_1		COG2011	Methionine import system permease protein MetP
MFNABGGJ_00049	CDS	774	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
MFNABGGJ_00050	CDS	636				hypothetical protein
MFNABGGJ_00051	CDS	900	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
MFNABGGJ_00052	CDS	1080	ctaA	1.3.-.-		Heme A synthase
MFNABGGJ_00053	CDS	600				hypothetical protein
MFNABGGJ_00054	CDS	741				hypothetical protein
MFNABGGJ_00055	CDS	204				hypothetical protein
MFNABGGJ_00056	CDS	888	ctaE	1.9.3.1	COG1845	Cytochrome c oxidase subunit 3
MFNABGGJ_00057	CDS	552	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
MFNABGGJ_00058	CDS	1590	ctaD	1.9.3.1	COG0843	Cytochrome c oxidase subunit 1
MFNABGGJ_00059	CDS	1128				hypothetical protein
MFNABGGJ_00060	CDS	648				hypothetical protein
MFNABGGJ_00061	CDS	1548				hypothetical protein
MFNABGGJ_00062	CDS	732	cynT_1	4.2.1.1	COG0288	Carbonic anhydrase 1
MFNABGGJ_00063	CDS	1059				hypothetical protein
MFNABGGJ_00064	CDS	1299		1.1.99.3		Gluconate 2-dehydrogenase cytochrome c subunit
MFNABGGJ_00065	CDS	1785		1.1.99.3		Gluconate 2-dehydrogenase flavoprotein
MFNABGGJ_00066	CDS	741		1.1.99.3		Gluconate 2-dehydrogenase subunit 3
MFNABGGJ_00067	CDS	687				hypothetical protein
MFNABGGJ_00068	CDS	273				hypothetical protein
MFNABGGJ_00069	CDS	2052	prlC	3.4.24.70	COG0339	Oligopeptidase A
MFNABGGJ_00070	CDS	543	yrdA_1		COG0663	Protein YrdA
MFNABGGJ_00071	CDS	654		3.1.3.5	COG0546	5'-nucleotidase
MFNABGGJ_00072	CDS	1056				hypothetical protein
MFNABGGJ_00073	CDS	423				hypothetical protein
MFNABGGJ_00074	CDS	240				hypothetical protein
MFNABGGJ_00075	CDS	432	osmC	1.11.1.15	COG1764	Peroxiredoxin OsmC
MFNABGGJ_00076	CDS	1002				hypothetical protein
MFNABGGJ_00077	CDS	228				hypothetical protein
MFNABGGJ_00078	CDS	216			COG3360	Dodecin
MFNABGGJ_00079	CDS	327	yqjD_1		COG4575	putative protein YqjD
