	Pseudomonas_azotoformans_LMG21611	Pseudomonas_azotoformans_S4	Pseudomonas_brenneri_DSM-15294	Pseudomonas_fluorescens_ATCC13525	Pseudomonas_fragi_NL20W	Pseudomonas_gessardii_LMG21604	Pseudomonas_lactis_SS101	Pseudomonas_sp_WCS374	Pseudomonas_yamanorum_LBUM636	Pseudomonas_sp_OLsAu1	Pseudomonas_karstica_CCM7891	Pseudomonas_mucidolens_LMG2223	Pseudomonas_proteolytica_DSM15321	Pseudomonas_proteolytica_WS5126	Pseudomonas_spelaei_CCM7893	Pseudomonas_yamanorum_GZD14026	Pseudomonas_yamanorum_LMG27247
Pseudomonas_azotoformans_LMG21611	6727386.0	5413333.0	3692001.0	4580688.0	1638379.0	3642617.0	4349536.0	4231701.0	4438244.0	4416599.0	3355990.0	2451631.0	3685213.0	3698742.0	3835870.0	3862215.0	4425995.0
Pseudomonas_azotoformans_S4	5413333.0	6859618.0	3659965.0	4532497.0	1622329.0	3617171.0	4309131.0	4237731.0	4432459.0	4423128.0	3371818.0	2403684.0	3593483.0	3614110.0	3875999.0	3894246.0	4456112.0
Pseudomonas_brenneri_DSM-15294	3692001.0	3659965.0	6032706.0	3544917.0	1671921.0	4865135.0	3533583.0	3485938.0	3904175.0	3890994.0	3405744.0	2929435.0	4787278.0	4849092.0	3884121.0	3874461.0	3910632.0
Pseudomonas_fluorescens_ATCC13525	4580688.0	4532497.0	3544917.0	6511547.0	1543373.0	3497682.0	4251520.0	4274870.0	4379366.0	4325483.0	3269421.0	2294919.0	3508914.0	3510173.0	3864648.0	3891969.0	4349195.0
Pseudomonas_fragi_NL20W	1638379.0	1622329.0	1671921.0	1543373.0	5077209.0	1726318.0	1584750.0	1544182.0	1702085.0	1681440.0	1459364.0	1080326.0	1714319.0	1712465.0	1630472.0	1603457.0	1680379.0
Pseudomonas_gessardii_LMG21604	3642617.0	3617171.0	4865135.0	3497682.0	1726318.0	6695628.0	3471418.0	3455134.0	3831093.0	3804318.0	3317022.0	2899522.0	4644876.0	4718653.0	3763430.0	3748741.0	3832802.0
Pseudomonas_lactis_SS101	4349536.0	4309131.0	3533583.0	4251520.0	1584750.0	3471418.0	6179543.0	5194118.0	3976755.0	3962635.0	3196522.0	2312651.0	3519686.0	3542348.0	3646576.0	3625633.0	3981299.0
Pseudomonas_sp_WCS374	4231701.0	4237731.0	3485938.0	4274870.0	1544182.0	3455134.0	5194118.0	6085054.0	3955409.0	3915369.0	3153343.0	2257075.0	3519022.0	3533530.0	3674155.0	3691740.0	3932323.0
Pseudomonas_yamanorum_LBUM636	4438244.0	4432459.0	3904175.0	4379366.0	1702085.0	3831093.0	3976755.0	3955409.0	6856835.0	6519049.0	3746597.0	2578372.0	3886755.0	3897127.0	4494568.0	4464689.0	6559737.0
Pseudomonas_sp_OLsAu1	4416599.0	4423128.0	3890994.0	4325483.0	1681440.0	3804318.0	3962635.0	3915369.0	6519049.0	6884727.0	3727935.0	2587382.0	3892601.0	3891217.0	4485107.0	4426173.0	6524277.0
Pseudomonas_karstica_CCM7891	3355990.0	3371818.0	3405744.0	3269421.0	1459364.0	3317022.0	3196522.0	3153343.0	3746597.0	3727935.0	5765207.0	2535952.0	3344927.0	3344343.0	4057751.0	4001231.0	3742382.0
Pseudomonas_mucidolens_LMG2223	2451631.0	2403684.0	2929435.0	2294919.0	1080326.0	2899522.0	2312651.0	2257075.0	2578372.0	2587382.0	2535952.0	5170280.0	2787000.0	2788006.0	2575430.0	2558752.0	2607462.0
Pseudomonas_proteolytica_DSM15321	3685213.0	3593483.0	4787278.0	3508914.0	1714319.0	4644876.0	3519686.0	3519022.0	3886755.0	3892601.0	3344927.0	2787000.0	6350040.0	6374384.0	3755442.0	3776288.0	3895982.0
Pseudomonas_proteolytica_WS5126	3698742.0	3614110.0	4849092.0	3510173.0	1712465.0	4718653.0	3542348.0	3533530.0	3897127.0	3891217.0	3344343.0	2788006.0	6374384.0	6496015.0	3751005.0	3783704.0	3900910.0
Pseudomonas_spelaei_CCM7893	3835870.0	3875999.0	3884121.0	3864648.0	1630472.0	3763430.0	3646576.0	3674155.0	4494568.0	4485107.0	4057751.0	2575430.0	3755442.0	3751005.0	6565722.0	5719172.0	4491283.0
Pseudomonas_yamanorum_GZD14026	3862215.0	3894246.0	3874461.0	3891969.0	1603457.0	3748741.0	3625633.0	3691740.0	4464689.0	4426173.0	4001231.0	2558752.0	3776288.0	3783704.0	5719172.0	7159252.0	4448421.0
Pseudomonas_yamanorum_LMG27247	4425995.0	4456112.0	3910632.0	4349195.0	1680379.0	3832802.0	3981299.0	3932323.0	6559737.0	6524277.0	3742382.0	2607462.0	3895982.0	3900910.0	4491283.0	4448421.0	7087525.0
