	Pseudomonas_azotoformans_LMG21611	Pseudomonas_azotoformans_S4	Pseudomonas_brenneri_DSM-15294	Pseudomonas_fluorescens_ATCC13525	Pseudomonas_fragi_NL20W	Pseudomonas_gessardii_LMG21604	Pseudomonas_lactis_SS101	Pseudomonas_sp_WCS374	Pseudomonas_yamanorum_LBUM636	Pseudomonas_sp_OLsAu1
Pseudomonas_azotoformans_LMG21611	1.0	0.8046710862138726	0.5488017188251127	0.6809016161700845	0.24353872365878812	0.5414609775624589	0.6465417622833	0.6290260436966156	0.659727864582172	0.6565104187570031
Pseudomonas_azotoformans_S4	0.7891595421202755	1.0	0.533552305682328	0.66075064238271	0.23650427764344895	0.527313765868595	0.6281881877387342	0.6177794448612153	0.6461670314586031	0.6448067516296097
Pseudomonas_brenneri_DSM-15294	0.6119975016186766	0.6066871152017022	1.0	0.5876164029873161	0.277142794626491	0.8064598208498807	0.585737644102	0.5778398615811876	0.6471681199116947	0.6449831965953587
Pseudomonas_fluorescens_ATCC13525	0.7034715406338924	0.6960706879640123	0.544404732085939	1.0	0.2370209414137685	0.5371506955259633	0.6529201125323982	0.6565060499448134	0.6725538493387209	0.6642788572362297
Pseudomonas_fragi_NL20W	0.32269284167738616	0.3195316560732481	0.32929922719352306	0.30398059248693526	1.0	0.3400131844089932	0.3121301486702635	0.30413993199807215	0.3352402865432563	0.3311740761508931
Pseudomonas_gessardii_LMG21604	0.5440291784430079	0.5402287880987414	0.7266136947871058	0.5223829639281036	0.2578276451439656	1.0	0.5184604043115896	0.5160283695569706	0.5721782930592918	0.5681794149854204
Pseudomonas_lactis_SS101	0.7038604634679296	0.6973219540668298	0.5718194694979871	0.6879990963733079	0.25645100293015194	0.561759664104611	1.0	0.840534324301975	0.6435354523789218	0.6412504937662866
Pseudomonas_sp_WCS374	0.6954253815989143	0.6964163341853663	0.5728688685424977	0.7025196489628522	0.2537663593453731	0.5678066291605629	0.8535861801719427	1.0	0.6500203613640898	0.6434403047203854
Pseudomonas_yamanorum_LBUM636	0.647272976526342	0.6464292928151254	0.5693844171545618	0.6386862160165733	0.24823187374349828	0.5587261469759736	0.57996947571292	0.5768563776144533	1.0	0.9507102037601897
Pseudomonas_sp_OLsAu1	0.641506772890196	0.6424551038842935	0.5651631502599885	0.6282722611949609	0.24422754889191683	0.5525735443104716	0.5755689368656157	0.5687035956545554	0.9468586045605004	1.0
