#                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_26_length_101577_cov_11.283884_21  -            301 36169at72274         -            263  1.6e-149  494.8   0.5   1   1  3.5e-152  1.8e-149  494.6   0.5     1   263    12   296    12   296 0.96 # 21257 # 22159 # -1 # ID=26_21;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.633
NODE_12_length_125582_cov_11.892726_114 -            307 36169at72274         -            263   1.7e-69  232.4   0.2   1   1     4e-72   2.1e-69  232.2   0.2     1   263    10   303    10   303 0.86 # 102366 # 103286 # -1 # ID=12_114;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.546
NODE_26_length_101577_cov_11.283884_64  -            325 36169at72274         -            263   2.1e-58  196.1   0.8   1   1   2.5e-60   1.3e-57  193.5   0.8     1   263    12   313    12   313 0.80 # 68579 # 69553 # -1 # ID=26_64;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.609
NODE_48_length_61080_cov_11.397749_56   -            459 36169at72274         -            263   1.3e-50  170.6   0.0   1   1   9.5e-53     5e-50  168.6   0.0     1   260    13   311    13   313 0.79 # 55326 # 56702 # -1 # ID=48_56;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
NODE_50_length_52615_cov_11.250324_24   -            310 36169at72274         -            263   1.3e-41  141.0   0.0   1   1   3.4e-44   1.8e-41  140.6   0.0     1   258    15   305    15   307 0.81 # 28348 # 29277 # -1 # ID=50_24;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.614
NODE_25_length_101630_cov_11.421879_62  -            365 36169at72274         -            263   1.8e-22   78.3   0.0   1   2   5.6e-19   2.9e-16   58.0   0.0     5   177    31   211    29   220 0.82 # 65960 # 67054 # -1 # ID=25_62;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.617
NODE_25_length_101630_cov_11.421879_62  -            365 36169at72274         -            263   1.8e-22   78.3   0.0   2   2   7.3e-07   0.00038   18.2   0.1   184   260   236   324   230   326 0.71 # 65960 # 67054 # -1 # ID=25_62;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.617
NODE_14_length_116145_cov_12.034865_6   -            340 36169at72274         -            263   6.6e-16   56.8   0.0   1   1   1.9e-18     1e-15   56.2   0.0    13   202    49   238    39   254 0.84 # 3792 # 4811 # -1 # ID=14_6;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.634
NODE_4_length_179944_cov_11.656412_158  -            505 36169at72274         -            263   1.3e-14   52.5   0.0   1   1   3.7e-17   1.9e-14   52.0   0.0    13   188    36   210    20   239 0.87 # 160734 # 162248 # 1 # ID=4_158;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638
NODE_47_length_61454_cov_11.422440_2    -            307 36169at72274         -            263   1.6e-08   32.6   0.0   1   2     2e-10   1.1e-07   29.9   0.0    13   187    20   192     6   222 0.84 # 1698 # 2618 # 1 # ID=47_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.632
NODE_47_length_61454_cov_11.422440_2    -            307 36169at72274         -            263   1.6e-08   32.6   0.0   2   2      0.15        80    0.8   0.0   129   175   211   258   180   283 0.69 # 1698 # 2618 # 1 # ID=47_2;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.632
